Date,Open,High,Low,Close,Adj Close,Volume
15/02/1977,7.7,7.7,7.7,7.7,7.7,0
16/02/1977,7.67,7.67,7.67,7.67,7.67,0
17/02/1977,7.67,7.67,7.67,7.67,7.67,0
18/02/1977,7.76,7.76,7.76,7.76,7.76,0
20/02/1977,null,null,null,null,null,null
21/02/1977,null,null,null,null,null,null
22/02/1977,7.77,7.77,7.77,7.77,7.77,0
23/02/1977,7.81,7.81,7.81,7.81,7.81,0
24/02/1977,7.82,7.82,7.82,7.82,7.82,0
25/02/1977,7.79,7.79,7.79,7.79,7.79,0
27/02/1977,null,null,null,null,null,null
28/02/1977,7.8,7.8,7.8,7.8,7.8,0
01/03/1977,7.84,7.84,7.84,7.84,7.84,0
02/03/1977,7.81,7.81,7.81,7.81,7.81,0
03/03/1977,7.79,7.79,7.79,7.79,7.79,0
04/03/1977,7.82,7.82,7.82,7.82,7.82,0
06/03/1977,null,null,null,null,null,null
07/03/1977,7.84,7.84,7.84,7.84,7.84,0
08/03/1977,7.84,7.84,7.84,7.84,7.84,0
09/03/1977,7.81,7.81,7.81,7.81,7.81,0
10/03/1977,7.81,7.81,7.81,7.81,7.81,0
11/03/1977,7.8,7.8,7.8,7.8,7.8,0
13/03/1977,null,null,null,null,null,null
14/03/1977,7.8,7.8,7.8,7.8,7.8,0
15/03/1977,7.78,7.78,7.78,7.78,7.78,0
16/03/1977,7.79,7.79,7.79,7.79,7.79,0
17/03/1977,7.78,7.78,7.78,7.78,7.78,0
18/03/1977,7.76,7.76,7.76,7.76,7.76,0
20/03/1977,null,null,null,null,null,null
21/03/1977,7.74,7.74,7.74,7.74,7.74,0
22/03/1977,7.77,7.77,7.77,7.77,7.77,0
23/03/1977,7.78,7.78,7.78,7.78,7.78,0
24/03/1977,7.78,7.78,7.78,7.78,7.78,0
25/03/1977,7.78,7.78,7.78,7.78,7.78,0
27/03/1977,null,null,null,null,null,null
28/03/1977,7.8,7.8,7.8,7.8,7.8,0
29/03/1977,7.8,7.8,7.8,7.8,7.8,0
30/03/1977,7.8,7.8,7.8,7.8,7.8,0
31/03/1977,7.79,7.79,7.79,7.79,7.79,0
01/04/1977,7.78,7.78,7.78,7.78,7.78,0
03/04/1977,null,null,null,null,null,null
04/04/1977,7.78,7.78,7.78,7.78,7.78,0
05/04/1977,7.78,7.78,7.78,7.78,7.78,0
06/04/1977,7.78,7.78,7.78,7.78,7.78,0
07/04/1977,7.78,7.78,7.78,7.78,7.78,0
08/04/1977,null,null,null,null,null,null
10/04/1977,null,null,null,null,null,null
11/04/1977,7.76,7.76,7.76,7.76,7.76,0
12/04/1977,7.76,7.76,7.76,7.76,7.76,0
13/04/1977,7.76,7.76,7.76,7.76,7.76,0
14/04/1977,7.63,7.63,7.63,7.63,7.63,0
15/04/1977,7.65,7.65,7.65,7.65,7.65,0
17/04/1977,null,null,null,null,null,null
18/04/1977,7.64,7.64,7.64,7.64,7.64,0
19/04/1977,7.67,7.67,7.67,7.67,7.67,0
20/04/1977,7.69,7.69,7.69,7.69,7.69,0
21/04/1977,7.69,7.69,7.69,7.69,7.69,0
22/04/1977,7.73,7.73,7.73,7.73,7.73,0
24/04/1977,null,null,null,null,null,null
25/04/1977,7.76,7.76,7.76,7.76,7.76,0
26/04/1977,7.74,7.74,7.74,7.74,7.74,0
27/04/1977,7.75,7.75,7.75,7.75,7.75,0
28/04/1977,7.76,7.76,7.76,7.76,7.76,0
29/04/1977,7.8,7.8,7.8,7.8,7.8,0
01/05/1977,null,null,null,null,null,null
02/05/1977,7.8,7.8,7.8,7.8,7.8,0
03/05/1977,7.79,7.79,7.79,7.79,7.79,0
04/05/1977,7.78,7.78,7.78,7.78,7.78,0
05/05/1977,7.8,7.8,7.8,7.8,7.8,0
06/05/1977,7.86,7.86,7.86,7.86,7.86,0
08/05/1977,null,null,null,null,null,null
09/05/1977,7.86,7.86,7.86,7.86,7.86,0
10/05/1977,7.86,7.86,7.86,7.86,7.86,0
11/05/1977,7.86,7.86,7.86,7.86,7.86,0
12/05/1977,7.86,7.86,7.86,7.86,7.86,0
13/05/1977,7.8,7.8,7.8,7.8,7.8,0
15/05/1977,null,null,null,null,null,null
16/05/1977,7.79,7.79,7.79,7.79,7.79,0
17/05/1977,7.77,7.77,7.77,7.77,7.77,0
18/05/1977,7.77,7.77,7.77,7.77,7.77,0
19/05/1977,7.81,7.81,7.81,7.81,7.81,0
20/05/1977,7.81,7.81,7.81,7.81,7.81,0
22/05/1977,null,null,null,null,null,null
23/05/1977,7.8,7.8,7.8,7.8,7.8,0
24/05/1977,7.76,7.76,7.76,7.76,7.76,0
25/05/1977,7.74,7.74,7.74,7.74,7.74,0
26/05/1977,7.76,7.76,7.76,7.76,7.76,0
27/05/1977,7.74,7.74,7.74,7.74,7.74,0
29/05/1977,null,null,null,null,null,null
30/05/1977,null,null,null,null,null,null
31/05/1977,7.74,7.74,7.74,7.74,7.74,0
01/06/1977,7.75,7.75,7.75,7.75,7.75,0
02/06/1977,7.74,7.74,7.74,7.74,7.74,0
03/06/1977,7.72,7.72,7.72,7.72,7.72,0
05/06/1977,null,null,null,null,null,null
06/06/1977,7.72,7.72,7.72,7.72,7.72,0
07/06/1977,7.67,7.67,7.67,7.67,7.67,0
08/06/1977,7.67,7.67,7.67,7.67,7.67,0
09/06/1977,7.67,7.67,7.67,7.67,7.67,0
10/06/1977,7.66,7.66,7.66,7.66,7.66,0
12/06/1977,null,null,null,null,null,null
13/06/1977,7.62,7.62,7.62,7.62,7.62,0
14/06/1977,7.59,7.59,7.59,7.59,7.59,0
15/06/1977,7.6,7.6,7.6,7.6,7.6,0
16/06/1977,7.62,7.62,7.62,7.62,7.62,0
17/06/1977,7.62,7.62,7.62,7.62,7.62,0
19/06/1977,null,null,null,null,null,null
20/06/1977,7.63,7.63,7.63,7.63,7.63,0
21/06/1977,7.62,7.62,7.62,7.62,7.62,0
22/06/1977,7.61,7.61,7.61,7.61,7.61,0
23/06/1977,7.61,7.61,7.61,7.61,7.61,0
24/06/1977,7.59,7.59,7.59,7.59,7.59,0
26/06/1977,null,null,null,null,null,null
27/06/1977,7.58,7.58,7.58,7.58,7.58,0
28/06/1977,7.56,7.56,7.56,7.56,7.56,0
29/06/1977,7.56,7.56,7.56,7.56,7.56,0
30/06/1977,7.58,7.58,7.58,7.58,7.58,0
01/07/1977,7.58,7.58,7.58,7.58,7.58,0
03/07/1977,null,null,null,null,null,null
04/07/1977,null,null,null,null,null,null
05/07/1977,7.63,7.63,7.63,7.63,7.63,0
06/07/1977,7.63,7.63,7.63,7.63,7.63,0
07/07/1977,7.62,7.62,7.62,7.62,7.62,0
08/07/1977,7.65,7.65,7.65,7.65,7.65,0
10/07/1977,null,null,null,null,null,null
11/07/1977,7.65,7.65,7.65,7.65,7.65,0
12/07/1977,7.65,7.65,7.65,7.65,7.65,0
13/07/1977,7.62,7.62,7.62,7.62,7.62,0
14/07/1977,null,null,null,null,null,null
15/07/1977,7.64,7.64,7.64,7.64,7.64,0
17/07/1977,null,null,null,null,null,null
18/07/1977,7.64,7.64,7.64,7.64,7.64,0
19/07/1977,7.64,7.64,7.64,7.64,7.64,0
20/07/1977,7.64,7.64,7.64,7.64,7.64,0
21/07/1977,7.65,7.65,7.65,7.65,7.65,0
22/07/1977,7.65,7.65,7.65,7.65,7.65,0
24/07/1977,null,null,null,null,null,null
25/07/1977,7.64,7.64,7.64,7.64,7.64,0
26/07/1977,7.64,7.64,7.64,7.64,7.64,0
27/07/1977,7.66,7.66,7.66,7.66,7.66,0
28/07/1977,7.7,7.7,7.7,7.7,7.7,0
29/07/1977,7.72,7.72,7.72,7.72,7.72,0
31/07/1977,null,null,null,null,null,null
01/08/1977,7.7,7.7,7.7,7.7,7.7,0
02/08/1977,7.72,7.72,7.72,7.72,7.72,0
03/08/1977,7.7,7.7,7.7,7.7,7.7,0
04/08/1977,7.7,7.7,7.7,7.7,7.7,0
05/08/1977,7.72,7.72,7.72,7.72,7.72,0
07/08/1977,null,null,null,null,null,null
08/08/1977,7.71,7.71,7.71,7.71,7.71,0
09/08/1977,7.73,7.73,7.73,7.73,7.73,0
10/08/1977,7.73,7.73,7.73,7.73,7.73,0
11/08/1977,7.74,7.74,7.74,7.74,7.74,0
12/08/1977,7.74,7.74,7.74,7.74,7.74,0
14/08/1977,null,null,null,null,null,null
15/08/1977,7.74,7.74,7.74,7.74,7.74,0
