DATE,open,high,low,close,volume
01/01/1870,100,100,100,100,0
01/01/1871,106.51,106.51,106.51,106.51,0
01/01/1872,113.06,113.06,113.06,113.06,0
01/01/1873,120.55,120.55,120.55,120.55,0
01/01/1874,128.02,128.02,128.02,128.02,0
01/01/1875,136.94,136.94,136.94,136.94,0
01/01/1876,135.27,135.27,135.27,135.27,0
01/01/1877,133.82,133.82,133.82,133.82,0
01/01/1878,141.14,141.14,141.14,141.14,0
01/01/1879,148.87,148.87,148.87,148.87,0
01/01/1880,167.89,167.89,167.89,167.89,0
01/01/1881,171.52,171.52,171.52,171.52,0
01/01/1882,182.74,182.74,182.74,182.74,0
01/01/1883,192.16,192.16,192.16,192.16,0
01/01/1884,196.37,196.37,196.37,196.37,0
01/01/1885,206.42,206.42,206.42,206.42,0
01/01/1886,214.48,214.48,214.48,214.48,0
01/01/1887,217.45,217.45,217.45,217.45,0
01/01/1888,229.34,229.34,229.34,229.34,0
01/01/1889,232.12,232.12,232.12,232.12,0
01/01/1890,228.23,228.23,228.23,228.23,0
01/01/1891,232.55,232.55,232.55,232.55,0
01/01/1892,235.56,235.56,235.56,235.56,0
01/01/1893,242.49,242.49,242.49,242.49,0
01/01/1894,255.9,255.9,255.9,255.9,0
01/01/1895,257.76,257.76,257.76,257.76,0
01/01/1896,270.36,270.36,270.36,270.36,0
01/01/1897,283.85,283.85,283.85,283.85,0
01/01/1898,292.25,292.25,292.25,292.25,0
01/01/1899,307.5,307.5,307.5,307.5,0
01/01/1900,320.74,320.74,320.74,320.74,0
01/01/1901,320.36,320.36,320.36,320.36,0
01/01/1902,326.6,326.6,326.6,326.6,0
01/01/1903,331.5,331.5,331.5,331.5,0
01/01/1904,335.15,335.15,335.15,335.15,0
01/01/1905,342.75,342.75,342.75,342.75,0
01/01/1906,352.89,352.89,352.89,352.89,0
01/01/1907,344.28,344.28,344.28,344.28,0
01/01/1908,357.07,357.07,357.07,357.07,0
01/01/1909,361.65,361.65,361.65,361.65,0
01/01/1910,374.67,374.67,374.67,374.67,0
01/01/1911,387.64,387.64,387.64,387.64,0
01/01/1912,395.47,395.47,395.47,395.47,0
01/01/1913,399.06,399.06,399.06,399.06,0
01/01/1914,403.4,403.4,403.4,403.4,0
01/01/1915,421.52,421.52,421.52,421.52,0
01/01/1916,435.42,435.42,435.42,435.42,0
01/01/1917,429.29,429.29,429.29,429.29,0
01/01/1918,442.73,442.73,442.73,442.73,0
01/01/1919,459.12,459.12,459.12,459.12,0
01/01/1920,444.82,444.82,444.82,444.82,0
01/01/1921,499.57,499.57,499.57,499.57,0
01/01/1922,533.34,533.34,533.34,533.34,0
01/01/1923,552.53,552.53,552.53,552.53,0
01/01/1924,588.36,588.36,588.36,588.36,0
01/01/1925,609,609,609,609,0
01/01/1926,641.23,641.23,641.23,641.23,0
01/01/1927,665.1,665.1,665.1,665.1,0
01/01/1928,674.36,674.36,674.36,674.36,0
01/01/1929,697.29,697.29,697.29,697.29,0
01/01/1930,727.57,727.57,727.57,727.57,0
01/01/1931,690.39,690.39,690.39,690.39,0
01/01/1932,810.27,810.27,810.27,810.27,0
01/01/1933,807,807,807,807,0
01/01/1934,894.78,894.78,894.78,894.78,0
01/01/1935,936.29,936.29,936.29,936.29,0
01/01/1936,1002.52,1002.52,1002.52,1002.52,0
01/01/1937,1003.93,1003.93,1003.93,1003.93,0
01/01/1938,1064.78,1064.78,1064.78,1064.78,0
01/01/1939,1126.03,1126.03,1126.03,1126.03,0
01/01/1940,1196.26,1196.26,1196.26,1196.26,0
01/01/1941,1209.92,1209.92,1209.92,1209.92,0
01/01/1942,1234.12,1234.12,1234.12,1234.12,0
01/01/1943,1263.74,1263.74,1263.74,1263.74,0
01/01/1944,1295.33,1295.33,1295.33,1295.33,0
01/01/1945,1435.19,1435.19,1435.19,1435.19,0
01/01/1946,1433.57,1433.57,1433.57,1433.57,0
01/01/1947,1391.48,1391.48,1391.48,1391.48,0
01/01/1948,1435.42,1435.42,1435.42,1435.42,0
01/01/1949,1523.83,1523.83,1523.83,1523.83,0
01/01/1950,1522.71,1522.71,1522.71,1522.71,0
01/01/1951,1465.97,1465.97,1465.97,1465.97,0
01/01/1952,1482.47,1482.47,1482.47,1482.47,0
01/01/1953,1535.84,1535.84,1535.84,1535.84,0
01/01/1954,1638.25,1638.25,1638.25,1638.25,0
01/01/1955,1618.32,1618.32,1618.32,1618.32,0
01/01/1956,1525.58,1525.58,1525.58,1525.58,0
01/01/1957,1643.78,1643.78,1643.78,1643.78,0
01/01/1958,1559.4,1559.4,1559.4,1559.4,0
01/01/1959,1519.43,1519.43,1519.43,1519.43,0
01/01/1960,1719.05,1719.05,1719.05,1719.05,0
01/01/1961,1738.32,1738.32,1738.32,1738.32,0
01/01/1962,1871.65,1871.65,1871.65,1871.65,0
01/01/1963,1859.95,1859.95,1859.95,1859.95,0
01/01/1964,1953.43,1953.43,1953.43,1953.43,0
01/01/1965,1943.92,1943.92,1943.92,1943.92,0
01/01/1966,2029.45,2029.45,2029.45,2029.45,0
01/01/1967,1925.64,1925.64,1925.64,1925.64,0
01/01/1968,1923.34,1923.34,1923.34,1923.34,0
01/01/1969,1816.87,1816.87,1816.87,1816.87,0
01/01/1970,2074.77,2074.77,2074.77,2074.77,0
01/01/1971,2447.5,2447.5,2447.5,2447.5,0
01/01/1972,2583.4,2583.4,2583.4,2583.4,0
01/01/1973,2484.37,2484.37,2484.37,2484.37,0
01/01/1974,2547.83,2547.83,2547.83,2547.83,0
01/01/1975,2713.68,2713.68,2713.68,2713.68,0
01/01/1976,3184.2,3184.2,3184.2,3184.2,0
