DATE,open,high,low,close,volume
01/01/1870,100,100,100,100,0
01/01/1871,100,100,100,100,0
01/01/1872,113.29,113.29,113.29,113.29,0
01/01/1873,106.14,106.14,106.14,106.14,0
01/01/1874,116.95,116.95,116.95,116.95,0
01/01/1875,120.3,120.3,120.3,120.3,0
01/01/1876,106.81,106.81,106.81,106.81,0
01/01/1877,102.63,102.63,102.63,102.63,0
01/01/1878,114.63,114.63,114.63,114.63,0
01/01/1879,170.12,170.12,170.12,170.12,0
01/01/1880,210.92,210.92,210.92,210.92,0
01/01/1881,228.62,228.62,228.62,228.62,0
01/01/1882,234.32,234.32,234.32,234.32,0
01/01/1883,227.5,227.5,227.5,227.5,0
01/01/1884,198.1,198.1,198.1,198.1,0
01/01/1885,248.31,248.31,248.31,248.31,0
01/01/1886,279.83,279.83,279.83,279.83,0
01/01/1887,273.88,273.88,273.88,273.88,0
01/01/1888,279.07,279.07,279.07,279.07,0
01/01/1889,300.79,300.79,300.79,300.79,0
01/01/1890,272.52,272.52,272.52,272.52,0
01/01/1891,333.54,333.54,333.54,333.54,0
01/01/1892,354.51,354.51,354.51,354.51,0
01/01/1893,299.82,299.82,299.82,299.82,0
01/01/1894,306.62,306.62,306.62,306.62,0
01/01/1895,321.59,321.59,321.59,321.59,0
01/01/1896,327.55,327.55,327.55,327.55,0
01/01/1897,382.65,382.65,382.65,382.65,0
01/01/1898,471.27,471.27,471.27,471.27,0
01/01/1899,519.65,519.65,519.65,519.65,0
01/01/1900,618.92,618.92,618.92,618.92,0
01/01/1901,745.04,745.04,745.04,745.04,0
01/01/1902,785.34,785.34,785.34,785.34,0
01/01/1903,675.1,675.1,675.1,675.1,0
01/01/1904,879.58,879.58,879.58,879.58,0
01/01/1905,1052.3,1052.3,1052.3,1052.3,0
01/01/1906,1129.51,1129.51,1129.51,1129.51,0
01/01/1907,804.66,804.66,804.66,804.66,0
01/01/1908,1154.94,1154.94,1154.94,1154.94,0
01/01/1909,1373.65,1373.65,1373.65,1373.65,0
01/01/1910,1269.63,1269.63,1269.63,1269.63,0
01/01/1911,1343.98,1343.98,1343.98,1343.98,0
01/01/1912,1454.63,1454.63,1454.63,1454.63,0
01/01/1913,1321.26,1321.26,1321.26,1321.26,0
01/01/1914,1276.89,1276.89,1276.89,1276.89,0
01/01/1915,1721.63,1721.63,1721.63,1721.63,0
01/01/1916,1881.44,1881.44,1881.44,1881.44,0
01/01/1917,1437.96,1437.96,1437.96,1437.96,0
01/01/1918,1791.11,1791.11,1791.11,1791.11,0
01/01/1919,2142.52,2142.52,2142.52,2142.52,0
01/01/1920,1758.22,1758.22,1758.22,1758.22,0
01/01/1921,2006.07,2006.07,2006.07,2006.07,0
01/01/1922,2549.44,2549.44,2549.44,2549.44,0
01/01/1923,2636.55,2636.55,2636.55,2636.55,0
01/01/1924,3302.62,3302.62,3302.62,3302.62,0
01/01/1925,4245.3,4245.3,4245.3,4245.3,0
01/01/1926,4831.33,4831.33,4831.33,4831.33,0
01/01/1927,6528.92,6528.92,6528.92,6528.92,0
01/01/1928,8974.46,8974.46,8974.46,8974.46,0
01/01/1929,8672.08,8672.08,8672.08,8672.08,0
01/01/1930,6682.37,6682.37,6682.37,6682.37,0
01/01/1931,3989.6,3989.6,3989.6,3989.6,0
01/01/1932,3460.18,3460.18,3460.18,3460.18,0
01/01/1933,5281.59,5281.59,5281.59,5281.59,0
01/01/1934,5143.85,5143.85,5143.85,5143.85,0
01/01/1935,7504.69,7504.69,7504.69,7504.69,0
01/01/1936,10232.63,10232.63,10232.63,10232.63,0
01/01/1937,7089.66,7089.66,7089.66,7089.66,0
01/01/1938,8492.15,8492.15,8492.15,8492.15,0
01/01/1939,8692.91,8692.91,8692.91,8692.91,0
01/01/1940,7870.71,7870.71,7870.71,7870.71,0
01/01/1941,7078.4,7078.4,7078.4,7078.4,0
01/01/1942,8169.25,8169.25,8169.25,8169.25,0
01/01/1943,10374.61,10374.61,10374.61,10374.61,0
01/01/1944,12417,12417,12417,12417,0
01/01/1945,17052.04,17052.04,17052.04,17052.04,0
01/01/1946,15585.94,15585.94,15585.94,15585.94,0
01/01/1947,16348.24,16348.24,16348.24,16348.24,0
01/01/1948,17533.84,17533.84,17533.84,17533.84,0
01/01/1949,20408.05,20408.05,20408.05,20408.05,0
01/01/1950,26182.52,26182.52,26182.52,26182.52,0
01/01/1951,32903.81,32903.81,32903.81,32903.81,0
01/01/1952,38582.21,38582.21,38582.21,38582.21,0
01/01/1953,38937.8,38937.8,38937.8,38937.8,0
01/01/1954,57254.1,57254.1,57254.1,57254.1,0
01/01/1955,76966.4,76966.4,76966.4,76966.4,0
01/01/1956,81733.33,81733.33,81733.33,81733.33,0
01/01/1957,74130.23,74130.23,74130.23,74130.23,0
01/01/1958,101536.18,101536.18,101536.18,101536.18,0
01/01/1959,115583.06,115583.06,115583.06,115583.06,0
01/01/1960,114976.38,114976.38,114976.38,114976.38,0
01/01/1961,149307.35,149307.35,149307.35,149307.35,0
01/01/1962,134801.19,134801.19,134801.19,134801.19,0
01/01/1963,164520.29,164520.29,164520.29,164520.29,0
01/01/1964,191781.37,191781.37,191781.37,191781.37,0
01/01/1965,215742.62,215742.62,215742.62,215742.62,0
01/01/1966,198032.58,198032.58,198032.58,198032.58,0
01/01/1967,239158.49,239158.49,239158.49,239158.49,0
01/01/1968,274969.53,274969.53,274969.53,274969.53,0
01/01/1969,243393.22,243393.22,243393.22,243393.22,0
01/01/1970,248949.77,248949.77,248949.77,248949.77,0
01/01/1971,282649.92,282649.92,282649.92,282649.92,0
01/01/1972,343871.26,343871.26,343871.26,343871.26,0
01/01/1973,287271.51,287271.51,287271.51,287271.51,0
01/01/1974,214195.8,214195.8,214195.8,214195.8,0
01/01/1975,295026.21,295026.21,295026.21,295026.21,0
01/01/1976,361714.77,361714.77,361714.77,361714.77,0
01/01/1977,340260.63,340260.63,340260.63,340260.63,0
01/01/1978,366953.42,366953.42,366953.42,366953.42,0
01/01/1979,433158.53,433158.53,433158.53,433158.53,0
01/01/1980,561177.36,561177.36,561177.36,561177.36,0
01/01/1981,548272.38,548272.38,548272.38,548272.38,0
01/01/1982,647785.15,647785.15,647785.15,647785.15,0
01/01/1983,796905.84,796905.84,796905.84,796905.84,0
01/01/1984,833891.19,833891.19,833891.19,833891.19,0
01/01/1985,1090902.03,1090902.03,1090902.03,1090902.03,0
01/01/1986,1351813.37,1351813.37,1351813.37,1351813.37,0
01/01/1987,1358393,1358393,1358393,1358393,0
01/01/1988,1613443.97,1613443.97,1613443.97,1613443.97,0
01/01/1989,2098702.56,2098702.56,2098702.56,2098702.56,0
01/01/1990,2051984.45,2051984.45,2051984.45,2051984.45,0
01/01/1991,2501142.77,2501142.77,2501142.77,2501142.77,0
01/01/1992,2884319.56,2884319.56,2884319.56,2884319.56,0
01/01/1993,3168289.04,3168289.04,3168289.04,3168289.04,0
01/01/1994,3184676.16,3184676.16,3184676.16,3184676.16,0
01/01/1995,4396236.98,4396236.98,4396236.98,4396236.98,0
01/01/1996,5423315.62,5423315.62,5423315.62,5423315.62,0
01/01/1997,7135280.96,7135280.96,7135280.96,7135280.96,0
01/01/1998,8943475.55,8943475.55,8943475.55,8943475.55,0
01/01/1999,10862258.94,10862258.94,10862258.94,10862258.94,0
01/01/2000,10242766.23,10242766.23,10242766.23,10242766.23,0
01/01/2001,8932454.32,8932454.32,8932454.32,8932454.32,0
01/01/2002,7140549.03,7140549.03,7140549.03,7140549.03,0
01/01/2003,8719652.37,8719652.37,8719652.37,8719652.37,0
01/01/2004,9833250.99,9833250.99,9833250.99,9833250.99,0
01/01/2005,10530887.78,10530887.78,10530887.78,10530887.78,0
01/01/2006,12026407.91,12026407.91,12026407.91,12026407.91,0
