DATE,DFII20
2004-07-27,2.49
2004-07-28,2.46
2004-07-29,2.44
2004-07-30,2.38
2004-08-02,2.37
2004-08-03,2.36
2004-08-04,2.35
2004-08-05,2.32
2004-08-06,2.22
2004-08-09,2.23
2004-08-10,2.26
2004-08-11,2.23
2004-08-12,2.18
2004-08-13,2.14
2004-08-16,2.19
2004-08-17,2.18
2004-08-18,2.22
2004-08-19,2.17
2004-08-20,2.17
2004-08-23,2.23
2004-08-24,2.24
2004-08-25,2.25
2004-08-26,2.23
2004-08-27,2.22
2004-08-30,2.20
2004-08-31,2.14
2004-09-01,2.14
2004-09-02,2.18
2004-09-03,2.23
2004-09-06,.
2004-09-07,2.22
2004-09-08,2.18
2004-09-09,2.19
2004-09-10,2.19
2004-09-13,2.16
2004-09-14,2.17
2004-09-15,2.21
2004-09-16,2.17
2004-09-17,2.20
2004-09-20,2.17
2004-09-21,2.16
2004-09-22,2.09
2004-09-23,2.12
2004-09-24,2.12
2004-09-27,2.09
2004-09-28,2.07
2004-09-29,2.12
2004-09-30,2.12
2004-10-01,2.18
2004-10-04,2.19
2004-10-05,2.18
2004-10-06,2.24
2004-10-07,2.25
2004-10-08,2.17
2004-10-11,.
2004-10-12,2.14
2004-10-13,2.12
2004-10-14,2.10
2004-10-15,2.10
2004-10-18,2.10
2004-10-19,2.10
2004-10-20,2.06
2004-10-21,2.04
2004-10-22,2.06
2004-10-25,2.05
2004-10-26,2.07
2004-10-27,2.17
2004-10-28,2.12
2004-10-29,2.09
2004-11-01,2.13
2004-11-02,2.07
2004-11-03,2.05
2004-11-04,2.08
2004-11-05,2.14
2004-11-08,2.16
2004-11-09,2.17
2004-11-10,2.19
2004-11-11,.
2004-11-12,2.13
2004-11-15,2.09
2004-11-16,2.10
2004-11-17,2.05
2004-11-18,2.03
2004-11-19,2.06
2004-11-22,2.01
2004-11-23,2.04
2004-11-24,2.03
2004-11-25,.
2004-11-26,2.06
2004-11-29,2.11
2004-11-30,2.15
2004-12-01,2.18
2004-12-02,2.20
2004-12-03,2.10
2004-12-06,2.08
2004-12-07,2.08
2004-12-08,2.00
2004-12-09,2.03
2004-12-10,2.05
2004-12-13,2.03
2004-12-14,2.00
2004-12-15,1.93
2004-12-16,2.00
2004-12-17,2.00
2004-12-20,1.97
2004-12-21,1.89
2004-12-22,1.94
2004-12-23,1.95
2004-12-24,.
2004-12-27,1.98
2004-12-28,2.00
2004-12-29,2.03
2004-12-30,2.00
2004-12-31,1.96
2005-01-03,1.96
2005-01-04,2.02
2005-01-05,2.04
2005-01-06,2.03
2005-01-07,2.06
2005-01-10,2.05
2005-01-11,2.03
2005-01-12,2.00
2005-01-13,1.97
2005-01-14,1.97
2005-01-17,.
2005-01-18,1.93
2005-01-19,1.95
2005-01-20,1.94
2005-01-21,1.93
2005-01-24,1.90
2005-01-25,2.00
2005-01-26,1.99
2005-01-27,1.99
2005-01-28,1.94
2005-01-31,1.92
2005-02-01,1.94
2005-02-02,1.96
2005-02-03,1.97
2005-02-04,1.88
2005-02-07,1.84
2005-02-08,1.79
2005-02-09,1.73
2005-02-10,1.80
2005-02-11,1.78
2005-02-14,1.73
2005-02-15,1.78
2005-02-16,1.81
2005-02-17,1.83
2005-02-18,1.86
2005-02-21,.
2005-02-22,1.90
2005-02-23,1.88
2005-02-24,1.90
2005-02-25,1.90
2005-02-28,1.96
2005-03-01,1.95
2005-03-02,1.95
2005-03-03,1.93
2005-03-04,1.86
2005-03-07,1.81
2005-03-08,1.84
2005-03-09,1.93
2005-03-10,1.93
2005-03-11,1.99
2005-03-14,1.98
2005-03-15,1.99
2005-03-16,1.96
2005-03-17,1.90
2005-03-18,1.94
2005-03-21,1.95
2005-03-22,2.02
2005-03-23,2.04
2005-03-24,2.03
2005-03-25,.
2005-03-28,2.05
2005-03-29,2.03
2005-03-30,1.98
2005-03-31,1.91
2005-04-01,1.88
2005-04-04,1.90
2005-04-05,1.93
2005-04-06,1.93
2005-04-07,1.99
2005-04-08,1.97
2005-04-11,1.94
2005-04-12,1.89
2005-04-13,1.90
2005-04-14,1.90
2005-04-15,1.85
2005-04-18,1.83
2005-04-19,1.78
2005-04-20,1.79
2005-04-21,1.84
2005-04-22,1.80
2005-04-25,1.83
2005-04-26,1.86
2005-04-27,1.87
2005-04-28,1.80
2005-04-29,1.82
2005-05-02,1.82
2005-05-03,1.84
2005-05-04,1.86
2005-05-05,1.86
2005-05-06,1.89
2005-05-09,1.88
2005-05-10,1.85
2005-05-11,1.82
2005-05-12,1.83
2005-05-13,1.83
2005-05-16,1.83
2005-05-17,1.80
2005-05-18,1.80
2005-05-19,1.83
2005-05-20,1.80
2005-05-23,1.76
2005-05-24,1.74
2005-05-25,1.80
2005-05-26,1.85
2005-05-27,1.83
2005-05-30,.
2005-05-31,1.78
2005-06-01,1.69
2005-06-02,1.69
2005-06-03,1.73
2005-06-06,1.71
2005-06-07,1.71
2005-06-08,1.73
2005-06-09,1.75
2005-06-10,1.83
2005-06-13,1.88
2005-06-14,1.91
2005-06-15,1.91
2005-06-16,1.86
2005-06-17,1.86
2005-06-20,1.88
2005-06-21,1.86
2005-06-22,1.82
2005-06-23,1.82
2005-06-24,1.80
2005-06-27,1.77
2005-06-28,1.81
2005-06-29,1.83
2005-06-30,1.79
2005-07-01,1.84
2005-07-04,.
2005-07-05,1.90
2005-07-06,1.90
2005-07-07,1.89
2005-07-08,1.95
2005-07-11,1.93
2005-07-12,1.95
2005-07-13,1.98
2005-07-14,2.05
2005-07-15,2.06
2005-07-18,2.10
2005-07-19,2.05
2005-07-20,2.01
2005-07-21,2.07
2005-07-22,2.01
2005-07-25,2.07
2005-07-26,2.05
2005-07-27,2.06
2005-07-28,2.02
2005-07-29,2.03
2005-08-01,2.08
2005-08-02,2.12
2005-08-03,2.06
2005-08-04,2.05
2005-08-05,2.10
2005-08-08,2.11
2005-08-09,2.10
2005-08-10,2.11
2005-08-11,2.07
2005-08-12,2.01
2005-08-15,2.04
2005-08-16,2.00
2005-08-17,2.03
2005-08-18,1.99
2005-08-19,1.99
2005-08-22,2.00
2005-08-23,1.99
2005-08-24,1.97
2005-08-25,1.94
2005-08-26,1.94
2005-08-29,1.92
2005-08-30,1.90
2005-08-31,1.87
2005-09-01,1.85
2005-09-02,1.84
2005-09-05,.
2005-09-06,1.92
2005-09-07,1.96
2005-09-08,1.94
2005-09-09,1.91
2005-09-12,1.94
2005-09-13,1.91
2005-09-14,1.92
2005-09-15,1.96
2005-09-16,1.97
2005-09-19,1.94
2005-09-20,1.95
2005-09-21,1.91
2005-09-22,1.90
2005-09-23,1.95
2005-09-26,1.99
2005-09-27,1.95
2005-09-28,1.90
2005-09-29,1.93
2005-09-30,1.95
2005-10-03,2.02
2005-10-04,2.01
2005-10-05,2.00
2005-10-06,2.06
2005-10-07,2.03
2005-10-10,.
2005-10-11,2.05
2005-10-12,2.10
2005-10-13,2.12
2005-10-14,2.10
2005-10-17,2.11
2005-10-18,2.08
2005-10-19,2.11
2005-10-20,2.09
2005-10-21,2.07
2005-10-24,2.11
2005-10-25,2.18
2005-10-26,2.21
2005-10-27,2.15
2005-10-28,2.14
2005-10-31,2.13
2005-11-01,2.14
2005-11-02,2.15
2005-11-03,2.18
2005-11-04,2.20
2005-11-07,2.16
2005-11-08,2.13
2005-11-09,2.19
2005-11-10,2.15
2005-11-11,.
2005-11-14,2.21
2005-11-15,2.16
2005-11-16,2.12
2005-11-17,2.10
2005-11-18,2.15
2005-11-21,2.14
2005-11-22,2.13
2005-11-23,2.18
2005-11-24,.
2005-11-25,2.15
2005-11-28,2.13
2005-11-29,2.18
2005-11-30,2.17
2005-12-01,2.21
