Date,Gold USD
29/12/1978,226.0
01/01/1979,226.0
02/01/1979,226.8
03/01/1979,218.6
04/01/1979,223.2
05/01/1979,225.5
08/01/1979,223.1
09/01/1979,224.0
10/01/1979,220.7
11/01/1979,220.7
12/01/1979,217.6
15/01/1979,216.9
16/01/1979,220.7
17/01/1979,227.3
18/01/1979,231.8
19/01/1979,230.6
22/01/1979,235.0
23/01/1979,230.0
24/01/1979,236.1
25/01/1979,233.9
26/01/1979,235.5
29/01/1979,235.2
30/01/1979,233.5
31/01/1979,233.7
01/02/1979,229.4
02/02/1979,230.3
05/02/1979,243.1
06/02/1979,244.5
07/02/1979,251.6
08/02/1979,250.5
09/02/1979,246.8
12/02/1979,244.3
13/02/1979,240.6
14/02/1979,240.7
15/02/1979,247.8
16/02/1979,247.1
19/02/1979,248.1
20/02/1979,247.0
21/02/1979,250.8
22/02/1979,252.4
23/02/1979,251.0
26/02/1979,248.6
27/02/1979,247.9
28/02/1979,251.3
01/03/1979,248.8
02/03/1979,248.0
05/03/1979,238.2
06/03/1979,239.8
07/03/1979,242.3
08/03/1979,239.2
09/03/1979,241.0
12/03/1979,240.0
13/03/1979,239.1
14/03/1979,239.5
15/03/1979,240.1
16/03/1979,244.0
19/03/1979,242.3
20/03/1979,242.1
21/03/1979,239.9
22/03/1979,242.9
23/03/1979,242.5
26/03/1979,245.3
27/03/1979,244.4
28/03/1979,244.4
29/03/1979,241.5
30/03/1979,240.1
02/04/1979,239.7
03/04/1979,240.0
04/04/1979,239.8
05/04/1979,240.7
06/04/1979,239.8
09/04/1979,240.2
10/04/1979,239.8
11/04/1979,238.4
12/04/1979,234.0
13/04/1979,234.0
16/04/1979,234.0
17/04/1979,231.9
18/04/1979,233.2
19/04/1979,240.9
20/04/1979,236.4
23/04/1979,236.9
24/04/1979,239.7
25/04/1979,241.8
26/04/1979,242.2
27/04/1979,243.7
30/04/1979,245.3
01/05/1979,247.3
02/05/1979,246.3
03/05/1979,246.5
04/05/1979,248.5
07/05/1979,248.5
08/05/1979,249.0
09/05/1979,248.0
10/05/1979,252.3
11/05/1979,251.5
14/05/1979,251.0
15/05/1979,255.5
16/05/1979,256.5
17/05/1979,256.8
18/05/1979,256.4
21/05/1979,262.0
22/05/1979,265.4
23/05/1979,264.2
24/05/1979,263.8
25/05/1979,270.6
28/05/1979,270.6
29/05/1979,273.8
30/05/1979,270.3
31/05/1979,274.6
01/06/1979,275.1
04/06/1979,272.9
05/06/1979,274.8
06/06/1979,280.0
07/06/1979,276.1
08/06/1979,280.0
11/06/1979,282.4
12/06/1979,277.8
13/06/1979,276.6
14/06/1979,279.0
15/06/1979,280.0
18/06/1979,278.0
19/06/1979,280.3
20/06/1979,281.4
21/06/1979,282.3
22/06/1979,283.5
25/06/1979,283.9
26/06/1979,281.5
27/06/1979,281.8
28/06/1979,275.9
29/06/1979,277.5
02/07/1979,282.5
03/07/1979,281.4
04/07/1979,283.5
05/07/1979,288.3
06/07/1979,290.3
09/07/1979,287.9
10/07/1979,290.5
11/07/1979,290.3
12/07/1979,290.8
13/07/1979,287.5
16/07/1979,292.8
17/07/1979,296.3
18/07/1979,302.2
19/07/1979,299.2
20/07/1979,298.8
23/07/1979,304.9
24/07/1979,305.3
25/07/1979,303.4
26/07/1979,305.2
27/07/1979,305.8
30/07/1979,301.4
31/07/1979,296.5
01/08/1979,290.1
02/08/1979,291.5
03/08/1979,286.5
06/08/1979,282.7
07/08/1979,285.1
08/08/1979,289.0
09/08/1979,297.1
10/08/1979,303.8
13/08/1979,298.8
14/08/1979,292.0
15/08/1979,301.9
16/08/1979,297.9
17/08/1979,300.6
20/08/1979,298.8
21/08/1979,300.5
22/08/1979,311.0
23/08/1979,310.1
24/08/1979,314.8
27/08/1979,314.8
28/08/1979,316.8
29/08/1979,315.2
30/08/1979,319.2
31/08/1979,315.1
03/09/1979,322.9
04/09/1979,325.0
05/09/1979,329.0
06/09/1979,335.5
07/09/1979,329.2
10/09/1979,336.3
11/09/1979,339.5
12/09/1979,337.1
13/09/1979,333.0
14/09/1979,345.8
17/09/1979,351.8
18/09/1979,375.8
19/09/1979,369.0
20/09/1979,380.0
21/09/1979,369.0
24/09/1979,380.4
25/09/1979,376.7
26/09/1979,373.8
27/09/1979,395.5
28/09/1979,397.3
01/10/1979,414.8
02/10/1979,426.0
03/10/1979,402.0
04/10/1979,384.0
05/10/1979,385.0
08/10/1979,372.0
09/10/1979,385.8
10/10/1979,413.0
11/10/1979,401.5
12/10/1979,395.0
15/10/1979,402.9
16/10/1979,394.3
17/10/1979,386.0
18/10/1979,380.5
19/10/1979,393.0
22/10/1979,392.0
23/10/1979,385.0
24/10/1979,395.0
25/10/1979,391.8
26/10/1979,375.0
29/10/1979,374.0
30/10/1979,377.6
31/10/1979,382.0
01/11/1979,378.5
02/11/1979,372.8
05/11/1979,381.0
06/11/1979,384.3
07/11/1979,395.0
08/11/1979,389.5
09/11/1979,389.5
12/11/1979,393.3
13/11/1979,387.2
14/11/1979,390.0
15/11/1979,386.0
16/11/1979,390.4
19/11/1979,389.9
20/11/1979,387.8
21/11/1979,396.2
22/11/1979,393.2
23/11/1979,392.0
26/11/1979,395.3
27/11/1979,393.8
28/11/1979,411.2
29/11/1979,411.7
30/11/1979,415.7
03/12/1979,428.8
04/12/1979,431.2
05/12/1979,426.4
06/12/1979,433.8
07/12/1979,430.4
10/12/1979,431.2
11/12/1979,445.5
12/12/1979,446.3
13/12/1979,458.8
14/12/1979,456.8
17/12/1979,469.5
18/12/1979,477.8
19/12/1979,488.5
20/12/1979,471.5
21/12/1979,473.1
24/12/1979,473.1
25/12/1979,473.1
26/12/1979,473.1
27/12/1979,473.1
28/12/1979,512.0
31/12/1979,512.0
01/01/1980,512.0
02/01/1980,559.5
03/01/1980,634.0
04/01/1980,588.0
07/01/1980,633.5
08/01/1980,610.0
09/01/1980,607.2
10/01/1980,602.9
11/01/1980,623.0
14/01/1980,660.0
15/01/1980,684.0
16/01/1980,760.0
17/01/1980,750.0
18/01/1980,835.0
21/01/1980,850.0
22/01/1980,737.5
23/01/1980,695.0
24/01/1980,717.0
25/01/1980,668.0
28/01/1980,624.0
29/01/1980,674.3
30/01/1980,691.0
31/01/1980,653.0
01/02/1980,676.5
04/02/1980,669.8
05/02/1980,682.0
06/02/1980,709.0
07/02/1980,699.3
08/02/1980,692.0
11/02/1980,710.5
12/02/1980,694.5
13/02/1980,696.8
14/02/1980,682.0
15/02/1980,667.0
18/02/1980,661.5
19/02/1980,652.3
20/02/1980,606.0
21/02/1980,665.0
22/02/1980,630.0
25/02/1980,616.5
26/02/1980,642.3
27/02/1980,636.0
28/02/1980,646.0
29/02/1980,637.0
03/03/1980,633.8
04/03/1980,631.3
05/03/1980,643.5
06/03/1980,626.0
07/03/1980,609.0
10/03/1980,585.0
11/03/1980,570.3
12/03/1980,585.7
13/03/1980,556.5
14/03/1980,523.0
17/03/1980,484.0
18/03/1980,481.5
19/03/1980,527.0
20/03/1980,561.0
21/03/1980,525.0
24/03/1980,558.3
25/03/1980,547.3
26/03/1980,507.5
27/03/1980,485.3
28/03/1980,490.0
31/03/1980,494.5
01/04/1980,509.5
02/04/1980,500.5
03/04/1980,485.8
04/04/1980,485.8
07/04/1980,485.8
08/04/1980,528.0
09/04/1980,554.0
10/04/1980,526.0
11/04/1980,530.5
14/04/1980,529.8
15/04/1980,497.5
16/04/1980,520.0
17/04/1980,513.0
18/04/1980,515.6
21/04/1980,506.0
22/04/1980,502.4
23/04/1980,506.5
24/04/1980,515.7
25/04/1980,551.5
28/04/1980,524.3
29/04/1980,513.8
30/04/1980,518.0
01/05/1980,490.0
02/05/1980,512.5
05/05/1980,512.5
06/05/1980,512.5
07/05/1980,510.0
08/05/1980,515.8
09/05/1980,508.3
12/05/1980,513.3
13/05/1980,512.0
14/05/1980,525.0
15/05/1980,517.0
16/05/1980,516.5
19/05/1980,513.8
20/05/1980,507.8
21/05/1980,513.5
22/05/1980,501.0
23/05/1980,511.3
26/05/1980,511.3
27/05/1980,514.8
28/05/1980,526.5
29/05/1980,519.6
30/05/1980,535.5
02/06/1980,561.5
03/06/1980,552.5
04/06/1980,571.5
05/06/1980,581.8
06/06/1980,597.0
09/06/1980,623.8
10/06/1980,604.0
11/06/1980,596.0
12/06/1980,590.0
13/06/1980,608.4
16/06/1980,595.0
17/06/1980,591.8
18/06/1980,602.5
19/06/1980,599.0
20/06/1980,602.9
23/06/1980,596.5
24/06/1980,603.0
25/06/1980,622.5
26/06/1980,624.5
27/06/1980,637.5
30/06/1980,653.5
01/07/1980,660.0
02/07/1980,661.5
03/07/1980,663.5
04/07/1980,666.5
07/07/1980,667.5
08/07/1980,687.5
09/07/1980,671.0
10/07/1980,656.5
11/07/1980,667.0
14/07/1980,650.0
15/07/1980,619.5
16/07/1980,624.8
17/07/1980,627.3
18/07/1980,606.0
21/07/1980,617.5
22/07/1980,613.0
23/07/1980,631.3
24/07/1980,643.0
25/07/1980,651.8
28/07/1980,643.5
29/07/1980,646.8
30/07/1980,629.0
31/07/1980,614.3
01/08/1980,622.0
04/08/1980,630.8
05/08/1980,630.5
06/08/1980,627.8
07/08/1980,629.5
08/08/1980,630.0
11/08/1980,617.0
12/08/1980,605.0
13/08/1980,615.3
14/08/1980,626.0
15/08/1980,624.5
18/08/1980,612.3
19/08/1980,624.0
20/08/1980,634.8
21/08/1980,645.3
22/08/1980,639.2
25/08/1980,639.2
26/08/1980,628.9
27/08/1980,633.9
28/08/1980,635.3
29/08/1980,631.3
01/09/1980,628.8
02/09/1980,640.0
03/09/1980,636.8
04/09/1980,647.3
05/09/1980,651.0
08/09/1980,672.0
09/09/1980,670.5
10/09/1980,686.5
11/09/1980,674.0
12/09/1980,685.5
15/09/1980,666.5
16/09/1980,668.0
17/09/1980,673.0
18/09/1980,672.0
19/09/1980,674.0
22/09/1980,710.0
23/09/1980,711.0
24/09/1980,710.5
25/09/1980,697.8
26/09/1980,698.8
29/09/1980,679.3
30/09/1980,666.8
01/10/1980,682.0
02/10/1980,665.8
03/10/1980,660.5
06/10/1980,675.5
07/10/1980,678.2
08/10/1980,677.0
09/10/1980,690.0
10/10/1980,685.3
13/10/1980,679.8
14/10/1980,668.5
15/10/1980,678.0
16/10/1980,674.0
17/10/1980,670.5
20/10/1980,657.0
21/10/1980,652.5
22/10/1980,660.0
23/10/1980,634.5
24/10/1980,633.0
27/10/1980,637.3
28/10/1980,631.8
29/10/1980,644.0
30/10/1980,642.5
31/10/1980,629.0
03/11/1980,640.5
04/11/1980,646.0
05/11/1980,652.0
06/11/1980,632.0
07/11/1980,596.0
10/11/1980,612.5
11/11/1980,598.5
12/11/1980,619.5
13/11/1980,622.0
14/11/1980,612.5
17/11/1980,611.8
18/11/1980,619.0
19/11/1980,629.8
20/11/1980,630.5
21/11/1980,634.8
24/11/1980,631.0
25/11/1980,616.3
26/11/1980,623.0
27/11/1980,622.0
28/11/1980,619.8
01/12/1980,635.0
02/12/1980,627.0
03/12/1980,627.3
04/12/1980,631.5
05/12/1980,617.0
08/12/1980,617.3
09/12/1980,604.0
10/12/1980,579.0
11/12/1980,558.0
12/12/1980,562.8
15/12/1980,579.0
16/12/1980,561.0
17/12/1980,575.5
18/12/1980,573.5
19/12/1980,575.0
22/12/1980,594.8
23/12/1980,602.5
24/12/1980,602.5
25/12/1980,602.5
26/12/1980,602.5
29/12/1980,593.8
30/12/1980,589.8
31/12/1980,589.8
01/01/1981,589.8
02/01/1981,589.8
05/01/1981,597.5
06/01/1981,599.3
07/01/1981,585.0
08/01/1981,574.8
