sep=;
SYNCHRONY LPP FUNDS - LPP 80 B - CH0358551346 (CHF)
Date;CCY Chart Price;Chart Price;CCY Adjusted Chart Price;Adjusted Chart Price;CCY Total Return Chart Price;Total Return Chart Price;Net Asset Value;Issue Price;Redemption Price;Closing Price
2017-09-20;CHF;100;CHF;100;CHF;100;100;;;
2017-09-27;CHF;99.66;CHF;99.66;CHF;99.66;99.66;;;
2017-09-29;CHF;99.95;CHF;99.95;CHF;99.95;99.95;;;
2017-10-04;CHF;101.14;CHF;101.14;CHF;101.14;101.14;;;
2017-10-11;CHF;101.13;CHF;101.13;CHF;101.13;101.13;;;
2017-10-15;CHF;101.37;CHF;101.37;CHF;101.37;101.37;;;
2017-10-18;CHF;101.52;CHF;101.52;CHF;101.52;101.52;;;
2017-10-25;CHF;100.56;CHF;100.56;CHF;100.56;100.56;;;
2017-10-31;CHF;101.69;CHF;101.69;CHF;101.69;101.69;;;
2017-11-01;CHF;102.02;CHF;102.02;CHF;102.02;102.02;;;
2017-11-08;CHF;102.02;CHF;102.02;CHF;102.02;102.02;;;
2017-11-15;CHF;100.2;CHF;100.2;CHF;100.2;100.2;;;
2017-11-22;CHF;101.74;CHF;101.74;CHF;101.74;101.74;;;
2017-11-29;CHF;101.88;CHF;101.88;CHF;101.88;101.88;;;
2017-11-30;CHF;102.07;CHF;102.07;CHF;102.07;102.07;;;
2017-12-06;CHF;101.94;CHF;101.94;CHF;101.94;101.94;;;
2017-12-13;CHF;102.57;CHF;102.57;CHF;102.57;102.57;;;
2017-12-15;CHF;102.61;CHF;102.61;CHF;102.61;102.61;;;
2017-12-20;CHF;102.13;CHF;102.13;CHF;102.13;102.13;;;
2017-12-27;CHF;103.13;CHF;103.13;CHF;103.13;103.13;;;
2017-12-29;CHF;102.44;CHF;102.44;CHF;102.44;102.44;;;
2017-12-31;CHF;102.43;CHF;102.43;CHF;102.43;102.43;;;
2018-01-03;CHF;103.47;CHF;103.47;CHF;103.47;103.47;;;
2018-01-10;CHF;104.25;CHF;104.25;CHF;104.25;104.25;;;
2018-01-15;CHF;104.3;CHF;104.3;CHF;104.3;104.3;;;
2018-01-17;CHF;104.02;CHF;104.02;CHF;104.02;104.02;;;
2018-01-24;CHF;104.51;CHF;104.51;CHF;104.51;104.51;;;
2018-01-31;CHF;102.72;CHF;102.72;CHF;102.72;102.72;;;
2018-02-07;CHF;99.78;CHF;99.78;CHF;99.78;99.78;;;
2018-02-14;CHF;98.8;CHF;98.8;CHF;98.8;98.8;;;
2018-02-15;CHF;99.18;CHF;99.18;CHF;99.18;99.18;;;
2018-02-21;CHF;99.71;CHF;99.71;CHF;99.71;99.71;;;
2018-02-28;CHF;99.43;CHF;99.43;CHF;99.43;99.43;;;
2018-03-07;CHF;98.9;CHF;98.9;CHF;98.9;98.9;;;
2018-03-14;CHF;99.81;CHF;99.81;CHF;99.81;99.81;;;
2018-03-15;CHF;100.27;CHF;100.27;CHF;100.27;100.27;;;
2018-03-21;CHF;99.44;CHF;99.44;CHF;99.44;99.44;;;
2018-03-28;CHF;98.21;CHF;98.21;CHF;98.21;98.21;;;
2018-03-29;CHF;98.43;CHF;98.43;CHF;98.43;98.43;;;
2018-04-04;CHF;97.21;CHF;97.21;CHF;97.21;97.21;;;
2018-04-11;CHF;98.29;CHF;98.29;CHF;98.29;98.29;;;
2018-04-15;CHF;98.96;CHF;98.96;CHF;98.96;98.96;;;
2018-04-18;CHF;100.21;CHF;100.21;CHF;100.21;100.21;;;
2018-04-25;CHF;99.49;CHF;99.49;CHF;99.49;99.49;;;
2018-04-30;CHF;100.77;CHF;100.77;CHF;100.77;100.77;;;
2018-05-02;CHF;101.11;CHF;101.11;CHF;101.11;101.11;;;
2018-05-09;CHF;102.58;CHF;102.58;CHF;102.58;102.58;;;
2018-05-15;CHF;102.84;CHF;102.84;CHF;102.84;102.84;;;
2018-05-16;CHF;102.72;CHF;102.72;CHF;102.72;102.72;;;
2018-05-23;CHF;101.71;CHF;101.71;CHF;101.71;101.71;;;
2018-05-30;CHF;100.62;CHF;100.62;CHF;100.62;100.62;;;
2018-05-31;CHF;99.89;CHF;99.89;CHF;99.89;99.89;;;
2018-06-06;CHF;101.35;CHF;101.35;CHF;101.35;101.35;;;
2018-06-13;CHF;102.04;CHF;102.04;CHF;102.04;102.04;;;
2018-06-15;CHF;102.14;CHF;102.14;CHF;102.14;102.14;;;
2018-06-20;CHF;101.13;CHF;101.13;CHF;101.13;101.13;;;
2018-06-27;CHF;100.37;CHF;100.37;CHF;100.37;100.37;;;
2018-06-29;CHF;100.93;CHF;100.93;CHF;100.93;100.93;;;
2018-07-04;CHF;100.71;CHF;100.71;CHF;100.71;100.71;;;
2018-07-11;CHF;101.85;CHF;101.85;CHF;101.85;101.85;;;
2018-07-15;CHF;103.24;CHF;103.24;CHF;103.24;103.24;;;
2018-07-18;CHF;103.63;CHF;103.63;CHF;103.63;103.63;;;
2018-07-25;CHF;103.77;CHF;103.77;CHF;103.77;103.77;;;
2018-07-31;CHF;103.98;CHF;103.98;CHF;103.98;103.98;;;
2018-08-02;CHF;103.92;CHF;103.92;CHF;103.92;103.92;;;
2018-08-08;CHF;104.48;CHF;104.48;CHF;104.48;104.48;;;
2018-08-15;CHF;102.41;CHF;102.41;CHF;102.41;102.41;;;
2018-08-22;CHF;103.53;CHF;103.53;CHF;103.53;103.53;;;
2018-08-29;CHF;104.05;CHF;104.05;CHF;104.05;104.05;;;
2018-08-31;CHF;103.28;CHF;103.28;CHF;103.28;103.28;;;
2018-09-05;CHF;102.12;CHF;102.12;CHF;102.12;102.12;;;
2018-09-12;CHF;102.74;CHF;102.74;CHF;102.74;102.74;;;
2018-09-15;CHF;102.93;CHF;102.93;CHF;102.93;102.93;;;
2018-09-19;CHF;102.64;CHF;102.64;CHF;102.64;102.64;;;
2018-09-26;CHF;103.24;CHF;103.24;CHF;103.24;103.24;;;
2018-09-28;CHF;103.58;CHF;103.58;CHF;103.58;103.58;;;
2018-10-03;CHF;104.25;CHF;104.25;CHF;104.25;104.25;;;
2018-10-10;CHF;100.05;CHF;100.05;CHF;100.05;100.05;;;
2018-10-15;CHF;98.46;CHF;98.46;CHF;98.46;98.46;;;
2018-10-17;CHF;99.81;CHF;99.81;CHF;99.81;99.81;;;
2018-10-24;CHF;97.51;CHF;97.51;CHF;97.51;97.51;;;
2018-10-31;CHF;100.28;CHF;100.28;CHF;100.28;100.28;;;
2018-11-07;CHF;101.1;CHF;101.1;CHF;101.1;101.1;;;
2018-11-14;CHF;99.23;CHF;99.23;CHF;99.23;99.23;;;
2018-11-15;CHF;98.91;CHF;98.91;CHF;98.91;98.91;;;
2018-11-21;CHF;97.58;CHF;97.58;CHF;97.58;97.58;;;
2018-11-28;CHF;98.71;CHF;98.71;CHF;98.71;98.71;;;
2018-11-30;CHF;99.4;CHF;99.4;CHF;99.4;99.4;;;
2018-12-05;CHF;98.62;CHF;98.62;CHF;98.62;98.62;;;
2018-12-12;CHF;97.59;CHF;97.59;CHF;97.59;97.59;;;
2018-12-15;CHF;96.29;CHF;96.29;CHF;96.29;96.29;;;
2018-12-19;CHF;94.43;CHF;94.43;CHF;94.43;94.43;;;
2018-12-27;CHF;92.19;CHF;92.19;CHF;92.19;92.19;;;
2018-12-31;CHF;93.68;CHF;93.68;CHF;93.68;93.68;;;
2019-01-03;CHF;93.31;CHF;93.31;CHF;93.31;93.31;;;
2019-01-09;CHF;96.15;CHF;96.15;CHF;96.15;96.15;;;
2019-01-15;CHF;97.16;CHF;97.16;CHF;97.16;97.16;;;
2019-01-16;CHF;97.67;CHF;97.67;CHF;97.67;97.67;;;
2019-01-23;CHF;98.81;CHF;98.81;CHF;98.81;98.81;;;
2019-01-30;CHF;99.6;CHF;99.6;CHF;99.6;99.6;;;
2019-01-31;CHF;99.75;CHF;99.75;CHF;99.75;99.75;;;
2019-02-06;CHF;101.13;CHF;101.13;CHF;101.13;101.13;;;
2019-02-13;CHF;101.37;CHF;101.37;CHF;101.37;101.37;;;
2019-02-15;CHF;102.13;CHF;102.13;CHF;102.13;102.13;;;
2019-02-20;CHF;102.65;CHF;102.65;CHF;102.65;102.65;;;
2019-02-27;CHF;102.93;CHF;102.93;CHF;102.93;102.93;;;
2019-02-28;CHF;102.7;CHF;102.7;CHF;102.7;102.7;;;
2019-03-06;CHF;103.56;CHF;103.56;CHF;103.56;103.56;;;
2019-03-13;CHF;103.95;CHF;103.95;CHF;103.95;103.95;;;
2019-03-15;CHF;104.53;CHF;104.53;CHF;104.53;104.53;;;
2019-03-20;CHF;104.4;CHF;104.4;CHF;104.4;104.4;;;
2019-03-27;CHF;103.61;CHF;103.61;CHF;103.61;103.61;;;
2019-03-29;CHF;104.55;CHF;104.55;CHF;104.55;104.55;;;
2019-04-03;CHF;105.76;CHF;105.76;CHF;105.76;105.76;;;
2019-04-10;CHF;106.32;CHF;106.32;CHF;106.32;106.32;;;
2019-04-15;CHF;106.57;CHF;106.57;CHF;106.57;106.57;;;
2019-04-17;CHF;107;CHF;107;CHF;107;107;;;
2019-04-24;CHF;108.12;CHF;108.12;CHF;108.12;108.12;;;
