Date,Open,High,Low,Close
31/12/1900,3.15,3.15,3.1,3.1
31/12/1901,3.1,3.17,3.1,3.17
31/12/1902,3.17,3.29,3.17,3.29
31/12/1903,3.29,3.39,3.29,3.39
31/12/1904,3.39,3.47,3.39,3.47
31/12/1905,3.47,3.48,3.43,3.43
31/12/1906,3.43,3.65,3.43,3.65
31/12/1907,3.65,3.85,3.65,3.85
31/12/1908,3.85,3.87,3.77,3.77
31/12/1909,3.77,3.9,3.76,3.9
31/12/1910,3.9,3.97,3.9,3.97
31/12/1911,3.97,4.01,3.97,4.01
31/12/1912,4.01,4.41,4.01,4.41
31/12/1913,4.41,4.45,4.18,4.18
31/12/1914,4.18,4.23,4.16,4.23
31/12/1915,4.23,4.24,4.07,4.07
31/12/1916,4.07,4.22,4.05,4.22
31/12/1917,4.22,4.54,4.22,4.54
31/12/1918,4.54,4.57,4.51,4.51
31/12/1919,4.51,4.93,4.5,4.93
31/12/1920,4.93,5.08,4.93,5.08
31/12/1921,5.08,5.09,4.37,4.37
31/12/1922,4.37,4.37,4.3,4.36
31/12/1923,4.36,4.36,4.09,4.09
31/12/1924,4.09,4.09,3.88,3.88
31/12/1925,3.88,3.88,3.7,3.7
31/12/1926,3.7,3.7,3.37,3.37
31/12/1927,3.37,3.37,3.33,3.33
31/12/1928,3.33,3.58,3.33,3.58
31/12/1929,3.58,3.6,3.32,3.32
31/12/1930,3.32,3.34,3.29,3.34
31/12/1931,3.34,3.65,3.34,3.65
31/12/1932,3.65,3.68,3.34,3.34
31/12/1933,3.34,3.34,3.14,3.14
31/12/1934,3.14,3.14,2.82,2.82
31/12/1935,2.82,2.82,2.66,2.66
31/12/1936,2.66,2.68,2.65,2.68
31/12/1937,2.68,2.68,2.57,2.57
31/12/1938,2.57,2.57,2.38,2.38
31/12/1939,2.38,2.38,2.22,2.22
31/12/1940,2.22,2.22,1.97,1.97
31/12/1941,1.97,2.42,1.95,2.42
31/12/1942,2.42,2.47,2.42,2.47
31/12/1943,2.47,2.48,2.47,2.48
31/12/1944,2.48,2.48,2.38,2.38
31/12/1945,2.38,2.38,2.21,2.21
31/12/1946,2.21,2.25,2.19,2.25
31/12/1947,2.25,2.42,2.25,2.42
31/12/1948,2.42,2.44,2.32,2.32
31/12/1949,2.32,2.32,2.31,2.32
31/12/1950,2.32,2.55,2.32,2.55
31/12/1951,2.55,2.67,2.55,2.67
31/12/1952,2.67,2.82,2.67,2.82
31/12/1953,2.82,3.11,2.59,2.59
31/12/1954,2.59,2.59,2.29,2.51
31/12/1955,2.51,2.97,2.51,2.96
31/12/1956,2.96,3.59,2.84,3.59
31/12/1957,3.59,3.97,3.21,3.21
31/12/1958,3.21,3.86,2.88,3.86
31/12/1959,3.86,4.69,3.86,4.69
31/12/1960,4.69,4.72,3.8,3.84
31/12/1961,3.84,4.06,3.71,4.06
31/12/1962,4.06,4.09,3.78,3.85
31/12/1963,3.82,4.17,3.8,4.14
31/12/1964,4.14,4.26,4.12,4.21
31/12/1965,4.2,4.67,4.17,4.65
31/12/1966,4.63,5.51,4.56,4.64
31/12/1967,4.69,5.87,4.45,5.7
31/12/1968,5.63,6.27,5.34,6.16
31/12/1969,6.04,8.05,5.95,7.88
31/12/1970,7.86,8.22,6.21,6.5
31/12/1971,6.46,6.95,5.38,5.89
31/12/1972,5.94,6.62,5.85,6.41
31/12/1973,6.43,7.58,6.4,6.9
31/12/1974,6.94,8.16,6.93,7.4
31/12/1975,7.42,8.59,7.22,7.76
31/12/1976,7.77,8,6.8,6.81
31/12/1977,6.84,7.82,6.84,7.78
31/12/1978,7.83,9.16,7.82,9.15
31/12/1979,9.18,11.02,8.76,10.33
31/12/1980,10.5,13.65,9.47,12.43
31/12/1981,12.42,15.84,12.11,13.98
31/12/1982,14.19,14.95,10.36,10.36
31/12/1983,10.32,12.2,10.12,11.82
31/12/1984,11.86,13.99,11.24,11.55
31/12/1985,11.7,12.02,8.99,9
31/12/1986,9.04,9.49,6.95,7.23
31/12/1987,7.18,10.23,7.01,8.83
31/12/1988,8.83,9.41,8.11,9.14
31/12/1989,9.23,9.53,7.74,7.93
31/12/1990,7.94,9.09,7.91,8.08
31/12/1991,7.97,8.36,6.71,6.71
31/12/1992,6.78,7.71,6.23,6.7
31/12/1993,6.6,6.76,5.19,5.783
31/12/1994,5.796,8.162,5.541,7.827
31/12/1995,7.822,7.928,5.339,5.575
31/12/1996,5.583,7.096,5.487,6.407
31/12/1997,6.407,6.986,5.661,5.739
31/12/1998,5.731,5.83,4.101,4.638
31/12/1999,4.638,6.44,4.61,6.435
31/12/2000,6.498,6.823,4.994,5.11
31/12/2001,5.075,5.527,4.096,5.032
31/12/2002,5.066,5.457,3.559,3.818
31/12/2003,3.875,4.67,3.074,4.26
31/12/2004,4.27,4.904,3.65,4.216
31/12/2005,4.257,4.693,3.803,4.39
31/12/2006,4.42,5.24,4.28,4.71
31/12/2007,4.658,5.316,3.84,4.035
31/12/2008,4.033,4.324,2.038,2.244
31/12/2009,2.203,4.014,2.159,3.84
31/12/2010,3.859,4.013,2.334,3.305
31/12/2011,3.377,3.744,1.696,1.871
31/12/2012,1.951,2.397,1.394,1.756
31/12/2013,1.842,3.036,1.614,3.026
31/12/2014,3.028,3.034,1.865,2.17
31/12/2015,2.199,2.5002,1.651,2.2694
