DATE,DFII10
02/01/2003,2.43
03/01/2003,2.43
06/01/2003,2.46
07/01/2003,2.42
08/01/2003,2.29
09/01/2003,2.41
10/01/2003,2.41
13/01/2003,2.38
14/01/2003,2.34
15/01/2003,2.3
16/01/2003,2.31
17/01/2003,2.25
20/01/2003,.
21/01/2003,2.23
22/01/2003,2.23
23/01/2003,2.2
24/01/2003,2.14
27/01/2003,2.16
28/01/2003,2.19
29/01/2003,2.21
30/01/2003,2.2
31/01/2003,2.19
03/02/2003,2.2
04/02/2003,2.12
05/02/2003,2.12
06/02/2003,2.09
07/02/2003,2.07
10/02/2003,2.06
11/02/2003,2.05
12/02/2003,2.04
13/02/2003,2.01
14/02/2003,2.03
17/02/2003,.
18/02/2003,2.05
19/02/2003,1.99
20/02/2003,1.91
21/02/2003,1.93
24/02/2003,1.87
25/02/2003,1.84
26/02/2003,1.84
27/02/2003,1.82
28/02/2003,1.77
03/03/2003,1.77
04/03/2003,1.77
05/03/2003,1.75
06/03/2003,1.74
07/03/2003,1.72
10/03/2003,1.69
11/03/2003,1.68
12/03/2003,1.68
13/03/2003,1.73
14/03/2003,1.89
17/03/2003,1.97
18/03/2003,2.08
19/03/2003,2.15
20/03/2003,2.2
21/03/2003,2.29
24/03/2003,2.18
25/03/2003,2.17
26/03/2003,2.15
27/03/2003,2.1
28/03/2003,2.09
31/03/2003,2.03
01/04/2003,2.02
02/04/2003,2.11
03/04/2003,2.12
04/04/2003,2.16
07/04/2003,2.21
08/04/2003,2.18
09/04/2003,2.13
10/04/2003,2.16
11/04/2003,2.23
14/04/2003,2.22
15/04/2003,2.18
16/04/2003,2.2
17/04/2003,2.22
18/04/2003,.
21/04/2003,2.25
22/04/2003,2.27
23/04/2003,2.26
24/04/2003,2.22
25/04/2003,2.18
28/04/2003,2.16
29/04/2003,2.22
30/04/2003,2.16
01/05/2003,2.13
02/05/2003,2.19
05/05/2003,2.19
06/05/2003,2.17
07/05/2003,2.02
08/05/2003,2
09/05/2003,2
12/05/2003,1.96
13/05/2003,1.94
14/05/2003,1.87
15/05/2003,1.86
16/05/2003,1.84
19/05/2003,1.85
20/05/2003,1.73
21/05/2003,1.73
22/05/2003,1.71
23/05/2003,1.72
26/05/2003,.
27/05/2003,1.8
28/05/2003,1.83
29/05/2003,1.76
30/05/2003,1.77
02/06/2003,1.83
03/06/2003,1.76
04/06/2003,1.73
05/06/2003,1.75
06/06/2003,1.76
09/06/2003,1.68
10/06/2003,1.61
11/06/2003,1.62
12/06/2003,1.57
13/06/2003,1.51
16/06/2003,1.59
17/06/2003,1.7
18/06/2003,1.79
19/06/2003,1.74
20/06/2003,1.77
23/06/2003,1.71
24/06/2003,1.68
25/06/2003,1.71
26/06/2003,1.85
27/06/2003,1.9
30/06/2003,1.9
01/07/2003,1.92
02/07/2003,1.96
03/07/2003,2.09
04/07/2003,.
07/07/2003,2.14
08/07/2003,2.12
09/07/2003,2
10/07/2003,1.94
11/07/2003,1.88
14/07/2003,1.92
15/07/2003,2.06
16/07/2003,2.08
17/07/2003,2.05
18/07/2003,2.04
21/07/2003,2.21
22/07/2003,2.19
23/07/2003,2.11
24/07/2003,2.18
25/07/2003,2.14
28/07/2003,2.27
29/07/2003,2.38
30/07/2003,2.32
31/07/2003,2.41
01/08/2003,2.4
04/08/2003,2.34
05/08/2003,2.43
06/08/2003,2.34
07/08/2003,2.29
08/08/2003,2.27
11/08/2003,2.31
12/08/2003,2.29
13/08/2003,2.41
14/08/2003,2.38
15/08/2003,2.36
18/08/2003,2.33
19/08/2003,2.24
20/08/2003,2.26
21/08/2003,2.29
22/08/2003,2.26
25/08/2003,2.31
26/08/2003,2.28
27/08/2003,2.36
28/08/2003,2.29
29/08/2003,2.29
01/09/2003,.
02/09/2003,2.43
03/09/2003,2.4
04/09/2003,2.32
05/09/2003,2.17
08/09/2003,2.24
09/09/2003,2.21
10/09/2003,2.18
11/09/2003,2.22
12/09/2003,2.18
15/09/2003,2.18
16/09/2003,2.26
17/09/2003,2.2
18/09/2003,2.18
19/09/2003,2.17
22/09/2003,2.21
23/09/2003,2.19
24/09/2003,2.13
25/09/2003,2.07
26/09/2003,1.99
29/09/2003,2.03
30/09/2003,1.95
01/10/2003,1.96
02/10/2003,2.01
03/10/2003,2.16
06/10/2003,2.11
07/10/2003,2.17
08/10/2003,2.18
09/10/2003,2.2
10/10/2003,2.14
13/10/2003,.
14/10/2003,2.18
15/10/2003,2.2
16/10/2003,2.21
17/10/2003,2.14
20/10/2003,2.13
21/10/2003,2.12
22/10/2003,2.07
23/10/2003,2.03
24/10/2003,1.92
27/10/2003,1.96
28/10/2003,1.91
29/10/2003,1.98
30/10/2003,1.97
31/10/2003,1.93
03/11/2003,1.97
04/11/2003,1.93
05/11/2003,2.02
06/11/2003,2.08
07/11/2003,2.1
10/11/2003,2.09
11/11/2003,.
12/11/2003,2.04
13/11/2003,1.94
14/11/2003,1.87
17/11/2003,1.82
18/11/2003,1.83
19/11/2003,1.91
20/11/2003,1.92
21/11/2003,1.93
24/11/2003,1.99
25/11/2003,1.92
26/11/2003,1.96
27/11/2003,.
28/11/2003,2.03
01/12/2003,2.08
02/12/2003,2.05
03/12/2003,2.08
04/12/2003,2.04
05/12/2003,1.92
08/12/2003,1.96
09/12/2003,2
10/12/2003,1.97
11/12/2003,1.9
12/12/2003,1.91
15/12/2003,1.98
16/12/2003,1.99
17/12/2003,1.96
18/12/2003,1.94
19/12/2003,1.95
22/12/2003,1.98
23/12/2003,2.03
24/12/2003,1.96
25/12/2003,.
26/12/2003,1.94
29/12/2003,1.99
30/12/2003,2.01
31/12/2003,2
01/01/2004,.
02/01/2004,2.06
05/01/2004,2.06
06/01/2004,1.97
07/01/2004,1.94
08/01/2004,1.99
09/01/2004,1.89
12/01/2004,1.89
13/01/2004,1.83
14/01/2004,1.85
15/01/2004,1.82
16/01/2004,1.83
19/01/2004,.
20/01/2004,1.84
21/01/2004,1.79
22/01/2004,1.76
23/01/2004,1.82
26/01/2004,1.89
27/01/2004,1.84
28/01/2004,1.92
29/01/2004,1.91
30/01/2004,1.85
02/02/2004,1.84
03/02/2004,1.81
04/02/2004,1.82
05/02/2004,1.85
06/02/2004,1.79
09/02/2004,1.76
10/02/2004,1.79
11/02/2004,1.75
12/02/2004,1.77
13/02/2004,1.74
16/02/2004,.
17/02/2004,1.75
18/02/2004,1.75
19/02/2004,1.76
20/02/2004,1.79
23/02/2004,1.76
24/02/2004,1.74
25/02/2004,1.71
26/02/2004,1.69
27/02/2004,1.61
01/03/2004,1.55
02/03/2004,1.58
03/03/2004,1.59
04/03/2004,1.6
05/03/2004,1.46
08/03/2004,1.43
09/03/2004,1.4
10/03/2004,1.45
11/03/2004,1.5
12/03/2004,1.52
15/03/2004,1.47
16/03/2004,1.4
17/03/2004,1.36
18/03/2004,1.37
19/03/2004,1.44
22/03/2004,1.42
23/03/2004,1.41
24/03/2004,1.38
25/03/2004,1.4
26/03/2004,1.47
29/03/2004,1.5
30/03/2004,1.52
31/03/2004,1.48
01/04/2004,1.48
02/04/2004,1.69
05/04/2004,1.75
06/04/2004,1.73
07/04/2004,1.82
08/04/2004,1.8
09/04/2004,.
12/04/2004,1.81
13/04/2004,1.88
14/04/2004,1.91
15/04/2004,1.93
16/04/2004,1.87
19/04/2004,1.87
20/04/2004,1.97
21/04/2004,1.96
22/04/2004,1.98
23/04/2004,2.12
26/04/2004,2.03
27/04/2004,2
28/04/2004,2.1
29/04/2004,2.15
30/04/2004,2.11
03/05/2004,2.09
04/05/2004,2.1
05/05/2004,2.1
06/05/2004,2.15
07/05/2004,2.24
10/05/2004,2.25
11/05/2004,2.21
12/05/2004,2.17
13/05/2004,2.18
14/05/2004,2.16
17/05/2004,2.07
18/05/2004,2.05
19/05/2004,2.03
20/05/2004,1.96
