DATE,DGS20
04/01/1962,4.06
05/01/1962,4.07
08/01/1962,4.08
09/01/1962,4.08
10/01/1962,4.09
11/01/1962,4.08
12/01/1962,4.09
15/01/1962,4.1
16/01/1962,4.11
17/01/1962,4.1
18/01/1962,4.1
19/01/1962,4.1
22/01/1962,4.09
23/01/1962,4.1
24/01/1962,4.1
25/01/1962,4.12
26/01/1962,4.12
29/01/1962,4.13
30/01/1962,4.13
31/01/1962,4.13
01/02/1962,4.13
02/02/1962,4.13
05/02/1962,4.12
06/02/1962,4.13
07/02/1962,4.13
08/02/1962,4.12
09/02/1962,4.11
12/02/1962,4.11
13/02/1962,4.1
14/02/1962,4.09
15/02/1962,4.1
16/02/1962,4.12
19/02/1962,4.11
20/02/1962,4.15
21/02/1962,4.13
22/02/1962,4.13
23/02/1962,4.12
26/02/1962,4.11
27/02/1962,4.12
28/02/1962,4.1
01/03/1962,4.09
02/03/1962,4.09
05/03/1962,4.1
06/03/1962,4.1
07/03/1962,4.09
08/03/1962,4.08
09/03/1962,4.07
12/03/1962,4.06
13/03/1962,4.04
14/03/1962,4.04
15/03/1962,4.06
16/03/1962,4.05
19/03/1962,4.04
20/03/1962,4.02
21/03/1962,4.01
22/03/1962,3.97
23/03/1962,3.99
26/03/1962,4.01
27/03/1962,4
28/03/1962,4
29/03/1962,3.99
30/03/1962,3.98
02/04/1962,3.97
03/04/1962,3.95
04/04/1962,3.91
05/04/1962,3.94
06/04/1962,3.92
09/04/1962,3.92
10/04/1962,3.92
11/04/1962,3.94
12/04/1962,3.93
13/04/1962,3.92
16/04/1962,3.92
17/04/1962,3.92
18/04/1962,3.9
19/04/1962,3.91
20/04/1962,3.91
23/04/1962,3.93
24/04/1962,3.94
25/04/1962,3.94
26/04/1962,3.94
27/04/1962,3.91
30/04/1962,3.91
01/05/1962,3.91
02/05/1962,3.91
03/05/1962,3.9
04/05/1962,3.9
07/05/1962,3.9
08/05/1962,3.9
09/05/1962,3.89
10/05/1962,3.88
11/05/1962,3.88
14/05/1962,3.89
15/05/1962,3.9
16/05/1962,3.91
17/05/1962,3.91
18/05/1962,3.94
21/05/1962,3.96
22/05/1962,3.95
23/05/1962,3.95
24/05/1962,3.94
25/05/1962,3.93
28/05/1962,3.92
29/05/1962,3.94
30/05/1962,3.94
31/05/1962,3.94
01/06/1962,3.93
04/06/1962,3.93
05/06/1962,3.94
06/06/1962,3.93
07/06/1962,3.93
08/06/1962,3.92
11/06/1962,3.92
12/06/1962,3.91
13/06/1962,3.92
14/06/1962,3.94
15/06/1962,3.94
18/06/1962,3.95
19/06/1962,3.97
20/06/1962,3.97
21/06/1962,3.96
22/06/1962,3.96
25/06/1962,4
26/06/1962,4.01
27/06/1962,4
28/06/1962,4.01
29/06/1962,4.02
02/07/1962,4.02
03/07/1962,4.02
04/07/1962,4.02
05/07/1962,4.02
06/07/1962,4.05
09/07/1962,4.07
10/07/1962,4.06
11/07/1962,4.06
12/07/1962,4.05
13/07/1962,4.05
16/07/1962,4.06
17/07/1962,4.06
18/07/1962,4.06
19/07/1962,4.06
20/07/1962,4.05
23/07/1962,4.05
24/07/1962,4.05
25/07/1962,4.05
26/07/1962,4.04
27/07/1962,4.05
30/07/1962,4.06
31/07/1962,4.06
01/08/1962,4.06
02/08/1962,4.03
03/08/1962,4.04
06/08/1962,4.04
07/08/1962,4.04
08/08/1962,4.04
09/08/1962,4.03
10/08/1962,4.03
13/08/1962,4.03
14/08/1962,4.01
15/08/1962,4.01
16/08/1962,3.99
17/08/1962,3.99
20/08/1962,3.98
21/08/1962,3.97
22/08/1962,3.97
23/08/1962,3.97
24/08/1962,3.97
27/08/1962,3.98
28/08/1962,3.98
29/08/1962,3.98
30/08/1962,3.99
31/08/1962,3.99
03/09/1962,3.99
04/09/1962,3.99
05/09/1962,4
06/09/1962,4
07/09/1962,4.01
10/09/1962,4.01
11/09/1962,4.01
12/09/1962,4
13/09/1962,4
14/09/1962,4
17/09/1962,4
18/09/1962,4
19/09/1962,4
20/09/1962,4
21/09/1962,4
24/09/1962,3.99
25/09/1962,3.99
26/09/1962,3.99
27/09/1962,3.98
28/09/1962,3.97
01/10/1962,3.96
02/10/1962,3.95
03/10/1962,3.94
04/10/1962,3.94
05/10/1962,3.95
08/10/1962,3.95
09/10/1962,3.95
10/10/1962,3.94
11/10/1962,3.94
12/10/1962,3.94
15/10/1962,3.94
16/10/1962,3.94
17/10/1962,3.95
18/10/1962,3.94
19/10/1962,3.9
22/10/1962,3.93
23/10/1962,3.94
24/10/1962,3.94
25/10/1962,3.95
26/10/1962,3.94
29/10/1962,3.94
30/10/1962,3.94
31/10/1962,3.94
01/11/1962,3.94
02/11/1962,3.94
05/11/1962,3.93
06/11/1962,3.93
07/11/1962,3.93
08/11/1962,3.92
09/11/1962,3.91
12/11/1962,3.91
13/11/1962,3.92
14/11/1962,3.93
15/11/1962,3.93
16/11/1962,3.94
19/11/1962,3.95
20/11/1962,3.94
21/11/1962,3.94
22/11/1962,3.94
23/11/1962,3.94
26/11/1962,3.94
27/11/1962,3.94
28/11/1962,3.94
29/11/1962,3.94
30/11/1962,3.94
03/12/1962,3.95
04/12/1962,3.96
05/12/1962,3.96
06/12/1962,3.95
07/12/1962,3.95
10/12/1962,3.94
11/12/1962,3.93
12/12/1962,3.92
13/12/1962,3.92
14/12/1962,3.92
17/12/1962,3.91
18/12/1962,3.9
19/12/1962,3.9
20/12/1962,3.9
21/12/1962,3.9
24/12/1962,3.89
25/12/1962,3.89
26/12/1962,3.89
27/12/1962,3.9
28/12/1962,3.91
31/12/1962,3.92
01/01/1963,3.92
02/01/1963,3.91
03/01/1963,3.91
04/01/1963,3.93
07/01/1963,3.92
08/01/1963,3.93
09/01/1963,3.93
10/01/1963,3.92
11/01/1963,3.91
14/01/1963,3.91
15/01/1963,3.91
16/01/1963,3.91
17/01/1963,3.93
18/01/1963,3.94
21/01/1963,3.95
22/01/1963,3.96
23/01/1963,3.96
24/01/1963,3.96
25/01/1963,3.95
28/01/1963,3.96
29/01/1963,3.96
30/01/1963,3.95
31/01/1963,3.96
01/02/1963,3.96
04/02/1963,3.97
05/02/1963,3.97
06/02/1963,3.97
07/02/1963,3.97
08/02/1963,3.96
11/02/1963,3.96
12/02/1963,3.96
13/02/1963,3.97
14/02/1963,3.97
15/02/1963,3.96
18/02/1963,3.96
19/02/1963,3.96
20/02/1963,3.96
21/02/1963,3.97
22/02/1963,3.97
25/02/1963,3.98
26/02/1963,3.98
27/02/1963,3.98
28/02/1963,3.97
01/03/1963,3.97
04/03/1963,3.97
05/03/1963,3.96
06/03/1963,3.96
07/03/1963,3.96
08/03/1963,3.97
11/03/1963,3.97
12/03/1963,3.97
13/03/1963,3.98
14/03/1963,3.98
15/03/1963,3.98
18/03/1963,3.98
19/03/1963,3.99
20/03/1963,3.98
21/03/1963,3.99
22/03/1963,3.99
25/03/1963,4
26/03/1963,4
27/03/1963,4
28/03/1963,4
29/03/1963,4
01/04/1963,4
02/04/1963,4.01
03/04/1963,4.01
04/04/1963,4
05/04/1963,4
08/04/1963,4.02
09/04/1963,4.02
10/04/1963,4.04
11/04/1963,4.04
12/04/1963,4.04
15/04/1963,4.05
16/04/1963,4.05
17/04/1963,4.06
18/04/1963,4.05
19/04/1963,4.04
22/04/1963,4.04
23/04/1963,4.04
24/04/1963,4.04
25/04/1963,4.04
26/04/1963,4.04
29/04/1963,4.04
30/04/1963,4.04
01/05/1963,4.03
02/05/1963,4.03
03/05/1963,4.03
06/05/1963,4.02
07/05/1963,4.01
08/05/1963,4.01
09/05/1963,4.02
10/05/1963,4.02
13/05/1963,4.02
14/05/1963,4.01
15/05/1963,4
16/05/1963,4
17/05/1963,4.01
20/05/1963,4.02
21/05/1963,4.01
22/05/1963,4.02
23/05/1963,4.02
24/05/1963,4.03
27/05/1963,4.03
28/05/1963,4.03
29/05/1963,4.03
30/05/1963,4.03
31/05/1963,4.03
03/06/1963,4.04
04/06/1963,4.03
05/06/1963,4.03
06/06/1963,4.03
07/06/1963,4.02
10/06/1963,4.02
11/06/1963,4.01
