Date,Gold USD
02/04/1968,37.6
03/04/1968,37.7
04/04/1968,36.7
05/04/1968,37.2
08/04/1968,37
09/04/1968,37.25
10/04/1968,37.6
11/04/1968,38.05
12/04/1968,38.05
15/04/1968,38.05
16/04/1968,38.1
17/04/1968,38
18/04/1968,37.6
19/04/1968,37.65
22/04/1968,38.3
23/04/1968,38.05
24/04/1968,38.35
25/04/1968,38.25
26/04/1968,38.5
29/04/1968,38.55
30/04/1968,39.1
01/05/1968,39.1
02/05/1968,39.25
03/05/1968,39.6
06/05/1968,39.7
07/05/1968,39.3
08/05/1968,39.5
09/05/1968,39.7
10/05/1968,39.8
13/05/1968,39.4
14/05/1968,39.6
15/05/1968,40.1
16/05/1968,40.85
17/05/1968,41.6
20/05/1968,42
21/05/1968,42.6
22/05/1968,42.2
23/05/1968,41.5
24/05/1968,41.75
27/05/1968,41.5
28/05/1968,41.6
29/05/1968,41.5
30/05/1968,41.75
31/05/1968,42
03/06/1968,42
04/06/1968,41.2
05/06/1968,41.4
06/06/1968,41.25
07/06/1968,41.2
10/06/1968,41.35
11/06/1968,41.3
12/06/1968,42.1
13/06/1968,41.4
14/06/1968,40.2
17/06/1968,40.9
18/06/1968,40.7
19/06/1968,41.4
20/06/1968,41.05
21/06/1968,41.05
24/06/1968,41.05
25/06/1968,40.85
26/06/1968,40.95
27/06/1968,40.8
28/06/1968,40.95
01/07/1968,40.9
02/07/1968,40.85
03/07/1968,40.9
04/07/1968,41.05
05/07/1968,41.1
08/07/1968,40.95
09/07/1968,40.6
10/07/1968,40.15
11/07/1968,39.4
12/07/1968,39.1
15/07/1968,39.15
16/07/1968,38.9
17/07/1968,37.8
18/07/1968,38
19/07/1968,39.1
22/07/1968,38.65
23/07/1968,38.65
24/07/1968,39.2
25/07/1968,39.1
26/07/1968,38.75
29/07/1968,38.9
30/07/1968,39.1
31/07/1968,38.9
01/08/1968,38.8
02/08/1968,38.8
05/08/1968,38.85
06/08/1968,38.85
07/08/1968,38.8
08/08/1968,38.55
09/08/1968,38.45
12/08/1968,38.6
13/08/1968,38.75
14/08/1968,38.95
15/08/1968,39
16/08/1968,39.1
19/08/1968,39.15
20/08/1968,39.35
21/08/1968,40.3
22/08/1968,39.65
23/08/1968,39.65
26/08/1968,39.4
27/08/1968,39.55
28/08/1968,39.55
29/08/1968,39.8
30/08/1968,39.85
02/09/1968,39.85
03/09/1968,39.975
04/09/1968,39.9
05/09/1968,39.95
06/09/1968,40
09/09/1968,40
10/09/1968,40
11/09/1968,40
12/09/1968,40.05
13/09/1968,40.175
16/09/1968,40.2
17/09/1968,40.55
18/09/1968,40.45
19/09/1968,40.525
20/09/1968,40.5
23/09/1968,40.425
24/09/1968,40.475
25/09/1968,40.425
26/09/1968,40.45
27/09/1968,40.3
30/09/1968,39.7
01/10/1968,39.6
02/10/1968,38.3
03/10/1968,39
04/10/1968,38.9
07/10/1968,39.8
08/10/1968,39.75
09/10/1968,39.2
10/10/1968,38.825
11/10/1968,39.2
14/10/1968,39.3
15/10/1968,39.2
16/10/1968,38.95
17/10/1968,39.2
18/10/1968,39.4
21/10/1968,39.1
22/10/1968,38.95
23/10/1968,39.175
24/10/1968,39.2
25/10/1968,39.3
28/10/1968,39.375
29/10/1968,39.6
30/10/1968,39.3
31/10/1968,39.2
01/11/1968,38.9
04/11/1968,39.25
05/11/1968,39.325
06/11/1968,39.5
07/11/1968,39.525
08/11/1968,39.4
11/11/1968,39.5
12/11/1968,39.725
13/11/1968,39.75
14/11/1968,39.75
15/11/1968,40
18/11/1968,40
19/11/1968,40.05
20/11/1968,40.75
21/11/1968,40.25
22/11/1968,40.2
25/11/1968,40.3
26/11/1968,40.075
27/11/1968,39.75
28/11/1968,39.85
29/11/1968,39.85
02/12/1968,39.9
03/12/1968,40.15
04/12/1968,40.775
05/12/1968,40.45
06/12/1968,40.35
09/12/1968,40.625
10/12/1968,40.675
11/12/1968,40.75
12/12/1968,41.3
13/12/1968,40.9
16/12/1968,40.975
17/12/1968,41.2
18/12/1968,41.825
19/12/1968,41.675
20/12/1968,41.65
23/12/1968,41.7
24/12/1968,41.7
25/12/1968,41.7
26/12/1968,41.7
27/12/1968,41.7
30/12/1968,42
31/12/1968,41.95
01/01/1969,41.95
02/01/1969,41.8
03/01/1969,41.9
06/01/1969,42.025
07/01/1969,42.1
08/01/1969,42.45
09/01/1969,42.475
10/01/1969,42.3
13/01/1969,42
14/01/1969,42.4
15/01/1969,42.75
16/01/1969,42.7
17/01/1969,41.9
20/01/1969,42.2
21/01/1969,42.4
22/01/1969,42.6
23/01/1969,42.2
24/01/1969,42
27/01/1969,42.2
28/01/1969,42.45
29/01/1969,42.45
30/01/1969,42.55
31/01/1969,42.55
03/02/1969,42.5
04/02/1969,42.475
05/02/1969,42.7
06/02/1969,42.625
07/02/1969,42.55
10/02/1969,42.55
11/02/1969,42.525
12/02/1969,42.6
13/02/1969,42.55
14/02/1969,42.5
17/02/1969,42.65
18/02/1969,42.625
19/02/1969,42.65
20/02/1969,42.6
21/02/1969,42.625
24/02/1969,42.7
25/02/1969,42.675
26/02/1969,42.7
27/02/1969,42.75
28/02/1969,42.775
03/03/1969,42.75
04/03/1969,42.75
05/03/1969,42.9
06/03/1969,43.25
07/03/1969,43.6
10/03/1969,43.75
11/03/1969,43.3
12/03/1969,43.025
13/03/1969,43.15
14/03/1969,43
17/03/1969,43.025
18/03/1969,42.85
19/03/1969,43.075
20/03/1969,43.125
21/03/1969,43.175
24/03/1969,43.25
25/03/1969,43.4
26/03/1969,43.35
27/03/1969,43.475
28/03/1969,43.3
31/03/1969,43.1
01/04/1969,43.1
02/04/1969,43.3
03/04/1969,43.35
04/04/1969,43.35
07/04/1969,43.35
08/04/1969,43.35
09/04/1969,43.375
10/04/1969,43.4
11/04/1969,43.35
14/04/1969,43.275
15/04/1969,42.9
16/04/1969,43.075
17/04/1969,43.225
18/04/1969,43.2
21/04/1969,43.2
22/04/1969,43.175
23/04/1969,43.4
24/04/1969,43.275
25/04/1969,43.25
28/04/1969,43.55
29/04/1969,43.55
30/04/1969,43.6
01/05/1969,43.6
02/05/1969,43.6
05/05/1969,43.475
06/05/1969,43.4
07/05/1969,43.475
08/05/1969,43.65
09/05/1969,43.6
12/05/1969,43.45
13/05/1969,43.5
14/05/1969,43.5
15/05/1969,43.5
16/05/1969,43.5
19/05/1969,43.475
20/05/1969,43.45
21/05/1969,43.425
22/05/1969,43.45
23/05/1969,43.5
26/05/1969,43.5
27/05/1969,43.5
28/05/1969,43.4
29/05/1969,43.075
30/05/1969,43.15
02/06/1969,42.95
03/06/1969,42.15
04/06/1969,42.075
05/06/1969,41.1
06/06/1969,40.75
09/06/1969,40.7
10/06/1969,41.975
11/06/1969,41.8
12/06/1969,41.55
13/06/1969,41.55
16/06/1969,41.25
17/06/1969,41.5
18/06/1969,41.4
19/06/1969,41.45
20/06/1969,41.45
23/06/1969,41.225
24/06/1969,41.2
25/06/1969,40.9
26/06/1969,40.975
27/06/1969,41.1
30/06/1969,41.225
01/07/1969,41.1
02/07/1969,41.25
03/07/1969,41.51
04/07/1969,41.5
07/07/1969,41.76
08/07/1969,42.1
09/07/1969,41.9
10/07/1969,41.9
11/07/1969,41.9
14/07/1969,41.95
15/07/1969,42
16/07/1969,41.9
17/07/1969,41.975
18/07/1969,41.9
21/07/1969,42
22/07/1969,41.95
23/07/1969,41.875
24/07/1969,41.9
25/07/1969,41.85
28/07/1969,41.72
29/07/1969,41.49
30/07/1969,41.49
31/07/1969,41.45
01/08/1969,41.39
04/08/1969,41.4
05/08/1969,41.15
06/08/1969,41.1
07/08/1969,41.025
08/08/1969,41.15
11/08/1969,41.45
12/08/1969,41.2
13/08/1969,41.1
14/08/1969,41.375
15/08/1969,41.1
18/08/1969,41.2
19/08/1969,41.125
20/08/1969,41.1
21/08/1969,41.075
22/08/1969,41.05
25/08/1969,41
26/08/1969,40.9
27/08/1969,40.9
28/08/1969,40.95
29/08/1969,40.95
01/09/1969,40.95
02/09/1969,40.79
03/09/1969,40.775
04/09/1969,40.89
05/09/1969,40.9
08/09/1969,40.9
09/09/1969,40.9
10/09/1969,40.975
11/09/1969,40.925
12/09/1969,40.95
15/09/1969,41
16/09/1969,41
17/09/1969,41
18/09/1969,40.875
19/09/1969,40.85
22/09/1969,40.875
23/09/1969,40.8
24/09/1969,40.85
25/09/1969,40.85
26/09/1969,40.75
29/09/1969,40.65
30/09/1969,40.65
01/10/1969,40.75
02/10/1969,40.775
03/10/1969,40.99
06/10/1969,40.9
07/10/1969,40.775
08/10/1969,40.76
09/10/1969,40.775
10/10/1969,40.75
13/10/1969,40.625
14/10/1969,40.675
15/10/1969,40.725
16/10/1969,40.65
17/10/1969,40.575
20/10/1969,40.475
21/10/1969,40.35
22/10/1969,40.25
23/10/1969,39.95
24/10/1969,40.05
27/10/1969,40.15
28/10/1969,40.125
29/10/1969,40.05
30/10/1969,39.975
31/10/1969,39.85
03/11/1969,39.575
04/11/1969,39.53
05/11/1969,39.5
06/11/1969,39.05
07/11/1969,38.85
10/11/1969,37.9
11/11/1969,38.2
12/11/1969,38.075
13/11/1969,37.8
14/11/1969,37.8
17/11/1969,37.9
18/11/1969,37.775
19/11/1969,37.05
20/11/1969,36
21/11/1969,36.1
24/11/1969,35.825
25/11/1969,35.35
26/11/1969,35.575
27/11/1969,35.625
28/11/1969,35.55
01/12/1969,35.525
02/12/1969,35.45
03/12/1969,35.35
04/12/1969,35.325
05/12/1969,35.225
08/12/1969,35.2
09/12/1969,35
10/12/1969,35
11/12/1969,35.175
12/12/1969,35.325
15/12/1969,35.2
16/12/1969,35.025
17/12/1969,35.1
18/12/1969,35.075
19/12/1969,35
22/12/1969,35.04
23/12/1969,35.125
24/12/1969,35.175
25/12/1969,35.175
26/12/1969,35.175
29/12/1969,35.225
30/12/1969,35.225
31/12/1969,35.21
01/01/1970,35.21
02/01/1970,35.125
05/01/1970,35.1
06/01/1970,35.125
07/01/1970,35
08/01/1970,34.975
09/01/1970,34.85
12/01/1970,34.975
13/01/1970,34.92
14/01/1970,34.89
15/01/1970,34.86
16/01/1970,34.775
19/01/1970,34.775
20/01/1970,34.8
21/01/1970,34.825
22/01/1970,34.925
23/01/1970,34.99
26/01/1970,34.975
27/01/1970,35
28/01/1970,35
29/01/1970,35
30/01/1970,34.98
02/02/1970,34.95
03/02/1970,35
04/02/1970,35
05/02/1970,34.99
06/02/1970,35
09/02/1970,35.01
10/02/1970,35.01
11/02/1970,35.025
12/02/1970,34.99
13/02/1970,34.975
16/02/1970,35
17/02/1970,35
18/02/1970,34.975
19/02/1970,34.98
20/02/1970,34.99
23/02/1970,35
24/02/1970,34.98
25/02/1970,35
26/02/1970,35
27/02/1970,35
02/03/1970,35
03/03/1970,35.01
04/03/1970,35
05/03/1970,35
06/03/1970,34.95
09/03/1970,34.97
10/03/1970,34.98
11/03/1970,34.99
12/03/1970,35
13/03/1970,35
16/03/1970,35.05
17/03/1970,35.07
18/03/1970,35.08
19/03/1970,35.3
20/03/1970,35.175
23/03/1970,35.15
24/03/1970,35.17
25/03/1970,35.275
26/03/1970,35.3
27/03/1970,35.3
30/03/1970,35.3
31/03/1970,35.3
01/04/1970,35.325
02/04/1970,35.4
03/04/1970,35.35
06/04/1970,35.325
07/04/1970,35.28
08/04/1970,35.36
09/04/1970,35.425
10/04/1970,35.38
13/04/1970,35.43
14/04/1970,35.525
15/04/1970,35.84
16/04/1970,35.75
17/04/1970,35.75
20/04/1970,35.76
21/04/1970,35.84
22/04/1970,35.925
23/04/1970,35.975
24/04/1970,35.81
27/04/1970,35.74
28/04/1970,35.8
29/04/1970,35.875
30/04/1970,35.85
01/05/1970,35.85
04/05/1970,35.9
05/05/1970,36.19
06/05/1970,36.24
07/05/1970,36.23
08/05/1970,36.225
11/05/1970,36.15
12/05/1970,36
13/05/1970,35.94
14/05/1970,35.95
15/05/1970,35.95
18/05/1970,35.975
19/05/1970,35.96
20/05/1970,35.96
21/05/1970,35.95
22/05/1970,35.875
25/05/1970,35.875
26/05/1970,35.85
27/05/1970,35.8
28/05/1970,35.67
29/05/1970,35.5
01/06/1970,35.45
02/06/1970,35.3
03/06/1970,35.2
04/06/1970,35.175
05/06/1970,35.19
08/06/1970,35.25
09/06/1970,35.7
10/06/1970,35.525
11/06/1970,35.59
12/06/1970,35.64
15/06/1970,35.64
16/06/1970,35.48
17/06/1970,35.34
18/06/1970,35.46
19/06/1970,35.37
22/06/1970,35.4
23/06/1970,35.4
24/06/1970,35.45
25/06/1970,35.625
26/06/1970,35.45
29/06/1970,35.475
30/06/1970,35.51
01/07/1970,35.5
02/07/1970,35.475
03/07/1970,35.39
06/07/1970,35.35
07/07/1970,35.33
08/07/1970,35.3
09/07/1970,35.31
10/07/1970,35.31
13/07/1970,35.325
14/07/1970,35.325
15/07/1970,35.31
16/07/1970,35.3
17/07/1970,35.31
20/07/1970,35.325
21/07/1970,35.31
22/07/1970,35.32
