Date,Open,High,Low,Close
"Dec 31, 1969",100,100,100,100
"Jan 01, 1970",100,100,100,100
"Jan 02, 1970",100,100,100,100
"Jan 05, 1970",100.06,100.06,100.06,100.06
"Jan 06, 1970",100.46,100.46,100.46,100.46
"Jan 07, 1970",100.67,100.67,100.67,100.67
"Jan 08, 1970",101.01,101.01,101.01,101.01
"Jan 09, 1970",100.31,100.31,100.31,100.31
"Jan 12, 1970",100.21,100.21,100.21,100.21
"Jan 13, 1970",100.48,100.48,100.48,100.48
"Jan 14, 1970",101.17,101.17,101.17,101.17
"Jan 15, 1970",101.22,101.22,101.22,101.22
"Jan 16, 1970",101.03,101.03,101.03,101.03
"Jan 19, 1970",101.54,101.54,101.54,101.54
"Jan 20, 1970",102.06,102.06,102.06,102.06
"Jan 21, 1970",101.38,101.38,101.38,101.38
"Jan 22, 1970",100.87,100.87,100.87,100.87
"Jan 23, 1970",100.92,100.92,100.92,100.92
"Jan 26, 1970",100.47,100.47,100.47,100.47
"Jan 27, 1970",100.96,100.96,100.96,100.96
"Jan 28, 1970",101.23,101.23,101.23,101.23
"Jan 29, 1970",101.64,101.64,101.64,101.64
"Jan 30, 1970",101.78,101.78,101.78,101.78
"Feb 02, 1970",101.67,101.67,101.67,101.67
"Feb 03, 1970",101.52,101.52,101.52,101.52
"Feb 04, 1970",101.38,101.38,101.38,101.38
"Feb 05, 1970",101.41,101.41,101.41,101.41
"Feb 06, 1970",101.45,101.45,101.45,101.45
"Feb 09, 1970",102.53,102.53,102.53,102.53
"Feb 10, 1970",102.53,102.53,102.53,102.53
"Feb 11, 1970",103.32,103.32,103.32,103.32
"Feb 12, 1970",103.25,103.25,103.25,103.25
"Feb 13, 1970",103.37,103.37,103.37,103.37
"Feb 16, 1970",103.85,103.85,103.85,103.85
"Feb 17, 1970",103.37,103.37,103.37,103.37
"Feb 18, 1970",103.81,103.81,103.81,103.81
"Feb 19, 1970",104.07,104.07,104.07,104.07
"Feb 20, 1970",104.64,104.64,104.64,104.64
"Feb 23, 1970",104.64,104.64,104.64,104.64
"Feb 24, 1970",104.97,104.97,104.97,104.97
"Feb 25, 1970",104.48,104.48,104.48,104.48
"Feb 26, 1970",104.69,104.69,104.69,104.69
"Feb 27, 1970",104.86,104.86,104.86,104.86
"Mar 02, 1970",104.53,104.53,104.53,104.53
"Mar 03, 1970",105.29,105.29,105.29,105.29
"Mar 04, 1970",105.79,105.79,105.79,105.79
"Mar 05, 1970",106.72,106.72,106.72,106.72
"Mar 06, 1970",106.66,106.66,106.66,106.66
"Mar 09, 1970",106.69,106.69,106.69,106.69
"Mar 10, 1970",106.78,106.78,106.78,106.78
"Mar 11, 1970",107.99,107.99,107.99,107.99
"Mar 12, 1970",107.66,107.66,107.66,107.66
"Mar 13, 1970",107.29,107.29,107.29,107.29
"Mar 16, 1970",107.74,107.74,107.74,107.74
"Mar 17, 1970",106.92,106.92,106.92,106.92
"Mar 18, 1970",107.39,107.39,107.39,107.39
"Mar 19, 1970",107.52,107.52,107.52,107.52
"Mar 20, 1970",107.42,107.42,107.42,107.42
"Mar 23, 1970",106.89,106.89,106.89,106.89
"Mar 24, 1970",106.32,106.32,106.32,106.32
"Mar 25, 1970",106.77,106.77,106.77,106.77
"Mar 26, 1970",107.18,107.18,107.18,107.18
"Mar 27, 1970",107.18,107.18,107.18,107.18
"Mar 30, 1970",106.51,106.51,106.51,106.51
"Mar 31, 1970",106.38,106.38,106.38,106.38
"Apr 01, 1970",105.95,105.95,105.95,105.95
"Apr 02, 1970",106.29,106.29,106.29,106.29
"Apr 03, 1970",106.53,106.53,106.53,106.53
"Apr 06, 1970",106.51,106.51,106.51,106.51
"Apr 07, 1970",107.03,107.03,107.03,107.03
"Apr 08, 1970",106.77,106.77,106.77,106.77
"Apr 09, 1970",105.64,105.64,105.64,105.64
"Apr 10, 1970",105.26,105.26,105.26,105.26
"Apr 13, 1970",105.55,105.55,105.55,105.55
"Apr 14, 1970",104.83,104.83,104.83,104.83
"Apr 15, 1970",105.25,105.25,105.25,105.25
"Apr 16, 1970",105.61,105.61,105.61,105.61
"Apr 17, 1970",105.53,105.53,105.53,105.53
"Apr 20, 1970",105.42,105.42,105.42,105.42
"Apr 21, 1970",105.33,105.33,105.33,105.33
"Apr 22, 1970",105.43,105.43,105.43,105.43
"Apr 23, 1970",106.02,106.02,106.02,106.02
"Apr 24, 1970",107.09,107.09,107.09,107.09
"Apr 27, 1970",107.18,107.18,107.18,107.18
"Apr 28, 1970",106.74,106.74,106.74,106.74
"Apr 29, 1970",105.98,105.98,105.98,105.98
"Apr 30, 1970",106.05,106.05,106.05,106.05
"May 01, 1970",105.73,105.73,105.73,105.73
"May 04, 1970",104.86,104.86,104.86,104.86
"May 05, 1970",104.71,104.71,104.71,104.71
"May 06, 1970",104.52,104.52,104.52,104.52
"May 07, 1970",105.25,105.25,105.25,105.25
"May 08, 1970",105.51,105.51,105.51,105.51
"May 11, 1970",105.41,105.41,105.41,105.41
"May 12, 1970",105.1,105.1,105.1,105.1
"May 13, 1970",105.36,105.36,105.36,105.36
"May 14, 1970",104.08,104.08,104.08,104.08
"May 15, 1970",104.42,104.42,104.42,104.42
"May 18, 1970",105.06,105.06,105.06,105.06
"May 19, 1970",104.77,104.77,104.77,104.77
"May 20, 1970",104.7,104.7,104.7,104.7
"May 21, 1970",105.47,105.47,105.47,105.47
"May 22, 1970",105.44,105.44,105.44,105.44
"May 25, 1970",103.4,103.4,103.4,103.4
"May 26, 1970",102.33,102.33,102.33,102.33
"May 27, 1970",103.37,103.37,103.37,103.37
"May 28, 1970",102.9,102.9,102.9,102.9
"May 29, 1970",102.9,102.9,102.9,102.9
"Jun 01, 1970",103.88,103.88,103.88,103.88
"Jun 02, 1970",103.3,103.3,103.3,103.3
"Jun 03, 1970",103.7,103.7,103.7,103.7
"Jun 04, 1970",104.38,104.38,104.38,104.38
"Jun 05, 1970",104.2,104.2,104.2,104.2
"Jun 08, 1970",104.44,104.44,104.44,104.44
"Jun 09, 1970",105.01,105.01,105.01,105.01
"Jun 10, 1970",105.67,105.67,105.67,105.67
"Jun 11, 1970",106.33,106.33,106.33,106.33
"Jun 12, 1970",106.55,106.55,106.55,106.55
"Jun 15, 1970",106.21,106.21,106.21,106.21
"Jun 16, 1970",107.21,107.21,107.21,107.21
"Jun 17, 1970",106.89,106.89,106.89,106.89
"Jun 18, 1970",107.06,107.06,107.06,107.06
"Jun 19, 1970",107.01,107.01,107.01,107.01
"Jun 22, 1970",107.32,107.32,107.32,107.32
"Jun 23, 1970",107.38,107.38,107.38,107.38
"Jun 24, 1970",107.77,107.77,107.77,107.77
"Jun 25, 1970",109.14,109.14,109.14,109.14
"Jun 26, 1970",109.28,109.28,109.28,109.28
"Jun 29, 1970",110.15,110.15,110.15,110.15
"Jun 30, 1970",110.2,110.2,110.2,110.2
"Jul 01, 1970",109.43,109.43,109.43,109.43
"Jul 02, 1970",109.56,109.56,109.56,109.56
"Jul 03, 1970",109.56,109.56,109.56,109.56
"Jul 06, 1970",109.36,109.36,109.36,109.36
"Jul 07, 1970",109.44,109.44,109.44,109.44
"Jul 08, 1970",110.45,110.45,110.45,110.45
"Jul 09, 1970",110.66,110.66,110.66,110.66
"Jul 10, 1970",110.9,110.9,110.9,110.9
"Jul 13, 1970",110.91,110.91,110.91,110.91
"Jul 14, 1970",109.7,109.7,109.7,109.7
"Jul 15, 1970",110.15,110.15,110.15,110.15
"Jul 16, 1970",110.24,110.24,110.24,110.24
"Jul 17, 1970",110.09,110.09,110.09,110.09
"Jul 20, 1970",109.56,109.56,109.56,109.56
"Jul 21, 1970",109.68,109.68,109.68,109.68
"Jul 22, 1970",110.39,110.39,110.39,110.39
"Jul 23, 1970",110.68,110.68,110.68,110.68
"Jul 24, 1970",110.13,110.13,110.13,110.13
"Jul 27, 1970",109.78,109.78,109.78,109.78
"Jul 28, 1970",108.76,108.76,108.76,108.76
"Jul 29, 1970",109.29,109.29,109.29,109.29
"Jul 30, 1970",109.04,109.04,109.04,109.04
"Jul 31, 1970",109.07,109.07,109.07,109.07
"Aug 03, 1970",109.48,109.48,109.48,109.48
"Aug 04, 1970",109.57,109.57,109.57,109.57
"Aug 05, 1970",109,109,109,109
"Aug 06, 1970",109.04,109.04,109.04,109.04
"Aug 07, 1970",109.05,109.05,109.05,109.05
"Aug 10, 1970",108.76,108.76,108.76,108.76
"Aug 11, 1970",109.01,109.01,109.01,109.01
"Aug 12, 1970",109.86,109.86,109.86,109.86
"Aug 13, 1970",110.1,110.1,110.1,110.1
"Aug 14, 1970",111.01,111.01,111.01,111.01
"Aug 17, 1970",115.3,115.3,115.3,115.3
"Aug 18, 1970",112.62,112.62,112.62,112.62
"Aug 19, 1970",114.92,114.92,114.92,114.92
"Aug 20, 1970",114.43,114.43,114.43,114.43
"Aug 21, 1970",112.63,112.63,112.63,112.63
"Aug 24, 1970",112.65,112.65,112.65,112.65
"Aug 25, 1970",114.5,114.5,114.5,114.5
"Aug 26, 1970",113.57,113.57,113.57,113.57
"Aug 27, 1970",114.35,114.35,114.35,114.35
"Aug 28, 1970",114.56,114.56,114.56,114.56
"Aug 31, 1970",114.63,114.63,114.63,114.63
"Sep 01, 1970",113.48,113.48,113.48,113.48
"Sep 02, 1970",113.85,113.85,113.85,113.85
"Sep 03, 1970",114.19,114.19,114.19,114.19
"Sep 04, 1970",115.02,115.02,115.02,115.02
"Sep 07, 1970",115.02,115.02,115.02,115.02
"Sep 08, 1970",115.4,115.4,115.4,115.4
"Sep 09, 1970",115.81,115.81,115.81,115.81
"Sep 10, 1970",115.89,115.89,115.89,115.89
"Sep 11, 1970",115.76,115.76,115.76,115.76
"Sep 14, 1970",117.49,117.49,117.49,117.49
"Sep 15, 1970",117.23,117.23,117.23,117.23
"Sep 16, 1970",116.89,116.89,116.89,116.89
"Sep 17, 1970",115.33,115.33,115.33,115.33
"Sep 18, 1970",116.32,116.32,116.32,116.32
"Sep 21, 1970",115.69,115.69,115.69,115.69
"Sep 22, 1970",116.65,116.65,116.65,116.65
"Sep 23, 1970",116.93,116.93,116.93,116.93
"Sep 24, 1970",116.71,116.71,116.71,116.71
"Sep 25, 1970",116.75,116.75,116.75,116.75
"Sep 28, 1970",116.59,116.59,116.59,116.59
"Sep 29, 1970",116.04,116.04,116.04,116.04
"Sep 30, 1970",116.07,116.07,116.07,116.07
"Oct 01, 1970",115.81,115.81,115.81,115.81
"Oct 02, 1970",116.52,116.52,116.52,116.52
"Oct 05, 1970",117.37,117.37,117.37,117.37
"Oct 06, 1970",116.69,116.69,116.69,116.69
"Oct 07, 1970",116.9,116.9,116.9,116.9
"Oct 08, 1970",117.26,117.26,117.26,117.26
"Oct 09, 1970",116.86,116.86,116.86,116.86
"Oct 12, 1970",117.43,117.43,117.43,117.43
"Oct 13, 1970",116.41,116.41,116.41,116.41
"Oct 14, 1970",116.18,116.18,116.18,116.18
"Oct 15, 1970",116.71,116.71,116.71,116.71
"Oct 16, 1970",116.46,116.46,116.46,116.46
"Oct 19, 1970",116.01,116.01,116.01,116.01
"Oct 20, 1970",116.49,116.49,116.49,116.49
"Oct 21, 1970",116.71,116.71,116.71,116.71
"Oct 22, 1970",117.52,117.52,117.52,117.52
"Oct 23, 1970",118.67,118.67,118.67,118.67
"Oct 26, 1970",117.84,117.84,117.84,117.84
"Oct 27, 1970",117.76,117.76,117.76,117.76
"Oct 28, 1970",116.95,116.95,116.95,116.95
"Oct 29, 1970",116.17,116.17,116.17,116.17
"Oct 30, 1970",115.66,115.66,115.66,115.66
"Nov 02, 1970",115.84,115.84,115.84,115.84
"Nov 03, 1970",115.84,115.84,115.84,115.84
"Nov 04, 1970",116.72,116.72,116.72,116.72
"Nov 05, 1970",117.73,117.73,117.73,117.73
"Nov 06, 1970",116.42,116.42,116.42,116.42
"Nov 09, 1970",116.61,116.61,116.61,116.61
"Nov 10, 1970",116.55,116.55,116.55,116.55
"Nov 11, 1970",116.46,116.46,116.46,116.46
"Nov 12, 1970",116.41,116.41,116.41,116.41
"Nov 13, 1970",116.18,116.18,116.18,116.18
"Nov 16, 1970",115.05,115.05,115.05,115.05
"Nov 17, 1970",115.08,115.08,115.08,115.08
"Nov 18, 1970",114.9,114.9,114.9,114.9
"Nov 19, 1970",114.82,114.82,114.82,114.82
"Nov 20, 1970",114.79,114.79,114.79,114.79
"Nov 23, 1970",114.74,114.74,114.74,114.74
"Nov 24, 1970",113.83,113.83,113.83,113.83
"Nov 25, 1970",113.34,113.34,113.34,113.34
"Nov 26, 1970",113.34,113.34,113.34,113.34
"Nov 27, 1970",114.05,114.05,114.05,114.05
"Nov 30, 1970",114.07,114.07,114.07,114.07
"Dec 01, 1970",114.95,114.95,114.95,114.95
"Dec 02, 1970",114.2,114.2,114.2,114.2
"Dec 03, 1970",114,114,114,114
"Dec 04, 1970",114.34,114.34,114.34,114.34
"Dec 07, 1970",113.5,113.5,113.5,113.5
"Dec 08, 1970",112.22,112.22,112.22,112.22
"Dec 09, 1970",112.25,112.25,112.25,112.25
"Dec 10, 1970",111.78,111.78,111.78,111.78
"Dec 11, 1970",111.96,111.96,111.96,111.96
"Dec 14, 1970",112.17,112.17,112.17,112.17
"Dec 15, 1970",112.91,112.91,112.91,112.91
"Dec 16, 1970",113.94,113.94,113.94,113.94
"Dec 17, 1970",113.8,113.8,113.8,113.8
"Dec 18, 1970",114.65,114.65,114.65,114.65
"Dec 21, 1970",114.67,114.67,114.67,114.67
"Dec 22, 1970",114.98,114.98,114.98,114.98
"Dec 23, 1970",115.24,115.24,115.24,115.24
"Dec 24, 1970",114.71,114.71,114.71,114.71
"Dec 25, 1970",114.71,114.71,114.71,114.71
"Dec 28, 1970",115.01,115.01,115.01,115.01
"Dec 29, 1970",114.81,114.81,114.81,114.81
"Dec 30, 1970",114.39,114.39,114.39,114.39
"Dec 31, 1970",115.1,115.1,115.1,115.1
"Jan 01, 1971",115.1,115.1,115.1,115.1
"Jan 04, 1971",115.78,115.78,115.78,115.78
"Jan 05, 1971",115.82,115.82,115.82,115.82
"Jan 06, 1971",115.32,115.32,115.32,115.32
"Jan 07, 1971",114.69,114.69,114.69,114.69
"Jan 08, 1971",115.39,115.39,115.39,115.39
"Jan 11, 1971",115.8,115.8,115.8,115.8
"Jan 12, 1971",116.44,116.44,116.44,116.44
"Jan 13, 1971",116.79,116.79,116.79,116.79
"Jan 14, 1971",117.64,117.64,117.64,117.64
"Jan 15, 1971",117.99,117.99,117.99,117.99
"Jan 18, 1971",118.36,118.36,118.36,118.36
"Jan 19, 1971",120.39,120.39,120.39,120.39
"Jan 20, 1971",119.89,119.89,119.89,119.89
"Jan 21, 1971",119.81,119.81,119.81,119.81
"Jan 22, 1971",119.82,119.82,119.82,119.82
"Jan 25, 1971",120.33,120.33,120.33,120.33
"Jan 26, 1971",120.23,120.23,120.23,120.23
"Jan 27, 1971",119.55,119.55,119.55,119.55
"Jan 28, 1971",119.92,119.92,119.92,119.92
"Jan 29, 1971",120.95,120.95,120.95,120.95
"Feb 01, 1971",122.99,122.99,122.99,122.99
"Feb 02, 1971",123.06,123.06,123.06,123.06
"Feb 03, 1971",122.54,122.54,122.54,122.54
"Feb 04, 1971",122.77,122.77,122.77,122.77
"Feb 05, 1971",122.17,122.17,122.17,122.17
"Feb 08, 1971",122.42,122.42,122.42,122.42
"Feb 09, 1971",123.14,123.14,123.14,123.14
"Feb 10, 1971",123.23,123.23,123.23,123.23
"Feb 11, 1971",123.41,123.41,123.41,123.41
"Feb 12, 1971",123.8,123.8,123.8,123.8
"Feb 15, 1971",123.8,123.8,123.8,123.8
"Feb 16, 1971",122.78,122.78,122.78,122.78
"Feb 17, 1971",122.27,122.27,122.27,122.27
"Feb 18, 1971",121.65,121.65,121.65,121.65
"Feb 19, 1971",121.78,121.78,121.78,121.78
"Feb 22, 1971",122.9,122.9,122.9,122.9
"Feb 23, 1971",122.03,122.03,122.03,122.03
"Feb 24, 1971",120.03,120.03,120.03,120.03
"Feb 25, 1971",119.65,119.65,119.65,119.65
"Feb 26, 1971",119.78,119.78,119.78,119.78
"Mar 01, 1971",120.37,120.37,120.37,120.37
"Mar 02, 1971",121.58,121.58,121.58,121.58
"Mar 03, 1971",121.19,121.19,121.19,121.19
"Mar 04, 1971",121.14,121.14,121.14,121.14
"Mar 05, 1971",121.25,121.25,121.25,121.25
"Mar 08, 1971",120.92,120.92,120.92,120.92
"Mar 09, 1971",120.97,120.97,120.97,120.97
"Mar 10, 1971",121.1,121.1,121.1,121.1
"Mar 11, 1971",120.91,120.91,120.91,120.91
"Mar 12, 1971",120.48,120.48,120.48,120.48
"Mar 15, 1971",121.79,121.79,121.79,121.79
