date, value
02/01/1962,3.88
03/01/1962,3.87
04/01/1962,3.86
05/01/1962,3.89
08/01/1962,3.91
09/01/1962,3.93
10/01/1962,3.94
11/01/1962,3.94
12/01/1962,3.95
15/01/1962,3.96
16/01/1962,3.98
17/01/1962,3.97
18/01/1962,3.96
19/01/1962,3.95
22/01/1962,3.93
23/01/1962,3.94
24/01/1962,3.93
25/01/1962,3.94
26/01/1962,3.97
29/01/1962,3.98
30/01/1962,3.98
31/01/1962,3.99
01/02/1962,4
02/02/1962,3.97
05/02/1962,3.96
06/02/1962,3.96
07/02/1962,3.95
08/02/1962,3.93
09/02/1962,3.91
13/02/1962,3.91
14/02/1962,3.9
15/02/1962,3.9
16/02/1962,3.88
19/02/1962,3.86
20/02/1962,3.88
21/02/1962,3.86
23/02/1962,3.83
26/02/1962,3.8
27/02/1962,3.8
28/02/1962,3.77
01/03/1962,3.71
02/03/1962,3.72
05/03/1962,3.74
06/03/1962,3.74
07/03/1962,3.74
08/03/1962,3.72
09/03/1962,3.71
12/03/1962,3.73
13/03/1962,3.7
14/03/1962,3.72
15/03/1962,3.73
16/03/1962,3.72
19/03/1962,3.71
20/03/1962,3.67
21/03/1962,3.61
22/03/1962,3.58
23/03/1962,3.62
26/03/1962,3.65
27/03/1962,3.65
28/03/1962,3.64
29/03/1962,3.64
30/03/1962,3.61
02/04/1962,3.58
03/04/1962,3.55
04/04/1962,3.51
05/04/1962,3.56
06/04/1962,3.55
09/04/1962,3.57
10/04/1962,3.57
11/04/1962,3.61
12/04/1962,3.61
13/04/1962,3.6
16/04/1962,3.6
17/04/1962,3.6
18/04/1962,3.6
19/04/1962,3.6
23/04/1962,3.63
24/04/1962,3.65
25/04/1962,3.66
26/04/1962,3.66
27/04/1962,3.64
30/04/1962,3.64
01/05/1962,3.63
02/05/1962,3.64
03/05/1962,3.64
04/05/1962,3.64
07/05/1962,3.64
08/05/1962,3.62
09/05/1962,3.6
10/05/1962,3.61
11/05/1962,3.61
14/05/1962,3.63
15/05/1962,3.67
16/05/1962,3.67
17/05/1962,3.67
18/05/1962,3.72
21/05/1962,3.74
22/05/1962,3.71
23/05/1962,3.69
24/05/1962,3.68
25/05/1962,3.66
28/05/1962,3.65
29/05/1962,3.66
31/05/1962,3.66
01/06/1962,3.64
04/06/1962,3.63
05/06/1962,3.64
06/06/1962,3.62
07/06/1962,3.6
08/06/1962,3.6
11/06/1962,3.59
12/06/1962,3.57
13/06/1962,3.57
14/06/1962,3.6
15/06/1962,3.6
18/06/1962,3.61
19/06/1962,3.64
20/06/1962,3.63
21/06/1962,3.61
22/06/1962,3.61
25/06/1962,3.68
26/06/1962,3.71
27/06/1962,3.68
28/06/1962,3.76
29/06/1962,3.76
02/07/1962,3.77
03/07/1962,3.76
05/07/1962,3.78
06/07/1962,3.79
09/07/1962,3.83
10/07/1962,3.81
11/07/1962,3.77
12/07/1962,3.78
13/07/1962,3.78
16/07/1962,3.8
17/07/1962,3.82
18/07/1962,3.83
19/07/1962,3.83
20/07/1962,3.82
23/07/1962,3.81
24/07/1962,3.82
25/07/1962,3.83
26/07/1962,3.82
27/07/1962,3.79
30/07/1962,3.81
31/07/1962,3.82
01/08/1962,3.8
02/08/1962,3.76
03/08/1962,3.77
06/08/1962,3.76
07/08/1962,3.79
08/08/1962,3.78
09/08/1962,3.76
10/08/1962,3.76
13/08/1962,3.74
14/08/1962,3.73
15/08/1962,3.72
16/08/1962,3.69
17/08/1962,3.69
20/08/1962,3.66
21/08/1962,3.66
22/08/1962,3.66
23/08/1962,3.66
24/08/1962,3.66
