Date,Open,High,Low,Close,Volume
1789-05-01,0.51,0.51,0.51,0.51,
1789-06-01,0.51,0.51,0.51,0.51,
1789-07-01,0.5,0.5,0.5,0.5,
1789-08-01,0.5,0.51,0.5,0.51,
1789-09-01,0.51,0.51,0.5,0.51,
1789-10-01,0.51,0.51,0.51,0.51,
1789-11-01,0.51,0.51,0.5,0.5,
1789-12-01,0.5,0.5,0.5,0.5,
1790-01-01,0.5,0.5,0.49,0.49,
1790-02-01,0.49,0.49,0.49,0.49,
1790-03-01,0.49,0.51,0.49,0.5,
1790-04-01,0.5,0.5,0.49,0.5,
1790-05-01,0.51,0.52,0.51,0.52,
1790-06-01,0.52,0.53,0.52,0.53,
1790-07-01,0.53,0.53,0.53,0.53,
1790-08-01,0.53,0.54,0.53,0.54,
1790-09-01,0.54,0.55,0.54,0.55,
1790-10-01,0.55,0.57,0.55,0.56,
1790-11-01,0.56,0.57,0.55,0.55,
1790-12-01,0.57,0.57,0.57,0.57,
1791-01-01,0.57,0.58,0.57,0.58,
1791-02-01,0.58,0.59,0.58,0.59,
1791-03-01,0.59,0.59,0.59,0.59,
1791-04-01,0.6,0.6,0.6,0.6,
1791-05-01,0.6,0.6,0.6,0.6,
1791-06-01,0.6,0.6,0.6,0.6,
1791-07-01,0.6,0.6,0.6,0.6,
1791-08-01,0.6,0.61,0.6,0.61,
1791-09-01,0.61,0.62,0.61,0.62,
1791-10-01,0.62,0.62,0.62,0.62,
1791-11-01,0.62,0.62,0.62,0.62,
1791-12-01,0.63,0.63,0.63,0.63,
1792-01-01,0.63,0.64,0.63,0.63,
1792-02-01,0.63,0.63,0.62,0.62,
1792-03-01,0.63,0.63,0.62,0.62,
1792-04-01,0.62,0.62,0.62,0.62,
1792-05-01,0.61,0.61,0.59,0.59,
1792-06-01,0.59,0.59,0.58,0.58,
1792-07-01,0.58,0.58,0.57,0.57,
1792-08-01,0.57,0.57,0.57,0.57,
1792-09-01,0.56,0.61,0.56,0.56,
1792-10-01,0.56,0.56,0.52,0.54,
1792-11-01,0.53,0.54,0.53,0.54,
1792-12-01,0.54,0.54,0.54,0.54,
1793-01-01,0.54,0.55,0.54,0.55,
1793-02-01,0.55,0.57,0.55,0.57,
1793-03-01,0.57,0.58,0.57,0.58,
1793-04-01,0.58,0.61,0.58,0.59,
1793-05-01,0.59,0.59,0.58,0.59,
1793-06-01,0.59,0.6,0.59,0.6,
1793-07-01,0.6,0.6,0.6,0.6,
1793-08-01,0.6,0.6,0.6,0.6,
1793-09-01,0.6,0.6,0.6,0.6,
1793-10-01,0.6,0.61,0.6,0.61,
1793-11-01,0.61,0.61,0.61,0.61,
1793-12-01,0.62,0.62,0.61,0.62,
1794-01-01,0.62,0.63,0.62,0.63,
1794-02-01,0.63,0.64,0.63,0.64,
1794-03-01,0.64,0.66,0.64,0.66,
1794-04-01,0.66,0.66,0.66,0.66,
1794-05-01,0.67,0.68,0.67,0.68,
1794-06-01,0.68,0.7,0.68,0.7,
1794-07-01,0.7,0.76,0.7,0.71,
1794-08-01,0.72,0.73,0.68,0.73,
1794-09-01,0.73,0.74,0.73,0.74,
1794-10-01,0.74,0.74,0.74,0.74,
1794-11-01,0.75,0.76,0.75,0.76,
1794-12-01,0.76,0.76,0.76,0.76,
1795-01-01,0.76,0.76,0.76,0.76,
1795-02-01,0.76,0.78,0.76,0.78,
1795-03-01,0.76,0.77,0.76,0.77,
1795-04-01,0.76,0.78,0.76,0.78,
1795-05-01,0.78,0.78,0.78,0.78,
1795-06-01,0.78,0.78,0.78,0.78,
1795-07-01,0.78,0.78,0.77,0.77,
1795-08-01,0.77,0.77,0.77,0.77,
1795-09-01,0.77,0.77,0.75,0.75,
1795-10-01,0.75,0.77,0.75,0.75,
1795-11-01,0.75,0.75,0.73,0.74,
1795-12-01,0.74,0.74,0.73,0.73,
1796-01-01,0.73,0.73,0.73,0.73,
1796-02-01,0.73,0.73,0.72,0.72,
1796-03-01,0.72,0.72,0.71,0.71,
1796-04-01,0.71,0.71,0.71,0.71,
1796-05-01,0.7,0.72,0.7,0.7,
1796-06-01,0.7,0.7,0.67,0.67,
1796-07-01,0.68,0.68,0.67,0.67,
1796-08-01,0.67,0.67,0.66,0.66,
1796-09-01,0.66,0.66,0.65,0.65,
1796-10-01,0.65,0.65,0.65,0.65,
1796-11-01,0.65,0.65,0.64,0.64,
1796-12-01,0.64,0.64,0.63,0.63,
1797-01-01,0.63,0.63,0.63,0.63,
1797-02-01,0.63,0.63,0.62,0.63,
1797-03-01,0.62,0.62,0.62,0.62,
1797-04-01,0.62,0.62,0.62,0.62,
1797-05-01,0.61,0.61,0.61,0.61,
1797-06-01,0.61,0.61,0.61,0.61,
1797-07-01,0.61,0.61,0.61,0.61,
1797-08-01,0.61,0.62,0.6,0.6,
1797-09-01,0.6,0.6,0.58,0.59,
1797-10-01,0.59,0.59,0.58,0.58,
1797-11-01,0.58,0.58,0.58,0.58,
1797-12-01,0.58,0.58,0.58,0.58,
1798-01-01,0.58,0.58,0.57,0.57,
1798-02-01,0.57,0.58,0.57,0.58,
1798-03-01,0.58,0.59,0.58,0.59,
1798-04-01,0.62,0.62,0.59,0.6,
1798-05-01,0.6,0.61,0.57,0.61,
1798-06-01,0.61,0.62,0.61,0.62,
1798-07-01,0.62,0.63,0.62,0.63,
1798-08-01,0.64,0.65,0.64,0.65,
1798-09-01,0.66,0.67,0.66,0.67,
1798-10-01,0.67,0.68,0.67,0.68,
1798-11-01,0.68,0.7,0.68,0.68,
1798-12-01,0.68,0.69,0.67,0.69,
1799-01-01,0.69,0.69,0.69,0.69,
1799-02-01,0.7,0.71,0.7,0.71,
1799-03-01,0.71,0.71,0.71,0.71,
1799-04-01,0.71,0.72,0.71,0.72,
1799-05-01,0.72,0.73,0.72,0.73,
1799-06-01,0.73,0.73,0.73,0.73,
1799-07-01,0.74,0.74,0.73,0.74,
1799-08-01,0.74,0.74,0.73,0.74,
1799-09-01,0.74,0.74,0.74,0.74,
1799-10-01,0.74,0.76,0.74,0.76,
1799-11-01,0.76,0.77,0.76,0.77,
1799-12-01,0.77,0.79,0.77,0.79,
1800-01-01,0.79,0.8,0.79,0.8,
1800-02-01,0.8,0.86,0.8,0.8,
1800-03-01,0.81,0.85,0.76,0.85,
1800-04-01,0.86,0.89,0.86,0.89,
1800-05-01,0.89,0.9,0.89,0.9,
1800-06-01,0.9,0.92,0.9,0.92,
1800-07-01,0.93,0.94,0.93,0.94,
1800-08-01,0.94,0.96,0.94,0.96,
1800-09-01,0.97,1.03,0.97,1,
1800-10-01,1,1.01,1,1.01,
1800-11-01,1,1.02,1,1.01,
1800-12-01,1.01,1.01,1,1,
1801-01-01,1,1,0.98,0.98,
1801-02-01,0.98,0.98,0.96,0.96,
1801-03-01,0.95,0.95,0.91,0.91,
1801-04-01,0.9,0.9,0.88,0.88,
1801-05-01,0.87,0.96,0.84,0.84,
1801-06-01,0.83,0.83,0.72,0.81,
1801-07-01,0.8,0.8,0.77,0.77,
1801-08-01,0.76,0.76,0.74,0.74,
1801-09-01,0.73,0.73,0.71,0.71,
1801-10-01,0.7,0.7,0.68,0.68,
1801-11-01,0.67,0.67,0.65,0.65,
1801-12-01,0.65,0.66,0.63,0.63,
1802-01-01,0.63,0.63,0.59,0.59,
1802-02-01,0.61,0.61,0.6,0.6,
1802-03-01,0.6,0.6,0.6,0.6,
1802-04-01,0.6,0.6,0.6,0.6,
1802-05-01,0.61,0.61,0.61,0.61,
1802-06-01,0.61,0.61,0.61,0.61,
1802-07-01,0.61,0.62,0.61,0.62,
1802-08-01,0.62,0.64,0.62,0.62,
1802-09-01,0.63,0.63,0.62,0.63,
1802-10-01,0.63,0.64,0.63,0.64,
1802-11-01,0.64,0.65,0.64,0.65,
1802-12-01,0.65,0.65,0.65,0.65,
1803-01-01,0.65,0.66,0.65,0.66,
1803-02-01,0.66,0.67,0.66,0.67,
1803-03-01,0.68,0.7,0.68,0.68,
1803-04-01,0.69,0.7,0.69,0.7,
1803-05-01,0.7,0.71,0.7,0.71,
1803-06-01,0.71,0.71,0.71,0.71,
1803-07-01,0.71,0.71,0.71,0.71,
1803-08-01,0.71,0.72,0.71,0.72,
1803-09-01,0.72,0.72,0.72,0.72,
1803-10-01,0.72,0.73,0.72,0.73,
1803-11-01,0.73,0.74,0.73,0.74,
1803-12-01,0.74,0.75,0.72,0.75,
1804-01-01,0.76,0.77,0.76,0.77,
1804-02-01,0.78,0.8,0.78,0.8,
1804-03-01,0.8,0.83,0.8,0.83,
1804-04-01,0.84,0.86,0.84,0.86,
1804-05-01,0.87,0.89,0.87,0.89,
1804-06-01,0.9,1.02,0.9,0.93,
1804-07-01,0.93,0.96,0.86,0.96,
1804-08-01,0.98,1.01,0.98,1.01,
1804-09-01,1.03,1.06,1.03,1.06,
1804-10-01,1.07,1.08,1.07,1.08,
1804-11-01,1.08,1.09,1.08,1.09,
1804-12-01,1.09,1.11,1.09,1.11,
1805-01-01,1.11,1.14,1.11,1.14,
1805-02-01,1.12,1.12,1.12,1.12,
1805-03-01,1.12,1.12,1.1,1.12,
1805-04-01,1.12,1.12,1.11,1.11,
1805-05-01,1.11,1.11,1.11,1.11,
1805-06-01,1.11,1.12,1.11,1.12,
1805-07-01,1.12,1.12,1.11,1.11,
1805-08-01,1.11,1.11,1.1,1.1,
1805-09-01,1.1,1.14,1.09,1.09,
1805-10-01,1.09,1.09,1.06,1.09,
1805-11-01,1.08,1.09,1.08,1.09,
1805-12-01,1.09,1.1,1.09,1.1,
1806-01-01,1.1,1.11,1.1,1.11,
1806-02-01,1.12,1.15,1.12,1.15,
1806-03-01,1.16,1.19,1.16,1.19,
1806-04-01,1.2,1.29,1.2,1.21,
1806-05-01,1.22,1.23,1.17,1.17,
1806-06-01,1.23,1.24,1.23,1.24,
1806-07-01,1.25,1.26,1.25,1.26,
1806-08-01,1.27,1.3,1.27,1.3,
1806-09-01,1.3,1.31,1.29,1.29,
1806-10-01,1.28,1.28,1.26,1.26,
1806-11-01,1.26,1.26,1.24,1.24,
1806-12-01,1.23,1.31,1.2,1.2,
1807-01-01,1.2,1.2,1.08,1.17,
1807-02-01,1.15,1.15,1.11,1.11,
1807-03-01,1.09,1.09,1.03,1.03,
1807-04-01,1.01,1.01,0.97,0.97,
1807-05-01,0.96,0.96,0.91,0.91,
1807-06-01,0.89,0.89,0.86,0.86,
1807-07-01,0.85,0.98,0.81,0.81,
1807-08-01,0.8,0.8,0.65,0.65,
1807-09-01,0.76,0.76,0.72,0.72,
1807-10-01,0.71,0.71,0.69,0.69,
1807-11-01,0.68,0.68,0.66,0.66,
1807-12-01,0.66,0.66,0.65,0.65,
1808-01-01,0.64,0.65,0.64,0.65,
1808-02-01,0.65,0.66,0.65,0.66,
1808-03-01,0.66,0.7,0.66,0.67,
1808-04-01,0.68,0.69,0.64,0.69,
1808-05-01,0.7,0.71,0.7,0.71,
1808-06-01,0.72,0.74,0.72,0.74,
1808-07-01,0.75,0.77,0.75,0.77,
1808-08-01,0.78,0.79,0.78,0.79,
1808-09-01,0.8,0.83,0.8,0.83,
1808-10-01,0.84,0.94,0.84,0.86,
1808-11-01,0.87,0.89,0.81,0.89,
1808-12-01,0.89,0.9,0.89,0.9,
1809-01-01,0.91,0.94,0.91,0.94,
1809-02-01,0.95,0.97,0.95,0.97,
1809-03-01,0.98,1,0.98,1,
1809-04-01,1,1.01,1,1.01,
1809-05-01,1.02,1.03,1.02,1.03,
1809-06-01,1.13,1.13,1.04,1.07,
1809-07-01,1.08,1.11,1.01,1.11,
1809-08-01,1.11,1.13,1.11,1.13,
1809-09-01,1.13,1.15,1.13,1.15,
1809-10-01,1.16,1.17,1.16,1.17,
1809-11-01,1.18,1.19,1.18,1.19,
1809-12-01,1.19,1.19,1.19,1.19,
1810-01-01,1.19,1.2,1.18,1.18,
1810-02-01,1.18,1.18,1.17,1.18,
1810-03-01,1.18,1.18,1.17,1.17,
1810-04-01,1.17,1.17,1.16,1.16,
1810-05-01,1.16,1.16,1.16,1.16,
1810-06-01,1.16,1.16,1.15,1.15,
1810-07-01,1.14,1.14,1.13,1.13,
1810-08-01,1.12,1.15,1.1,1.15,
1810-09-01,1.09,1.09,1.06,1.06,
1810-10-01,1.01,1.06,1.01,1.05,
1810-11-01,1.05,1.05,1.04,1.04,
1810-12-01,1.04,1.04,1.02,1.02,
1811-01-01,1.02,1.02,1,1,
1811-02-01,1.01,1.01,1.01,1.01,
1811-03-01,1.02,1.02,1.02,1.02,
1811-04-01,1.02,1.06,1.02,1.03,
1811-05-01,1.04,1.05,1.01,1.05,
1811-06-01,1.05,1.06,1.05,1.06,
1811-07-01,1.06,1.08,1.06,1.08,
1811-08-01,1.08,1.08,1.06,1.06,
1811-09-01,1.06,1.06,1.03,1.03,
1811-10-01,1.03,1.03,1.01,1.01,
1811-11-01,1,1.06,0.99,0.99,
1811-12-01,0.99,0.99,0.93,0.93,
1812-01-01,0.98,0.98,0.96,0.96,
1812-02-01,0.95,0.95,0.93,0.93,
1812-03-01,0.92,0.92,0.9,0.9,
1812-04-01,0.9,0.9,0.89,0.89,
1812-05-01,0.89,0.89,0.88,0.88,
1812-06-01,0.87,0.87,0.84,0.84,
1812-07-01,0.84,0.86,0.83,0.83,
1812-08-01,0.82,0.82,0.8,0.81,
1812-09-01,0.81,0.81,0.81,0.81,
1812-10-01,0.8,0.8,0.8,0.8,
1812-11-01,0.8,0.8,0.8,0.8,
1812-12-01,0.8,0.8,0.8,0.8,
1813-01-01,0.8,0.8,0.8,0.8,
1813-02-01,0.8,0.84,0.8,0.81,
1813-03-01,0.81,0.81,0.78,0.81,
1813-04-01,0.81,0.81,0.81,0.81,
1813-05-01,0.81,0.81,0.81,0.81,
1813-06-01,0.81,0.81,0.81,0.81,
1813-07-01,0.82,0.82,0.82,0.82,
1813-08-01,0.83,0.83,0.83,0.83,
1813-09-01,0.83,0.83,0.83,0.83,
1813-10-01,0.85,0.85,0.83,0.84,
1813-11-01,0.84,0.86,0.8,0.86,
1813-12-01,0.87,0.89,0.87,0.89,
1814-01-01,0.9,0.96,0.9,0.96,
1814-02-01,0.97,1.01,0.97,1.01,
1814-03-01,1.03,1.08,1.03,1.08,
1814-04-01,1.1,1.14,1.1,1.14,
1814-05-01,1.15,1.46,1.15,1.18,
1814-06-01,1.19,1.22,1,1.22,
1814-07-01,1.23,1.3,1.23,1.3,
1814-08-01,1.32,1.35,1.32,1.35,
1814-09-01,1.37,1.43,1.37,1.43,
1814-10-01,1.44,1.45,1.44,1.45,
1814-11-01,1.46,1.47,1.46,1.47,
1814-12-01,1.48,1.48,1.48,1.48,
1815-01-01,1.53,1.53,1.48,1.48,
1815-02-01,1.49,1.49,1.44,1.49,
1815-03-01,1.49,1.5,1.49,1.5,
1815-04-01,1.5,1.51,1.5,1.51,
1815-05-01,1.51,1.51,1.51,1.51,
1815-06-01,1.52,1.52,1.52,1.52,
1815-07-01,1.53,1.54,1.53,1.54,
1815-08-01,1.54,1.56,1.54,1.55,
1815-09-01,1.55,1.56,1.54,1.56,
1815-10-01,1.56,1.57,1.56,1.57,
1815-11-01,1.57,1.57,1.56,1.56,
1815-12-01,1.56,1.56,1.56,1.56,
1816-01-01,1.56,1.56,1.55,1.55,
1816-02-01,1.55,1.55,1.55,1.55,
1816-03-01,1.54,1.54,1.54,1.54,
1816-04-01,1.54,1.54,1.54,1.54,
1816-05-01,1.54,1.54,1.54,1.54,
1816-06-01,1.54,1.54,1.52,1.52,
1816-07-01,1.52,1.52,1.5,1.5,
1816-08-01,1.5,1.5,1.49,1.49,
1816-09-01,1.49,1.49,1.49,1.49,
1816-10-01,1.49,1.49,1.49,1.49,
1816-11-01,1.49,1.54,1.49,1.5,
1816-12-01,1.5,1.5,1.5,1.5,
1817-01-01,1.5,1.51,1.47,1.47,
1817-02-01,1.51,1.52,1.51,1.52,
1817-03-01,1.52,1.52,1.52,1.52,
1817-04-01,1.52,1.53,1.52,1.53,
1817-05-01,1.53,1.53,1.53,1.53,
1817-06-01,1.53,1.54,1.53,1.54,
1817-07-01,1.55,1.56,1.54,1.56,
1817-08-01,1.57,1.6,1.57,1.6,
1817-09-01,1.6,1.62,1.54,1.62,
1817-10-01,1.62,1.65,1.62,1.65,
1817-11-01,1.66,1.68,1.66,1.68,
1817-12-01,1.68,1.7,1.68,1.7,
1818-01-01,1.71,1.73,1.71,1.73,
1818-02-01,1.74,1.82,1.74,1.78,
1818-03-01,1.79,1.81,1.79,1.81,
1818-04-01,1.82,1.83,1.79,1.83,
1818-05-01,1.83,1.84,1.83,1.84,
1818-06-01,1.84,1.84,1.84,1.84,
1818-07-01,1.85,1.85,1.85,1.85,
1818-08-01,1.86,1.89,1.86,1.89,
1818-09-01,1.89,1.89,1.89,1.89,
1818-10-01,1.88,1.88,1.88,1.88,
1818-11-01,1.88,1.89,1.88,1.89,
1818-12-01,1.89,1.89,1.86,1.89,
1819-01-01,1.89,1.89,1.88,1.88,
1819-02-01,1.88,1.88,1.88,1.88,
1819-03-01,1.88,1.88,1.88,1.88,
1819-04-01,1.88,1.88,1.88,1.88,
1819-05-01,1.88,1.91,1.88,1.88,
1819-06-01,1.88,1.88,1.87,1.87,
1819-07-01,1.87,1.87,1.82,1.86,
1819-08-01,1.85,1.85,1.84,1.84,
1819-09-01,1.83,1.83,1.82,1.82,
1819-10-01,1.8,1.8,1.78,1.78,
1819-11-01,1.78,1.78,1.77,1.77,
1819-12-01,1.76,1.8,1.75,1.75,
1820-01-01,1.75,1.75,1.74,1.74,
1820-02-01,1.74,1.74,1.74,1.74,
1820-03-01,1.74,1.74,1.68,1.74,
1820-04-01,1.74,1.76,1.74,1.76,
1820-05-01,1.76,1.77,1.76,1.77,
1820-06-01,1.78,1.8,1.78,1.8,
1820-07-01,1.8,1.81,1.8,1.81,
1820-08-01,1.82,1.88,1.82,1.83,
1820-09-01,1.84,1.87,1.84,1.87,
1820-10-01,1.87,1.9,1.84,1.9,
1820-11-01,1.9,1.91,1.9,1.91,
1820-12-01,1.92,1.93,1.92,1.93,
1821-01-01,1.94,1.96,1.94,1.96,
1821-02-01,1.97,1.98,1.97,1.98,
1821-03-01,1.98,2.04,1.98,1.99,
1821-04-01,1.99,2,1.99,2,
1821-05-01,2,2.01,1.96,1.96,
1821-06-01,2.02,2.07,2.02,2.07,
1821-07-01,2.08,2.08,2.08,2.08,
1821-08-01,2.08,2.09,2.08,2.09,
1821-09-01,2.09,2.09,2.08,2.08,
1821-10-01,2.08,2.08,2.08,2.08,
1821-11-01,2.1,2.1,2.08,2.08,
1821-12-01,2.08,2.09,2.08,2.09,
1822-01-01,2.09,2.09,2.07,2.08,
1822-02-01,2.08,2.08,2.07,2.07,
1822-03-01,2.07,2.07,2.06,2.06,
1822-04-01,2.05,2.05,2.03,2.03,
1822-05-01,2.03,2.03,2.02,2.02,
1822-06-01,2.02,2.05,2.02,2.03,
1822-07-01,2.03,2.03,2.02,2.02,
1822-08-01,2.02,2.02,1.98,1.98,
1822-09-01,2.01,2.01,2,2,
1822-10-01,2,2,1.99,1.99,
1822-11-01,1.99,1.99,1.99,1.99,
1822-12-01,2,2,2,2,
1823-01-01,2.01,2.05,2.01,2.05,
1823-02-01,2.02,2.02,2.01,2.01,
1823-03-01,2.01,2.01,2.01,2.01,
1823-04-01,2.01,2.01,1.98,2.01,
1823-05-01,2.01,2.02,2.01,2.02,
1823-06-01,2.02,2.03,2.02,2.03,
1823-07-01,2.03,2.04,2.03,2.04,
1823-08-01,2.04,2.05,2.04,2.05,
1823-09-01,2.06,2.08,2.06,2.08,
1823-10-01,2.09,2.09,2.09,2.09,
1823-11-01,2.1,2.11,2.09,2.11,
1823-12-01,2.11,2.12,2.11,2.12,
1824-01-01,2.12,2.15,2.12,2.15,
1824-02-01,2.16,2.17,2.16,2.17,
1824-03-01,2.18,2.19,2.18,2.19,
1824-04-01,2.19,2.23,2.19,2.2,
1824-05-01,2.2,2.21,2.2,2.21,
1824-06-01,2.22,2.24,2.22,2.24,
1824-07-01,2.24,2.33,2.23,2.33,
1824-08-01,2.34,2.34,2.34,2.34,
1824-09-01,2.34,2.34,2.34,2.34,
1824-10-01,2.34,2.34,2.34,2.34,
1824-11-01,2.34,2.34,2.34,2.34,
1824-12-01,2.35,2.49,2.35,2.37,
1825-01-01,2.37,2.37,2.33,2.33,
1825-02-01,2.3,2.3,2.24,2.27,
1825-03-01,2.26,2.26,2.25,2.25,
1825-04-01,2.24,2.24,2.22,2.22,
1825-05-01,2.22,2.22,2.21,2.21,
1825-06-01,2.21,2.21,2.2,2.2,
1825-07-01,2.2,2.23,2.2,2.2,
1825-08-01,2.19,2.19,2.19,2.19,
1825-09-01,2.18,2.18,2.17,2.17,
1825-10-01,2.16,2.16,2.13,2.13,
1825-11-01,2.11,2.11,2.1,2.1,
1825-12-01,2.09,2.09,2.08,2.08,
1826-01-01,2.08,2.08,2.07,2.07,
1826-02-01,2.07,2.07,2.06,2.06,
1826-03-01,2.05,2.09,2.01,2.01,
1826-04-01,2.01,2.01,2.01,2.01,
1826-05-01,2.01,2.02,1.99,2.02,
1826-06-01,2.02,2.03,2.02,2.03,
1826-07-01,2.03,2.03,2.02,2.02,
1826-08-01,2.02,2.02,2.02,2.02,
1826-09-01,2.02,2.02,2.01,2.01,
1826-10-01,2.01,2.02,2,2,
1826-11-01,2,2,1.99,1.99,
1826-12-01,1.99,1.99,1.99,1.99,
1827-01-01,1.98,1.98,1.97,1.97,
1827-02-01,1.97,1.98,1.97,1.98,
1827-03-01,1.98,1.99,1.98,1.99,
1827-04-01,2,2,2,2,
1827-05-01,2.01,2.02,2.01,2.02,
1827-06-01,2.08,2.08,2.02,2.03,
1827-07-01,2.04,2.06,2.04,2.06,
1827-08-01,2.07,2.09,2.07,2.09,
1827-09-01,2.1,2.1,2.1,2.1,
1827-10-01,2.11,2.11,2.11,2.11,
1827-11-01,2.11,2.11,2.08,2.08,
