,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
1960-01-01,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
1961-01-01,106277192.88617751,128568341.63628946,107282068.17495391,118045016.97254555,101295908.03756131
1962-01-01,106143188.24616867,114921629.33694063,108023946.50095376,113286498.712924,101857851.60580175
1963-01-01,110717170.97001381,138863438.28523183,114078585.36543782,128226165.03651695,103043079.26314034
1964-01-01,115738279.71435207,160263446.25983915,120495034.77070841,142536587.99328554,107020712.02291983
1965-01-01,118673583.56314984,178493748.3016601,125174734.49183467,153384312.60918865,107243085.1874691
1966-01-01,118370089.37217936,162210588.7530193,126207584.4821752,147784478.6030665,106092545.14930122
1967-01-01,122619204.78584933,193949461.32817852,132642963.83676368,164987659.018642,126851102.18890904
1968-01-01,130197412.49911682,220773382.52905458,141634204.13836053,180668978.00950044,137025031.35559368
1969-01-01,130211434.75687014,193475277.48047277,144336006.44054925,168853636.3244325,145924185.32703683
1970-01-01,134109080.10530291,195923306.53054142,152664024.71838772,178721248.82875133,151180122.09263116
1971-01-01,149168975.1607268,220232993.59686226,169489530.7799794,201515732.76961747,172662706.7377333
