,GLD,COM,SP500,US20YB,ITB
1970-06-18,0.0,0.0,0.0,0.0,0.0
1970-06-19,-0.005155507211344945,-0.0010134207490836156,0.0,0.0,0.0
1970-06-22,-0.003546855841386698,0.0,-0.010721908467715258,0.0,0.0
1970-06-23,-0.0036259394242565968,0.0,-0.05933486593478354,0.0,0.0
1970-06-24,-0.0008904007403243153,0.0,-0.07928984230166602,-0.010672793813769399,0.0
1970-06-25,0.0,0.0,-0.07811830660286345,-0.017592095182240697,-0.00042585922302995627
1970-06-26,-0.009903926482873748,0.0,-0.09189131684206231,-0.006086421533992192,0.0
1970-06-29,-0.008586037167474303,0.0,-0.10630134582053263,0.0,0.0
1970-06-30,-0.0067084423826679895,0.0,-0.1105409390100105,0.0,0.0
1970-07-01,-0.00734671833384315,-0.014053956730908146,-0.10522974111487549,0.0,0.0
1970-07-02,-0.008823603553939185,-0.011789649793928492,-0.10579154113058342,0.0,0.0
1970-07-03,-0.013652091811601874,-0.011868079186802105,-0.10579154113058342,0.0,0.0
1970-07-06,-0.01596003806115831,-0.015554139890033736,-0.1338218292237997,0.0,-0.0004427128344267617
1970-07-07,-0.017151618747428987,-0.014191969328615772,-0.14716431372510452,-0.021782506514245847,-0.0018116841874339373
1970-07-08,-0.018898767870968447,0.0,-0.10484770757314887,-0.0323461345353071,-0.0003975910991094178
1970-07-09,-0.01842076832736861,0.0,-0.0789225968944326,-0.053464100453977315,0.0
1970-07-10,-0.018498671440993375,0.0,-0.06929493468301673,-0.0530472132386578,0.0
1970-07-13,-0.017742667497949394,0.0,-0.06686843496593164,-0.045525093124391236,0.0
1970-07-14,-0.017820624429100373,-0.02189885836220562,-0.07019700045067323,-0.04153736962176413,0.0
1970-07-15,-0.018732697785143082,-0.013951954648661613,-0.05003039931425468,-0.03392808051462137,0.0
1970-07-16,-0.01936637750310477,-0.012418876541131274,-0.022072839721303805,-0.029892981322406698,-0.0032368120770863706
1970-07-17,-0.01888860578226481,-0.015184795337152002,0.0,-0.033092132887891035,-0.009229399905570923
1970-07-20,-0.01813290218715813,-0.024745234472347888,0.0,-0.036283079631922344,-0.00783143614230375
1970-07-21,-0.019044685555211105,-0.022686261568579225,-0.02090461227276752,-0.03224987502989762,-0.005507442391228912
1970-07-22,-0.01856691450450143,-0.010110785409084277,-0.01971053724534222,0.0,0.0
1970-07-23,-0.019756281767236428,-0.0049883720105327045,0.0,-0.007136878434545801,-0.006012323472838532
1970-07-24,-0.021222526080695303,-0.014956325563835082,-0.0046947496947497,-0.010429503742751645,-0.010150477625170407
1970-07-27,-0.01991285392838471,-0.021295563944732976,-0.009122236185248322,-0.03926421579612682,-0.012429828806041932
1970-07-28,-0.01943534845477113,-0.039560131317107894,-0.006138407884015429,-0.03528655671659431,-0.011032801490826638
1970-07-29,-0.01951317104616368,-0.030275688619621044,0.0,-0.034867215825842846,-0.008714695812289452
1970-07-30,-0.020146346752553,-0.03478912406346468,0.0,-0.03444769265631786,-0.00731455073459597
