,uniform,onlystocks,sixtyforty,riskparity
1970-06-18,100000.0,100000.0,100000.0,100000.0
1970-06-19,100512.6829724902,101403.49414829562,101197.2451910531,100162.83784578332
1970-06-22,101299.85872624701,100316.37135397957,101403.77912323321,100615.19320103609
1970-06-23,100665.10464735501,95387.37440155295,98778.65056784057,100465.15832819064
1970-06-24,100260.70247681692,93364.08631494065,97366.46627733522,100567.71693678516
1970-06-25,100835.54250229162,93482.8714329407,97281.70369040727,101296.33421804736
1970-06-26,100738.3265398072,92086.38932134029,96774.40064955533,101132.0808551928
1970-06-29,101925.62029488856,90625.31818681046,97022.19939526438,101775.34471047098
1970-06-30,102479.73703716515,90195.45456609532,97349.06999744946,102244.08223667351
1970-07-01,103203.21693167023,90733.97103583673,98597.14788222316,102471.39495545621
1970-07-02,103230.11343585886,90677.00863919233,98583.31374522565,102477.00979008063
1970-07-03,103942.48942875167,90677.00863919233,99394.7629805058,102514.43629909729
1970-07-06,103613.59423143981,87834.94323552503,98053.58546116675,102292.642405414
1970-07-07,102782.95025843478,86482.11327266417,96677.24497583589,102008.62158613309
1970-07-08,103756.78207133594,90772.70643193295,99020.13932052154,102486.61863211088
1970-07-09,103860.82127204377,93401.32230277933,100086.92804927092,102595.72963893501
1970-07-10,104203.76069377389,94377.49656107681,100731.33994962311,102814.69786045041
1970-07-13,104523.58480022341,94623.52581610986,101132.14624911273,103031.12733067173
1970-07-14,104192.33729496255,94286.03371554473,101134.86101995996,102840.9527394085
1970-07-15,105066.77058234432,96330.77899995884,102675.81522945358,103346.09789905255
1970-07-16,105684.7491121415,99165.47026769938,104407.48814936573,103404.15654521389
1970-07-17,106130.05574387519,102664.52664461719,106301.49975254333,103306.7938583467
1970-07-20,105943.32298810963,102920.64175041948,106405.97855752993,103210.21714708324
1970-07-21,105686.96880475947,100769.35217315376,105263.75174913893,103214.56971615824
1970-07-22,107370.09549440787,100892.23420164848,106718.00021738556,104119.76702047182
1970-07-23,107656.21000750246,103424.92767391451,107931.64589436416,104024.47204597166
1970-07-24,107146.98830262027,102939.4244010688,107470.58044538718,103583.31410027145
1970-07-27,106176.70663918517,102481.55990958776,106426.0587712296,103214.27705765686
1970-07-28,105987.31541139196,102790.12980149878,106740.22933182139,103000.93545837962
1970-07-29,106384.42445195396,103495.63663068405,107222.90446549922,103296.56681282893
1970-07-30,106329.66923002849,103566.98378909995,107305.78069349038,103254.39784467462
1970-07-31,106214.17078479184,103505.71490566788,107167.50880636543,103147.01583904728
1970-08-03,105720.99097097343,100765.90995398778,105364.52599713355,102947.68802083448
1970-08-04,105560.53105955325,101202.70362411161,105338.62743821793,102904.70447671931
