,uniform,onlystocks,sixtyforty,riskparity
1970-06-18,0.0,0.0,0.0,0.0
1970-06-19,0.0,0.0,0.0,0.0
1970-06-22,0.0,-0.010720762666483696,0.0,0.0
1970-06-23,-0.006266090465213425,-0.05932852508952513,-0.025887876941966814,-0.0014911751204976786
1970-06-24,-0.010258220124850448,-0.07928136895951421,-0.0398142246847778,-0.0004718597931434587
1970-06-25,-0.00458358214704091,-0.07810995845736401,-0.040650116479549414,0.0
1970-06-26,-0.005543267221697734,-0.09188149683806457,-0.04565291859637621,-0.0016215133955487238
1970-06-29,0.0,-0.10628998588276284,-0.043209235058626505,0.0
1970-06-30,0.0,-0.1105291260063418,-0.03998577923665125,0.0
1970-07-01,0.0,-0.10521849569459063,-0.027677777547119087,0.0
1970-07-02,0.0,-0.10578023567330486,-0.027814203793922965,0.0
1970-07-03,0.0,-0.10578023567330486,-0.019812044088474368,0.0
1970-07-06,-0.003164203581417002,-0.13380752829806353,-0.03303815391332765,-0.002163538148287625
1970-07-07,-0.011155583983888495,-0.1471485869491831,-0.04661102562709518,-0.004934082761655412
1970-07-08,-0.0017866356524298688,-0.10483650297903813,-0.02350641981315993,-0.0002713536550622564
1970-07-09,-0.0007857052217694616,-0.07891416279811492,-0.012986212992732282,0.0
1970-07-10,0.0,-0.06928752945084682,-0.006631302890525381,0.0
1970-07-13,0.0,-0.06686128904266875,-0.002678725353917777,0.0
1970-07-14,-0.003169117342214922,-0.07018949881886805,-0.0026519534636518793,-0.0018457974419019418
1970-07-15,0.0,-0.050025052794712144,0.0,0.0
1970-07-16,0.0,-0.02207048089805752,0.0,0.0
1970-07-17,0.0,0.0,0.0,-0.0009415742086210654
1970-07-20,-0.0017594710042949657,0.0,0.0,-0.001875547411344658
1970-07-21,-0.004174943054633173,-0.020902411223615913,-0.01073461119267316,-0.0018334546249382244
1970-07-22,0.0,-0.01970846192049458,0.0,0.0
1970-07-23,0.0,0.0,0.0,-0.0009152438314754541
1970-07-24,-0.004730072745888991,-0.004694257794179424,-0.004271828203456063,-0.005152267773466002
1970-07-27,-0.013742852067838762,-0.00912128038707527,-0.01394945023453198,-0.008696619179304532
1970-07-28,-0.015502074576043468,-0.006137764721645844,-0.011038621274328086,-0.010745621068016908
1970-07-29,-0.01181339706701423,0.0,-0.00656657667908267,-0.007906281690786332
1970-07-30,-0.01232200889648194,0.0,-0.005798718213621434,-0.008311286132892004
1970-07-31,-0.013394854069357698,-0.0005915870211768981,-0.00707982428755527,-0.009342617730149883
1970-08-03,-0.017975916451026475,-0.027046011505135414,-0.02378468220287433,-0.011257026721994912
1970-08-04,-0.01946640094243679,-0.022828512316269367,-0.024024635542796213,-0.011669854615729225
