,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
1915-01-01,1000000.0,1000000.0,1000000.0,999999.9999999999,1000000.0
1916-01-01,1118440.4735160256,1092827.0053964832,1091542.9363462888,1067769.515030298,1085966.191798647
1917-01-01,1121048.956320147,835232.0719945049,1079024.91779234,916755.4265174775,1090023.1188559912
1918-01-01,1237594.7736146953,1040355.2319093692,1185150.9632567544,1066380.7239552476,1183271.2314282642
1919-01-01,1331399.5191664374,1244475.5582664183,1262876.2987393877,1201665.5314931814,1271838.5081725116
1920-01-01,1385730.077941482,1021251.2536358734,1291412.2515521906,1073404.8240599094,1317907.1420827904
1921-01-01,1435516.7759824595,1165216.1794695868,1379081.5468335624,1216176.4252025117,1348356.9617489695
1922-01-01,1547675.0349753927,1480828.7659942526,1493466.4455206194,1440969.319774737,1409689.229290519
1923-01-01,1586836.8064566564,1531426.557482624,1549816.537024756,1500611.86315285,1460000.5641094095
1924-01-01,1718516.5406342945,1918313.2556569593,1688364.0686874113,1765520.243871613,1510922.669889027
1925-01-01,1896995.854629013,2465863.2612237167,1862414.6219916188,2099732.4573053997,1618785.6885002377
1926-01-01,2021503.4160427048,2806255.3006807333,1995733.5663700914,2324157.466991634,1677539.8230036886
1927-01-01,2136292.5130883297,3792293.085146908,2139973.666793968,2848709.424179499,1758224.777560628
1928-01-01,2302800.5287611554,5212774.040021599,2311613.2136552115,3503308.6497615012,1904151.2029051525
1929-01-01,2358770.896007778,5037138.46847497,2381633.2209135587,3498229.6380639505,1925732.7491308013
1930-01-01,2253805.2323419894,3881421.157320962,2296691.993887733,3068955.014744676,1721902.7931577
1931-01-01,1847265.4074340186,2317341.1293871053,1968143.9841120057,2299401.5273081474,1606977.4276952667
1932-01-01,2004639.216816376,2009826.657805583,2096182.287979404,2226196.5473089367,1747610.8069569857
1933-01-01,2307895.3380305697,3067785.324191341,2402784.163454805,2950419.613825398,1876024.8876529874
1934-01-01,2635983.1267361827,2987782.9026929867,2657491.9447385315,3004318.760253775,2041379.3155020096
1935-01-01,2965189.3689290695,4359065.519778887,2991494.187064248,3885086.4113767687,2212975.600745631
1936-01-01,3305328.8296700073,5943572.444340661,3314886.496884185,4806630.324312275,2344001.018974762
1937-01-01,3181912.4731839113,4117996.8741115015,3196274.346774507,3957545.5776897366,2397453.5245388057
1938-01-01,3357600.245790412,4932627.818983642,3396202.858643772,4509307.403393995,2480549.7550602644
1939-01-01,3426598.6123642605,5049238.398512976,3486621.9694460966,4659664.48716338,2583928.2714024098
1940-01-01,3419774.5318232803,4571662.875302559,3506393.045220537,4495357.283141803,2621492.55750666
1941-01-01,3379800.736042043,4111457.509862533,3437839.4435941908,4217019.986238254,2604148.608659654
1942-01-01,3560972.5842849542,4745072.567685652,3614097.341254746,4640177.593095343,2665941.1380444346
1943-01-01,3856144.279374414,6026042.812702053,3902076.184193808,5436122.751497025,2771604.4547003466
1944-01-01,4145135.5119032804,7212354.383429421,4183566.784596135,6142241.949028105,2862567.600649733
1945-01-01,4672650.012202894,9904599.56498335,4691284.238234455,7698792.712095538,2997480.4084050884
1946-01-01,4817444.560710638,9053021.227644907,4780859.437136277,7328371.434097271,3061120.8936698427
1947-01-01,5145133.8086795565,9495799.49847385,5015368.418048628,7511261.315209619,3250502.435895902
1948-01-01,5496316.167844048,10184450.325898796,5311584.04383192,7935535.359319589,3418735.411662441
1949-01-01,5684856.33652388,11853922.299884146,5535391.532074201,8850603.796266906,3399804.3201721413
1950-01-01,6156642.807110162,15207994.719543142,5942620.338870449,10357037.273426147,3512560.6463533477
1951-01-01,6515299.03984314,19112021.70800829,6293560.193338567,11905515.200431466,3600821.0140131745
1952-01-01,6826339.805584459,22410294.45615881,6589149.738025377,13196782.375019928,3735255.155568668
1953-01-01,7114747.4410553025,22616840.948473357,6866505.487008089,13495115.65819719,3993837.4975176617
1954-01-01,7996754.484818984,33255774.064326722,7715926.917674697,17573123.322718315,4316784.246841541
1955-01-01,8541219.162887782,44705574.58963938,8212894.5747474935,21112288.90171054,4650897.849818915
1956-01-01,8552314.13790941,47474423.349324524,8190856.5780303385,21549661.83706464,4546026.078744665
1957-01-01,8802105.355268069,43058197.93971339,8463680.305255465,20988454.198541455,4658834.811563091
1958-01-01,9361606.801100582,58976813.05597997,8971316.114808587,25333053.997212533,4716307.486728909
1959-01-01,9521307.566983327,67135878.70950496,9074106.528967958,27140797.798370842,4759858.54665199
1960-01-01,10064434.912312653,66783489.224607825,9750356.980680944,28476749.449405584,4864084.035652263
1961-01-01,10782744.836244188,86724475.05901602,10457743.347645918,33748394.29233094,4989304.912650363
1962-01-01,10936579.514784118,78298637.44584753,10668867.41567635,32703119.957867272,5075075.6083571995
1963-01-01,11488223.803062472,95560836.73312071,11220271.751534922,37074206.62006588,5192575.986473555
1964-01-01,12137860.202756424,111395307.58263293,11880050.874091381,41392210.77686859,5315906.2807956
1965-01-01,12510259.316715535,125313087.99000679,12232220.988403028,44487280.343261436,5378469.036393388
1966-01-01,12627663.52130512,115026294.65839744,12403051.734866492,43107307.91548746,5374244.304529371
1967-01-01,13008520.88351671,138914086.73158363,12678252.667715684,47686995.179014675,5460957.676616364
1968-01-01,13873482.981581673,159714758.5474437,13393080.546728715,52099567.60359356,5964833.678243339
1969-01-01,13571387.837919151,141373805.72070312,12805895.219882471,47159449.035253465,6421857.458317499
1970-01-01,14497323.35392506,144601305.73667642,14213556.09124919,51235747.68122914,6753034.077284233
1971-01-01,16378713.68103124,164175874.77363116,16036299.909303524,58456181.67752632,7611334.832418742
1972-01-01,18907230.681505866,199736002.4246857,17898626.19779694,66870930.471343584,8445261.00438772
1973-01-01,21162043.467948347,166860307.6929247,19047808.357425008,60033966.30264928,9283319.635739176
1974-01-01,24661185.56795378,124414623.37205578,20783610.779109612,51478585.59684414,11643363.475409169
1975-01-01,27956392.834420465,171364587.864493,23390504.978600744,64235669.39649849,13441029.692447197
1976-01-01,30442362.55301324,210100325.4460271,26327666.319571935,77375234.76219568,14970855.762675848
1977-01-01,31896597.868950054,197638787.45048878,26913371.253980994,74662575.08210118,16293127.839902095
1978-01-01,34727144.883553214,213143172.23693633,28252742.93134763,77195854.49428916,16926139.457854375
1979-01-01,41898926.14398186,251598094.17169997,32148341.595379204,85144454.17986561,19674371.55052965
1980-01-01,55565564.11469815,325957233.22847754,38741033.41707697,98641143.40834892,25447916.30043621
1981-01-01,55571988.84712385,318461437.81397605,38663453.34171898,97049562.36157118,27699996.782048598
1982-01-01,66239663.63296302,376262958.4090196,50646674.931271166,126416370.45166017,29562474.814134967
1983-01-01,71047053.97192806,462879013.85915905,53606529.397389576,143839900.71037555,31611825.671072602
1984-01-01,74364035.04847956,484361779.80173504,57691675.94010291,156220049.11717355,33598748.67570123
1985-01-01,87753417.48585059,633645314.6258993,72328319.43705659,206773535.2934394,40502694.208778724
1986-01-01,100755041.75154974,785194443.8921549,85798156.1630667,257845113.02725765,43771738.95913187
1987-01-01,107070451.56920363,789016186.7463075,87890406.92304789,254332186.77847242,48126673.830727294
1988-01-01,112636720.8838806,937161345.0651233,93508626.49483962,289659019.9281699,52117356.081651144
1989-01-01,129601091.58885622,1219021517.283013,110477129.42516282,364862376.3931762,58680666.39316096
1990-01-01,136807678.9839388,1191885524.9836223,116345915.14708105,368686317.66645634,62674397.35684131
1991-01-01,150600648.37328276,1452777023.574958,133139767.57413302,445943253.7678155,71543221.51812282
1992-01-01,158634570.53267232,1675343460.1566486,141820300.0414372,499336741.73276603,74980252.94306926
1993-01-01,172609397.19993103,1840285800.5066717,157281558.3529678,559878139.6932986,81931542.50680839
1994-01-01,169333175.08722267,1849804179.919785,151024554.97927353,542505893.5190845,76499892.2073145
1995-01-01,206722614.29884896,2553533587.5443797,191287337.0293575,734380961.5949156,84719293.62965438
1996-01-01,222941066.14725614,3150107386.559325,203330664.04136923,833201766.6288517,92678934.14363272
1997-01-01,243111800.01295823,4144494411.0064173,227711686.7540847,1036364205.7840698,101130699.40859973
1998-01-01,257500321.797135,5194775737.623158,251411681.72231665,1253033504.7112134,110825021.23988183
1999-01-01,270229080.1760797,6309292054.420925,256811581.91910937,1368528976.0199022,115678145.96630655
2000-01-01,311567805.5866075,5949462623.603976,296292288.502848,1432333385.3139644,124351327.3750186
2001-01-01,305739426.81231356,5188374109.198715,294817864.2928244,1348492511.7290573,135281876.44256297
2002-01-01,326863332.4469984,4147554341.865133,318124470.51577246,1275455833.557502,143242366.92986536
2003-01-01,364903336.9464062,5064769095.333339,346653081.8916033,1449737074.2625496,153137580.1931643
2004-01-01,409276383.1280237,5711597622.733407,381529197.5958905,1594292702.9315045,171430859.10487425
2005-01-01,451982243.01072323,6116816673.322349,412310882.81621575,1694934097.6832829,194902036.72677982
2006-01-01,512142073.4075118,6985482509.480613,452365475.25977945,1844873057.4545512,217126644.29886004
2007-01-01,563135325.6183007,7431957225.531431,497443678.48855597,1988741577.957469,235077418.32136327
2008-01-01,624332098.5602276,4551710867.8110485,550675214.3360422,1714499490.211207,246260124.75242892
2009-01-01,617937583.5664533,5875532762.285321,540993845.601011,1927095442.0162816,237230204.33072704
2010-01-01,711048765.7164829,6689782795.996431,611702832.2033055,2160020662.0107484,265418220.58991253
2011-01-01,836871920.1989117,6841841685.677363,713765476.976213,2375748952.590435,303544128.618228
2011-01-01,878332130.3772984,7998657247.371056,750785565.1000042,2644749388.4337816,318054341.0441338
2011-01-01,904788533.9122028,10363347552.208166,761929731.6363406,2999204071.050867,339413834.9983082
2011-01-01,999747570.8761693,12002480551.699377,849582575.110734,3498709548.8310556,356901492.3836453
2011-01-01,964077812.720602,12254885132.648626,833612784.8642949,3538209614.3146496,362740173.25006855
