,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
1915-01-01,0.0,0.0,0.0,0.0,0.0
1916-01-01,0.0,0.0,0.0,0.0,0.0
1917-01-01,0.0,-0.23571428243441106,-0.01146818703792829,-0.14142948116339082,0.0
1918-01-01,0.0,-0.048014711594793535,0.0,-0.0013006468676070027,0.0
1919-01-01,0.0,0.0,0.0,0.0,0.0
1920-01-01,0.0,-0.17937218866837468,0.0,-0.10673577969228765,0.0
1921-01-01,0.0,-0.06368897988421851,0.0,0.0,0.0
1922-01-01,0.0,0.0,0.0,0.0,0.0
1923-01-01,0.0,0.0,0.0,0.0,0.0
1924-01-01,0.0,0.0,0.0,0.0,0.0
1925-01-01,0.0,0.0,0.0,0.0,0.0
1926-01-01,0.0,0.0,0.0,0.0,0.0
1927-01-01,0.0,0.0,0.0,0.0,0.0
1928-01-01,0.0,0.0,0.0,0.0,0.0
1929-01-01,0.0,-0.03369330229896195,0.0,-0.0014497756850218035,0.0
1930-01-01,-0.04450015211033986,-0.2554019937329033,-0.03566511681141371,-0.12398383312483618,-0.10584540147904842
1931-01-01,-0.21685255208103638,-0.5554495338575037,-0.17361583352576215,-0.3436486027388177,-0.1655241733721401
1932-01-01,-0.15013398706536962,-0.6144420144869247,-0.1198551189274476,-0.3645445577681281,-0.09249567067611675
1933-01-01,-0.021568672931871147,-0.4114869931752059,0.0,-0.1578191050833454,-0.025812440225804978
1934-01-01,0.0,-0.4268343726864081,0.0,-0.1424338930404253,0.0
1935-01-01,0.0,-0.16377240096890433,0.0,0.0,0.0
1936-01-01,0.0,0.0,0.0,0.0,0.0
1937-01-01,-0.03733860164781777,-0.3071512271996335,-0.03578166257612958,-0.1766486476664969,0.0
1938-01-01,0.0,-0.17009040182888968,0.0,-0.061856831263764955,0.0
1939-01-01,0.0,-0.150470790791698,0.0,-0.030575648059625427,0.0
1940-01-01,-0.0019915027445457367,-0.23082238533904043,0.0,-0.06475909736516061,0.0
1941-01-01,-0.013657239033879165,-0.3082514685629226,-0.019551031713284317,-0.12266604633431666,-0.006616058778172618
1942-01-01,0.0,-0.2016463815118792,0.0,-0.03462981756158845,0.0
1943-01-01,0.0,0.0,0.0,0.0,0.0
1944-01-01,0.0,0.0,0.0,0.0,0.0
1945-01-01,0.0,0.0,0.0,0.0,0.0
1946-01-01,0.0,-0.08597806824509147,0.0,-0.048114203336881545,0.0
1947-01-01,0.0,-0.041273760117952585,0.0,-0.024358546060253006,0.0
1948-01-01,0.0,0.0,0.0,0.0,0.0
1949-01-01,0.0,0.0,0.0,0.0,-0.00553745441244724
1950-01-01,0.0,0.0,0.0,0.0,0.0
1951-01-01,0.0,0.0,0.0,0.0,0.0
1952-01-01,0.0,0.0,0.0,0.0,0.0
1953-01-01,0.0,0.0,0.0,0.0,0.0
1954-01-01,0.0,0.0,0.0,0.0,0.0
1955-01-01,0.0,0.0,0.0,0.0,0.0
1956-01-01,0.0,0.0,-0.002683340997084782,0.0,-0.022548715207394543
1957-01-01,0.0,-0.09302325542989398,0.0,-0.026042526456629855,0.0
1958-01-01,0.0,0.0,0.0,0.0,0.0
1959-01-01,0.0,0.0,0.0,0.0,0.0
1960-01-01,0.0,-0.005248899570107879,0.0,0.0,0.0
1961-01-01,0.0,0.0,0.0,0.0,0.0
1962-01-01,0.0,-0.09715639797686537,0.0,-0.030972564958481663,0.0
1963-01-01,0.0,0.0,0.0,0.0,0.0
1964-01-01,0.0,0.0,0.0,0.0,0.0
1965-01-01,0.0,0.0,0.0,0.0,0.0
1966-01-01,0.0,-0.08208873866734245,0.0,-0.031019482807808973,-0.0007854896691662505
1967-01-01,0.0,0.0,0.0,0.0,0.0
1968-01-01,0.0,0.0,0.0,0.0,0.0
1969-01-01,-0.021775003729314513,-0.1148356795173211,-0.04384243974323476,-0.0948207210840527,0.0
1970-01-01,0.0,-0.09462777859866833,0.0,-0.016580174502347278,0.0
1971-01-01,0.0,0.0,0.0,0.0,0.0
1972-01-01,0.0,0.0,0.0,0.0,0.0
1973-01-01,0.0,-0.1645957380375498,0.0,-0.10224119988317149,0.0
1974-01-01,0.0,-0.37710466885423566,0.0,-0.2301799117494795,0.0
1975-01-01,0.0,-0.14204456991117898,0.0,-0.039408171177973905,0.0
1976-01-01,0.0,0.0,0.0,0.0,0.0
1977-01-01,0.0,-0.05931232124026187,0.0,-0.03505850015746714,0.0
1978-01-01,0.0,0.0,0.0,-0.0023183162992373996,0.0
1979-01-01,0.0,0.0,0.0,0.0,0.0
1980-01-01,0.0,0.0,0.0,0.0,0.0
1981-01-01,0.0,-0.022996254263967675,-0.002002529837621503,-0.016135062832645874,0.0
1982-01-01,0.0,0.0,0.0,0.0,0.0
1983-01-01,0.0,0.0,0.0,0.0,0.0
1984-01-01,0.0,0.0,0.0,0.0,0.0
1985-01-01,0.0,0.0,0.0,0.0,0.0
1986-01-01,0.0,0.0,0.0,0.0,0.0
1987-01-01,0.0,0.0,0.0,-0.013624172308489224,0.0
1988-01-01,0.0,0.0,0.0,0.0,0.0
1989-01-01,0.0,0.0,0.0,0.0,0.0
1990-01-01,0.0,-0.022260470315464298,0.0,0.0,0.0
1991-01-01,0.0,0.0,0.0,0.0,0.0
1992-01-01,0.0,0.0,0.0,0.0,0.0
1993-01-01,0.0,0.0,0.0,0.0,0.0
1994-01-01,-0.018980554742993316,0.0,-0.03978218069058326,-0.031028620234629378,-0.06629498399889777
1995-01-01,0.0,0.0,0.0,0.0,0.0
1996-01-01,0.0,0.0,0.0,0.0,0.0
1997-01-01,0.0,0.0,0.0,0.0,0.0
1998-01-01,0.0,0.0,0.0,0.0,0.0
1999-01-01,0.0,0.0,0.0,0.0,0.0
2000-01-01,0.0,-0.05703166499715551,0.0,0.0,0.0
2001-01-01,-0.018706614322107296,-0.17766144530221617,-0.004976249019081225,-0.05853446861222833,0.0
2002-01-01,0.0,-0.3426276187422741,0.0,-0.10952586413537735,0.0
2003-01-01,0.0,-0.1972523935099102,0.0,0.0,0.0
2004-01-01,0.0,-0.09473240841160824,0.0,0.0,0.0
2005-01-01,0.0,-0.030506652638422227,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,-0.38754883408447327,0.0,-0.13789729685639784,0.0
2009-01-01,-0.010242169205332718,-0.20942322675098768,-0.017580905192372098,-0.0309975597757155,-0.03666821995960523
2010-01-01,0.0,-0.09986258088049338,0.0,0.0,0.0
