,GLD_LNG,OIL_LNG,EQ_LNG,US10YB_LNG,RE_LNG,LTB_LNG
1915-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1916-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1917-01-01,0.0,0.0,-0.4160298392921993,0.0,0.0,-0.027927613280786412
1918-01-01,0.0,0.0,-0.09414401728646571,0.0,0.0,0.0
1919-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1920-01-01,0.0,0.0,-0.3266712898821641,0.0,0.0,-0.061327900858966444
1921-01-01,-0.00964788645478909,-0.6828499776372112,-0.12351213786611781,0.0,0.0,0.0
1922-01-01,-0.0019334486384592342,-0.7253271980976832,0.0,0.0,0.0,0.0
1923-01-01,0.0,-0.8097532799140132,0.0,0.0,0.0,0.0
1924-01-01,-0.05822951057365244,-0.7833430626148544,0.0,0.0,0.0,0.0
1925-01-01,-0.06277584649404,-0.7009968570312457,0.0,0.0,0.0,0.0
1926-01-01,-0.0636837902785401,-0.6255862707274512,0.0,0.0,0.0,0.0
1927-01-01,-0.06277584818717696,-0.8210650715111232,0.0,0.0,0.0,0.0
1928-01-01,-0.060958645696650104,-0.8550688984753105,0.0,0.0,0.0,0.0
1929-01-01,-0.06368380210673996,-0.8292400260662969,-0.06625558553832456,0.0,0.0,0.0
1930-01-01,-0.06186747964035866,-0.8500779583501964,-0.44572129928001514,0.0,-0.14364380863073356,0.0
1931-01-01,-0.3597918994830702,-0.9553330815022345,-0.802629909986321,0.0,-0.3165924816478958,-0.09962138713519364
1932-01-01,-0.058496422003220916,-0.9200062625493545,-0.8515484533603622,0.0,-0.4763290827900519,0.0
1933-01-01,0.0,-0.9525700137217741,-0.6543638210070899,0.0,-0.422753336678085,-0.00805584545116167
1934-01-01,0.0,-0.8944068103324763,-0.6721568052288798,0.0,-0.4145257314561821,0.0
1935-01-01,0.0,-0.900647722404765,-0.3025438367689349,0.0,-0.19251017523745628,0.0
1936-01-01,0.0,-0.8745517402203552,0.0,0.0,-0.016434755007175172,0.0
1937-01-01,-0.00458322814586587,-0.8529838148422496,-0.5202094667599146,0.0,0.0,0.0
1938-01-01,-0.001146820571254481,-0.8651798239724934,-0.3116933589888581,0.0,-0.023537042834465338,0.0
1939-01-01,-0.02564421957848695,-0.890154866925857,-0.2787661445800128,0.0,0.0,0.0
1940-01-01,-0.057648959923288556,-0.890154866925857,-0.4087702910576001,0.0,-0.024860242139575606,0.0
1941-01-01,-0.057648959923288556,-0.8627951311505224,-0.5218318378776029,-0.03767574700881404,-0.05970924072353356,0.0
1942-01-01,-0.057648959923288556,-0.8504967389345202,-0.3631451429979423,0.0,0.0,0.0
1943-01-01,-0.057648959923288556,-0.847973562635378,0.0,0.0,0.0,0.0
1944-01-01,-0.057648959923288556,-0.8454292722299949,0.0,0.0,0.0,0.0
1945-01-01,-0.00915996903118077,-0.8428638677183877,0.0,0.0,0.0,0.0
1946-01-01,-0.00915996903118077,-0.790125511967531,-0.1645898868074379,0.0,0.0,-0.0022522562892702824
1947-01-01,-0.00915996903118077,-0.6069284394995024,-0.08088063773737053,0.0,0.0,-0.059982591050980916
1948-01-01,-0.00915996903118077,-0.28689161318666356,0.0,0.0,0.0,0.0
1949-01-01,-0.17410478484567304,-0.3194259730775515,0.0,0.0,0.0,0.0
1950-01-01,-0.00865235001392306,-0.33540794548214015,0.0,0.0,0.0,-0.0014777166345613102
1951-01-01,-0.00865235001392306,-0.32477480497067857,0.0,0.0,0.0,-0.0745050481662578
1952-01-01,-0.015493186820257354,-0.32477480497067857,0.0,0.0,0.0,-0.05356105015722501
1953-01-01,-0.0017881038459913734,-0.24234473673489154,0.0,0.0,0.0,0.0
1954-01-01,0.0,-0.18475262914731372,0.0,0.0,0.0,0.0
1955-01-01,-0.0005706951225166179,-0.1906072098516225,0.0,-0.027282694814153685,0.0,-0.0241883817776104
1956-01-01,-0.0028518504378105547,-0.17887719589415862,0.0,-0.07516998400206121,0.0,-0.13282705926133542
1957-01-01,-0.005130399457364265,0.0,-0.1774233577067692,0.0,0.0,0.0
1958-01-01,0.0,-0.051112156251576835,0.0,-0.04502505344639418,0.0,-0.10004116476454294
1959-01-01,0.0,-0.11920351663984374,0.0,-0.1062776915103969,0.0,-0.14559525182352073
1960-01-01,0.0,-0.13131070085305474,-0.010470353607361704,0.0,0.0,0.0
1961-01-01,-0.0011337879929400607,-0.12526770349413607,0.0,0.0,0.0,0.0
1962-01-01,-0.0022669328836869562,-0.11920376001010557,-0.1849061919920707,0.0,0.0,0.0
1963-01-01,-0.010180991993616217,-0.12526778377932923,0.0,0.0,0.0,-0.012456688894745271
1964-01-01,-0.009616751751149843,-0.13131086086790233,0.0,0.0,0.0,0.0
1965-01-01,-0.008487789559864956,-0.1433342550092941,0.0,0.0,0.0,-0.009719478329320297
1966-01-01,-0.007923066992729377,-0.13131118537234765,-0.15746269930578816,0.0,0.0,0.0
1967-01-01,-0.01806357982460649,-0.10701402278738448,0.0,-0.07968766458288812,0.0,-0.09970052534986706
1968-01-01,0.0,-0.0947396076372089,0.0,-0.05254604735423618,0.0,-0.10184464671139393
1969-01-01,0.0,-1.91530521275185e-05,-0.21652898555241962,-0.18802067593833438,0.0,-0.1985450403464889
1970-01-01,-0.23866290572956905,0.0,-0.1803496783241918,0.0,0.0,0.0
