,uniform,onlystocks,sixtyforty,riskparity
1988-01-05,100000.0,100000.0,100000.0,100000.0
1988-01-06,100000.0,100000.0,100000.0,100000.0
1988-01-07,100000.0,100000.0,100000.0,100000.0
1988-01-08,100000.0,100000.0,100000.0,100000.0
1988-01-11,100000.0,100000.0,100000.0,100000.0
1988-01-12,100000.0,100000.0,100000.0,100000.0
1988-01-13,100000.0,100000.0,100000.0,100000.0
1988-01-14,100000.0,100000.0,100000.0,100000.0
1988-01-15,100000.0,100000.0,100000.0,100000.0
1988-01-18,100000.0,100000.0,100000.0,100000.0
1988-01-19,100000.0,100000.0,100000.0,100000.0
1988-01-20,99920.74820987594,97317.29387223492,98912.14108790949,100000.0
1988-01-21,100032.58196658581,97517.46856614483,99238.24688403812,100000.0
1988-01-22,100560.25407509095,98861.04748854904,100359.96466717693,100000.0
1988-01-25,100465.30284604587,101160.00749405121,101162.72026944337,100000.0
1988-01-26,101100.75860603013,100132.71707365963,101652.32263014872,100000.0
1988-01-27,101130.62616164645,100052.92009671839,102038.18807288673,100000.0
1988-01-28,101952.39464951119,101612.0573254668,103473.12560238726,100000.0
1988-01-29,101782.17388045108,103127.10587349639,104374.61612105864,100000.0
1988-02-01,102089.18694317431,102339.7179714854,104613.88937309658,100000.0
1988-02-02,101873.56048934658,102591.59276049658,104288.43692391038,100000.0
1988-02-03,100998.39006314834,101244.74008497207,103063.81426715647,100000.0
1988-02-04,101777.80509548662,101312.79655197817,103849.56615710996,100000.0
1988-02-05,101368.0656350121,100889.27859435695,103243.0107369192,100000.0
1988-02-08,101548.37168167203,100158.08195242635,102923.20649299253,100000.0
1988-02-09,101940.24342281683,101221.20957672542,103939.83279841095,100000.0
1988-02-10,101894.11601555879,103211.33073923578,104789.93943467819,100000.0
1988-02-11,101057.53744508904,102927.65512128618,103905.65814227858,100000.0
1988-02-12,100972.47080361808,103646.92410859582,104147.66067767462,100000.0
1988-02-15,101049.04383097558,103646.92410859582,104147.66067767462,100000.0
1988-02-16,101198.76616618282,104549.94192537782,104631.54391399515,100000.0
1988-02-17,101399.49116260206,104306.20324887025,104694.07986006432,100000.0
1988-02-18,101139.35480377302,103778.82466417423,104457.55244190106,100000.0
1988-02-19,101607.64350442126,105264.9986594215,105499.31294282366,100000.0
1988-02-22,102515.99121329818,106906.86763893653,107043.14530290537,100000.0
1988-02-23,102236.15441624919,106663.0869693686,106845.2829024734,100000.0
1988-02-24,101664.26936741444,106451.2643332152,106494.32091050346,100000.0
1988-02-25,101227.23962699506,105304.76576338577,106011.09460236825,100000.0
1988-02-26,101388.26599362303,105656.2114736927,106446.31042895705,100000.0
1988-02-29,101709.36390358466,107844.959318811,107736.80136431668,100000.0
1988-03-01,101902.78095916715,107824.84003890546,107941.61015996334,100000.0
1988-03-02,101961.87285920665,107944.50996712473,108084.01879995219,100000.0
1988-03-03,100702.66106522105,107900.42705866766,106998.80236086666,100000.0
1988-03-04,100738.72888839805,107676.64478787316,106725.12835848588,100000.0
1988-03-07,100756.00206034261,107720.4303872105,106516.69546472502,100000.0
1988-03-08,101020.28189869554,108562.86111947033,107062.88748165127,100000.0
1988-03-09,100841.47456792969,108434.90924815417,106835.56309940467,100000.0
1988-03-10,101262.22894443362,106334.45491270801,105919.78568958149,100000.0
1988-03-11,101507.14046907453,106777.56279429917,106196.67573053493,100000.0
1988-03-14,101391.41016289509,107356.3842479385,106498.27030863396,100000.0
1988-03-15,100973.1510427041,107260.44446223264,106011.65658588358,100000.0
1988-03-16,101928.3924168561,108350.21932221424,107065.5372844643,100000.0
1988-03-17,101568.7652511168,109304.17846438273,106941.78176218286,100000.0
1988-03-18,101214.25046108176,109264.05614483368,106554.59212952548,100000.0
1988-03-21,101404.59057471139,108305.81295384835,106044.43009383978,100000.0
1988-03-22,101398.74083076298,108345.55839558142,105878.76778302764,100000.0
1988-03-23,101635.40482595001,108373.33872852924,105793.68330506868,100000.0
1988-03-24,101812.07386594568,106133.99147995259,104791.36738270805,100000.0
1988-03-25,100870.71989392165,104269.99595597557,103025.11347058996,100000.0
1988-03-28,101070.88734996816,104090.38511918134,103032.78773359633,100000.0
1988-03-29,101169.57518722682,104904.52673581122,103426.80673936123,100000.0
1988-03-30,101075.87034550316,104098.36088419452,102997.14568364619,100000.0
1988-03-31,100541.72822664308,104425.58226819427,102542.51119199565,100000.0
1988-04-01,100540.0918121934,104425.58226819427,102542.51119199565,100000.0
1988-04-04,100417.02108448227,103328.18802503747,102006.96716339403,100000.0
1988-04-05,100716.43051514159,104313.82579295931,103026.10115954377,100000.0
1988-04-06,101154.55653136471,107122.88502677473,104784.13213362411,100000.0
1988-04-07,101699.79245156841,107386.0976023067,105453.65420176771,100000.0
1988-04-08,101677.38318273469,108702.63217008438,105781.48922030572,100000.0
1988-04-11,102419.09459049843,109001.66979963439,106141.69540827989,100000.0
1988-04-12,102836.74211123357,109484.21246428351,106588.658676289,100000.0
1988-04-13,101844.95770057508,109563.78375093437,105755.63704346732,100000.0
1988-04-14,100731.94091558867,104812.367512711,102597.69168506702,100000.0
1988-04-15,100677.60118948352,104816.33067786523,102232.5546855256,100000.0
1988-04-18,100691.32541901099,104592.90860483971,101959.06634692295,100000.0
1988-04-19,100360.58554084982,104074.34930051785,101637.99518860967,100000.0
1988-04-20,100197.73415859204,103348.40098051506,101234.45802393818,100000.0
1988-04-21,100432.41699416513,103464.09581425092,101506.48694008161,100000.0
1988-04-22,100452.70793157979,104959.73889051157,102392.88282772791,100000.0
1988-04-25,100623.80782178084,105912.869560757,102897.63811610802,100000.0
1988-04-26,100674.11356510618,106534.91409690563,103208.7906762861,100000.0
1988-04-27,100429.30835575933,106494.9356143612,102807.06012613905,100000.0
1988-04-28,100209.48180355142,106012.32916042762,102526.43593385554,100000.0
1988-04-29,99642.30032271196,105497.85288076886,101862.47570189153,100000.0
1988-05-02,99492.9544718334,105609.42956830387,102244.75348918841,100000.0
1988-05-03,99632.18917344067,106227.3987923155,102564.16930202962,100000.0
1988-05-04,99297.72256958506,105162.750602293,101967.50637994983,100000.0
1988-05-05,99055.83590689494,104604.52247771676,101249.90521824089,100000.0
1988-05-06,99071.62043002545,104102.15833502902,100948.18255193488,100000.0
1988-05-09,99010.29911652496,103815.11486775799,100639.10751384214,100000.0
1988-05-10,99124.90173551647,104261.60504980331,100807.51100351344,100000.0
1988-05-11,99277.68764905851,102519.55584167638,100063.4297500421,100000.0
1988-05-12,99751.5552715576,102738.84572316962,100561.48575855722,100000.0
1988-05-13,99906.83071734667,103926.73192674785,101151.25269051772,100000.0
1988-05-16,99877.70310004795,104755.78907056102,101061.98158312944,100000.0
1988-05-17,99220.96413097465,103460.38657522576,99814.50196560935,100000.0
1988-05-18,98911.93200056575,101850.23931641818,98943.35960126843,100000.0
1988-05-19,98986.82695128793,102356.45623569812,98970.88067125049,100000.0
1988-05-20,98868.0111351053,102535.85826439149,98998.44543539788,100000.0
1988-05-23,98669.28241295683,101663.16704596035,98609.6860360734,100000.0
1988-05-24,99109.06454378548,102755.12017217863,99412.0543706169,100000.0
1988-05-25,98821.8377981197,102874.71617247959,99447.63061403624,100000.0
1988-05-26,98893.79081160335,103225.39466515552,99581.49149541196,100000.0
