,uniform,onlystocks,sixtyforty,riskparity
1988-01-05,0.0,0.0,0.0,0.0
1988-01-06,0.0,0.0,0.0,0.0
1988-01-07,0.0,0.0,0.0,0.0
1988-01-08,0.0,0.0,0.0,0.0
1988-01-11,0.0,0.0,0.0,0.0
1988-01-12,0.0,0.0,0.0,0.0
1988-01-13,0.0,0.0,0.0,0.0
1988-01-14,0.0,0.0,0.0,0.0
1988-01-15,0.0,0.0,0.0,0.0
1988-01-18,0.0,0.0,0.0,0.0
1988-01-19,0.0,0.0,0.0,0.0
1988-01-20,-0.0007925179012406858,-0.026827061277650777,-0.010878589120905113,0.0
1988-01-21,0.0,-0.02482531433855173,-0.007617531159618829,0.0
1988-01-22,0.0,-0.011389525114509635,0.0,0.0
1988-01-25,-0.0009442222468349915,0.0,0.0,0.0
1988-01-26,0.0,-0.010155104233775303,0.0,0.0
1988-01-27,0.0,-0.010943923638972897,0.0,0.0
1988-01-28,0.0,0.0,0.0,0.0
1988-01-29,-0.001669610308274616,0.0,0.0,0.0
1988-02-01,0.0,-0.007635120711880106,0.0,0.0
1988-02-02,-0.0021121380264077505,-0.005192748390095425,-0.0031109869935673773,0.0
1988-02-03,-0.010684744512982958,-0.018252871275505123,-0.01481710617231613,0.0
1988-02-04,-0.003050096263975677,-0.017592943253384674,-0.007306135165864314,0.0
1988-02-05,-0.007063640428085716,-0.021699700192154392,-0.013104174258240842,0.0
1988-02-08,-0.0052974783882187015,-0.028789947084446155,-0.016161170282794624,0.0
1988-02-09,-0.001458954908127419,-0.01848104124156147,-0.00644327993849525,0.0
1988-02-10,-0.0019107893152691124,0.0,0.0,0.0
1988-02-11,-0.010105374809768253,-0.002748492979577133,-0.00843860867913604,0.0
1988-02-12,-0.010938632905146184,0.0,-0.006129202483258878,0.0
1988-02-15,-0.010188572789571748,0.0,-0.006129202483258878,0.0
1988-02-16,-0.008721989112197792,0.0,-0.0015115527457841837,0.0
1988-02-17,-0.006755816176263085,-0.002331313361049303,-0.000914778414139894,0.0
1988-02-18,-0.009303944598265779,-0.007375587656987648,-0.0031719361092323872,0.0
1988-02-19,-0.004716889742897967,0.0,0.0,0.0
1988-02-22,0.0,0.0,0.0,0.0
1988-02-23,-0.0027296892293295905,-0.002280308786066665,-0.0018484359729160627,0.0
1988-02-24,-0.008308185248012911,-0.004261684172246816,-0.005127132530054812,0.0
1988-02-25,-0.012571224947937276,-0.014985958441525393,-0.009641445957297656,0.0
1988-02-26,-0.01100048105986473,-0.011698557752788608,-0.005575647765762359,0.0
1988-02-29,-0.007868307179854761,0.0,0.0,0.0
1988-03-01,-0.005981605863373707,-0.00018655744350615233,0.0,0.0
1988-03-02,-0.005405189449308678,0.0,0.0,0.0
1988-03-03,-0.017688266255985963,-0.00040838490508221525,-0.010040489344628423,0.0
1988-03-04,-0.017336439943328452,-0.0024815081316609255,-0.012572538073194917,0.0
1988-03-07,-0.017167947479468704,-0.002075877503936785,-0.014500972045904836,0.0
1988-03-08,-0.01459000978189462,0.0,-0.009447569859433957,0.0
1988-03-09,-0.016334199431232488,-0.001178597081881838,-0.011550789047345078,0.0
1988-03-10,-0.012229919001182421,-0.020526413764187956,-0.020023618055657,0.0
1988-03-11,-0.009840910986507523,-0.016444834879641657,-0.01746181434010563,0.0
1988-03-14,-0.010969811022587206,-0.011113163922643166,-0.014671442725063932,0.0
1988-03-15,-0.015049751285962754,-0.011996889579065306,-0.019173622863748685,0.0
1988-03-16,-0.005731776959747692,-0.00195869743173116,-0.009423053720577834,0.0
1988-03-17,-0.009239787383126918,0.0,-0.010568047436165795,0.0
1988-03-18,-0.012697928750530108,-0.00036707031801275214,-0.014150349768705883,0.0
1988-03-21,-0.010841241697350235,-0.009133827494615887,-0.01887040034926335,0.0
1988-03-22,-0.010898303467705928,-0.008770205149235655,-0.020403118253829455,0.0
1988-03-23,-0.008589746603688386,-0.008516048964741119,-0.021190325085178263,0.0
1988-03-24,-0.006866415073604526,-0.02900334670612026,-0.030463813742329093,0.0
1988-03-25,-0.016048923684045868,-0.04605663369079316,-0.046805303739912985,0.0
1988-03-28,-0.014096375075019152,-0.04769985391638365,-0.04673430098583731,0.0
1988-03-29,-0.013133717092682407,-0.040251450496973984,-0.04308881287261146,0.0
1988-03-30,-0.014047768067702249,-0.04762688538832527,-0.04706406342755498,0.0
1988-03-31,-0.019258097817611564,-0.0446332085811173,-0.05127036975015764,0.0
1988-04-01,-0.019274060346289423,-0.0446332085811173,-0.05127036975015764,0.0
1988-04-04,-0.020474563080102537,-0.05467302827121623,-0.05622525609272444,0.0
1988-04-05,-0.017553951113952193,-0.04565564410741674,-0.04679616558086985,0.0
1988-04-06,-0.0132802177086776,-0.019956176133913983,-0.030530754712550845,0.0
1988-04-07,-0.007961672633409522,-0.01754810190262801,-0.024336295294986154,0.0
1988-04-08,-0.00818026554334006,-0.005503415356571728,-0.021303145508570598,0.0
1988-04-11,-0.0009451854452457997,-0.0027675855488626944,-0.017970495668441555,0.0
1988-04-12,0.0,0.0,-0.013835163979523113,0.0
1988-04-13,-0.009644261285385092,0.0,-0.02154233144119455,0.0
1988-04-14,-0.02046740447464046,-0.04336666803169653,-0.050759836429098315,0.0
1988-04-15,-0.02099581217202129,-0.04333049581293458,-0.05413810644158967,0.0
1988-04-18,-0.0208623556928903,-0.045369692209559664,-0.05666843739744387,0.0
1988-04-19,-0.024078520182070906,-0.05010263667869819,-0.059639007532401034,0.0
1988-04-20,-0.025662111600025628,-0.05672844216979955,-0.0633725582381569,0.0
1988-04-21,-0.02338002028951669,-0.05567248344169595,-0.060855729948796955,0.0
1988-04-22,-0.023182708151869402,-0.04202159420569973,-0.052654740593590876,0.0
1988-04-25,-0.021518906997842424,-0.03332227187842296,-0.04798471357216472,0.0
1988-04-26,-0.021029726357804868,-0.027644806982151215,-0.045105910918148195,0.0
1988-04-27,-0.02341024915851797,-0.02800969473224313,-0.04882274671503484,0.0
1988-04-28,-0.02554787572753303,-0.03241449381284678,-0.051419099028718884,0.0
1988-04-29,-0.031063234043979482,-0.03711017209307388,-0.05756209999533635,0.0
1988-05-02,-0.03251549563660194,-0.03609180011179358,-0.05402524235864514,0.0
1988-05-03,-0.031161556385427835,-0.03045153101140885,-0.051069987581966236,0.0
1988-05-04,-0.034413960117683606,-0.04016868528971218,-0.0565903496919663,0.0
1988-05-05,-0.036766102530251366,-0.04526369118915463,-0.06322963984490848,0.0
1988-05-06,-0.03661261144519312,-0.04984882074099395,-0.06602119653993166,0.0
1988-05-09,-0.03720890915203967,-0.052468696191111164,-0.0688807778316376,0.0
1988-05-10,-0.03609449598959669,-0.04839353406399527,-0.0673226983714077,0.0
1988-05-11,-0.034608782708474006,-0.06429339758173436,-0.07420698396453074,0.0
1988-05-12,-0.030000822433083996,-0.062291916125126856,-0.06959893909309656,0.0
1988-05-13,-0.028490900564680954,-0.0514499557353818,-0.06414237910847864,0.0
1988-05-16,-0.02877414191111749,-0.043883065332091076,-0.06496832089320737,0.0
1988-05-17,-0.03516037075880829,-0.05570633805038305,-0.0765100791602551,0.0
1988-05-18,-0.03816544583279913,-0.07040231881778547,-0.08456994197821044,0.0
1988-05-19,-0.03743715602912989,-0.06578202457502091,-0.0843153153434163,0.0
1988-05-20,-0.03859253895689807,-0.06414460368144181,-0.0840602844475129,0.0
1988-05-23,-0.040525007042414796,-0.0721097468022287,-0.08765711035795587,0.0
1988-05-24,-0.036248499232074405,-0.06214337754374666,-0.08023354910022207,0.0
1988-05-25,-0.039041535454041765,-0.06105181246442426,-0.07990439550458095,0.0
1988-05-26,-0.038341853492065314,-0.05785113354781157,-0.0786659063841545,0.0
1988-05-27,-0.03779189609852118,-0.061996768996831375,-0.07931612156371726,0.0
1988-05-30,-0.037806220537619395,-0.061996768996831375,-0.07931612156371726,0.0
1988-05-31,-0.01572612384231986,-0.02959473098927956,-0.0493337966646179,0.0
1988-06-01,-0.013784999509570905,-0.01279537760946381,-0.04173935796721484,0.0
1988-06-02,-0.00928999579852341,-0.01781505750874346,-0.03905634883625142,0.0
1988-06-03,-0.0032132268665969743,-0.013634833392789925,-0.03588281241032043,0.0
1988-06-06,-0.0056646179093888804,-0.011236528541227364,-0.03781876185774358,0.0
1988-06-07,-7.605956504785905e-05,-0.018000834887441974,-0.03553309189731191,0.0
1988-06-08,-0.0028004785756242656,0.0,-0.0241519751194762,0.0
1988-06-09,-0.004616019271882044,-0.004522038126066552,-0.0253725424139567,0.0
1988-06-10,-0.002738403946323742,-0.0006191116260499951,-0.02169264959837014,0.0
1988-06-13,0.0,0.0,-0.007338079336619119,0.0
1988-06-14,0.0,0.0,-0.002538937985250178,0.0
1988-06-15,-0.008641833743131766,0.0,-0.011959712163060354,0.0
1988-06-16,-0.018913465640972627,-0.017020370842228072,-0.030692836166147153,0.0
1988-06-17,-0.017945096911755498,-0.0136976902225463,-0.027087205924078206,0.0
1988-06-20,-0.018147516928948892,-0.01995580196017588,-0.03142614280546552,0.0
1988-06-21,-0.005786078758065694,-0.010055650857983656,-0.015414743980100343,0.0
1988-06-22,-0.0011246576456191981,0.0,-0.004277476956769943,0.0
1988-06-23,-0.001398510256839014,-0.003063338734292431,-0.004120208097962319,0.0
1988-06-24,-0.011452998421991767,-0.0061975758717437435,-0.011711290681111097,0.0
1988-06-27,-0.007514827385398326,-0.023209569167359945,-0.017299741752938025,0.0
1988-06-28,-0.008384411550693582,-0.011326648289813224,-0.011677823404964816,0.0
1988-06-29,-0.012937058932449341,-0.016168180483813632,-0.011083443804540627,0.0
1988-06-30,-0.007179709328461126,-0.007061719114737963,-0.003518165994836231,0.0
1988-07-01,-0.01060763491177319,-0.013077223782463232,-0.00966087405624505,0.0
