,GLD,COM,SP500TR,ITB
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
