,customweights,benchmark
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
2020-01-01,100000.0,100000.0
