,GLD,COM,SP500TR,LTB,ITB
1988-01-05,0.0,0.0,0.0,0.0,0.0
1988-01-06,0.0,0.0,0.0,0.0,0.0
1988-01-07,0.0,-0.005263366786122603,0.0,-0.07906689694389202,-0.011380211900776427
1988-01-08,0.0,-0.004269700337560467,-0.13529371116677824,-0.06864326435250145,-0.004439927440407332
1988-01-11,-7.692307692297451e-05,-0.03254080883740684,-0.10610475142374998,-0.06809083156657558,-0.0020646186108562725
1988-01-12,-0.014618526201682247,-0.04844350130829678,-0.12111562127627451,-0.04159020189241436,0.0
1988-01-13,-0.008540818487258184,-0.0500863476116441,-0.11817728581028963,-0.04102510325603259,0.0
1988-01-14,-0.010674480680058718,-0.016355281679931943,-0.11774336615695757,0.0,0.0
1988-01-15,-0.015271804376577047,-0.01820375862243484,-0.0733560443403215,-0.027619026608334485,-0.0022655353659885025
1988-01-18,-0.0354398623331077,0.0,-0.07467610678852465,,
1988-01-19,-0.028615648521996495,0.0,-0.09346507763741185,,
1988-01-20,-0.02624714838350517,-0.008936673231968562,-0.14220888800838594,0.0,0.0
1988-01-21,-0.02836047164854616,-0.02030205240068228,-0.1386722692799437,0.0,0.0
1988-01-22,-0.032507465993775964,-0.021780364390914797,-0.11488553745205199,0.0,0.0
1988-01-25,-0.032175549758883815,-0.019928085679607688,-0.07363038201516714,-0.04796296469577821,-0.00778026130696885
1988-01-26,-0.058665529712758846,-0.01965269847742912,-0.09248509071368416,0.0,0.0
1988-01-27,-0.07797338261677522,-0.03867201901648032,-0.09393461269439851,0.0,0.0
1988-01-28,-0.07249231950748403,-0.043261690449282186,-0.06563532818143936,0.0,0.0
1988-01-29,-0.1059730338170477,-0.055116923706298504,-0.03771344211575833,0.0,-0.0013564730845986306
1988-02-01,-0.12673325892462628,-0.057944368175233296,-0.052438393741513045,0.0,0.0
1988-02-02,-0.11445471395448381,-0.050109067740523594,-0.04776439653710729,-0.03750721774898613,-0.005057760084920093
1988-02-03,-0.15531346894230735,-0.02618888902971217,-0.07281920041555356,-0.07391879807781099,-0.004562224598068765
1988-02-04,-0.16334360744817622,-0.015429111371209725,-0.07157005865863886,-0.020712797950921624,0.0
1988-02-05,-0.1694474433136215,-0.0060167012588070445,-0.07934874772125833,-0.04696733710517931,-0.005066825354444693
1988-02-08,-0.16800704841885328,0.0,-0.09272202756947245,-0.0411879225893137,0.0
1988-02-09,-0.1812444264359706,-0.005529389878437763,-0.07342012435052125,-0.01381645948346788,0.0
1988-02-10,-0.17197366876521802,-0.02577592644730231,-0.03690763530888708,-0.040214373738239106,-0.0041473040569069974
1988-02-11,-0.17391454816126617,-0.030190394927925968,-0.042212757405197365,-0.09176328929583188,-0.015619038503388527
1988-02-12,-0.16272863175473273,-0.04619758203581881,-0.028798593549046014,-0.10650416592402812,-0.016964120740028732
1988-02-15,-0.15562073968072954,-0.04627095145258531,,,
1988-02-16,-0.15758104380653848,-0.0415361745414804,,,
1988-02-17,-0.15537415369744367,-0.03988852353118166,-0.01645733752712386,-0.09560760329804974,-0.015067804340850421
1988-02-18,-0.14899449323454828,-0.06976666417959154,-0.026423521071270994,-0.09012067039664362,-0.013662462653522112
1988-02-19,-0.16580229469925878,-0.050170478503979044,0.0,-0.07951347163479427,-0.011339550243304353
1988-02-22,-0.15607231593783466,-0.058466432931381096,0.0,-0.03752011115716025,-0.005331728654777712
1988-02-23,-0.16788213051413792,-0.06348487316243356,-0.004569779368697735,-0.04239807776425475,-0.004841302874569853
1988-02-24,-0.19277424961088896,-0.0667886213618436,-0.008531397471450708,-0.06288883312629046,-0.003426568970874788
1988-02-25,-0.2065432520060334,-0.09198826713422181,-0.02993106199463924,-0.046689163615083795,-0.0020106115457066975
1988-02-26,-0.21248038432536065,-0.09842131305623125,-0.023442810663682256,-0.030271430662124454,0.0
1988-02-29,-0.22827306193225305,-0.09048182340610389,0.0,-0.03510618227446305,0.0
1988-03-01,-0.21710598955972005,-0.10446058572688155,-0.00037385790226718285,-0.018427818080345548,0.0
1988-03-02,-0.21862513416135454,-0.10536083190947665,0.0,-0.012475439458588644,0.0
1988-03-03,-0.2179565154009473,-0.12935981473630387,-0.0008183948100093374,-0.09603724810292591,-0.013354916467575362
1988-03-04,-0.20817506267169072,-0.12205056408227632,-0.004971189700057055,-0.10605940526360214,-0.01562399952062632
1988-03-07,-0.19319900033669613,-0.11882619975694186,-0.004160339226305765,-0.1251750970301797,-0.016958414876583006
1988-03-08,-0.19141017642862457,-0.11477172468366681,0.0,-0.12468835740953399,-0.013727886881223728
1988-03-09,-0.1911018028577509,-0.11632718115235419,-0.002361857141710999,-0.13382941041023366,-0.017799271099434133
1988-03-10,-0.1692969038572103,-0.09724230714557403,-0.04108819651046114,-0.10908969671102131,-0.012741883272040067
1988-03-11,-0.17161406746646757,-0.08079178487079275,-0.03308026410106213,-0.10859590175790623,-0.012250174897529553
