,uniform,onlystocks,sixtyforty,riskparity,benchmark
1988-01-05,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-06,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-07,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-08,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-11,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-12,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-13,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-14,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-15,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-18,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-19,100000.0,100000.0,100000.0,100000.0,100000.0
1988-01-20,99869.94021182015,94624.15338465515,97825.32595352219,100000.0,97319.99519999999
1988-01-21,100123.10435750728,95014.19921152762,98479.87704903405,100000.0,97523.9992
1988-01-22,101182.64850528279,97637.58504890633,100701.69090663957,100000.0,98871.9972
1988-01-25,100921.61436433143,102187.52453933586,102225.354512561,100000.0,101175.9952
1988-01-26,102232.17898502773,100108.08058186072,103234.36809786945,100000.0,100151.996
1988-01-27,102388.25550217101,99948.21602111783,104056.11717516133,100000.0,100075.9952
1988-01-28,104109.85418610064,103069.28127448718,106999.6488431504,100000.0,101639.99639999999
1988-01-29,103815.42708105703,106148.72409107954,108829.71046996089,100000.0,103159.9976
1988-02-01,104582.5957084514,104524.74187147102,109416.95713757063,100000.0,102375.9952
1988-02-02,104001.3854835979,105040.22664502903,108654.11294409975,100000.0,102631.9948
1988-02-03,102122.64757486108,102276.98795681438,106070.46202266206,100000.0,101287.9944
1988-02-04,103791.0490686067,102414.7530275975,107765.55942945326,100000.0,101359.9976
1988-02-05,102882.278365782,101556.85868263664,106469.1632696551,100000.0,100939.99639999999
1988-02-08,103219.1430989116,100081.94934212902,105841.41530720518,100000.0,100211.9996
1988-02-09,104104.96272412673,102210.71339031476,107948.86385760692,100000.0,101279.9988
1988-02-10,103958.108692933,106237.59473460067,109593.566789945,100000.0,103276.00120000001
1988-02-11,102153.70595375479,105652.5045980605,107673.4779042538,100000.0,102995.9964
1988-02-12,101976.82792177274,107131.92294502491,108151.47274458513,100000.0,103719.9952
1988-02-15,102119.63134180597,107131.92294502491,108151.47274458513,100000.0,103719.9952
1988-02-16,102411.86975685056,109002.19855544645,109148.04417484408,100000.0,104628.0032
1988-02-17,102829.94074120984,108493.0126692304,109287.50505424105,100000.0,104388.0008
1988-02-18,102374.04961070798,107393.86441500175,108800.0154435585,100000.0,103864.00159999999
1988-02-19,103318.98042179759,110475.53523485638,110968.22692608883,100000.0,105355.9936
1988-02-22,105259.23102887454,113928.21330880545,114245.10607888656,100000.0,107003.99199999998
1988-02-23,104710.76320733584,113407.67916822857,113817.83304562506,100000.0,106764.00159999999
1988-02-24,103558.57232684032,112956.41942283788,113048.97845654104,100000.0,106555.9936
1988-02-25,102789.72844352676,110518.82778383819,112036.09844266869,100000.0,105411.9996
1988-02-26,103191.70629371174,111257.8911078885,112970.74241263785,100000.0,105767.99319999998
1988-02-29,103873.50284260657,115876.00101885933,115681.3803933197,100000.0,107964.00159999999
1988-03-01,104318.8145159724,115832.68744064185,116134.82550555191,100000.0,107947.99799999999
1988-03-02,104443.9938576471,116090.26940800936,116441.63743848234,100000.0,108071.9972
1988-03-03,101981.08503092328,115995.2783280335,114103.39829632471,100000.0,108031.9948
1988-03-04,102029.08390485593,115513.263453673,113524.70855124007,100000.0,107811.9996
1988-03-07,102069.58300445307,115607.37886259121,113098.65973017144,100000.0,107859.9976
1988-03-08,102587.1815180106,117418.88780430511,114273.25525325414,100000.0,108707.9956
1988-03-09,102244.62292994643,117141.60905524343,113797.51815592262,100000.0,108583.99680000001
1988-03-10,102976.29432598749,112595.190583834,111763.55593427093,100000.0,106483.99680000001
1988-03-11,103399.50653621141,113535.31072989843,112351.868221971,100000.0,106931.9948
1988-03-14,103245.70986139469,114768.47413868585,113000.13251804345,100000.0,107515.99119999999
1988-03-15,102426.54715906242,114562.97279752618,111996.45585405992,100000.0,107423.99919999999
1988-03-16,104263.25243115587,116895.15937568061,114206.73906603397,100000.0,108519.9952
1988-03-17,103536.58763738126,118957.26600869077,114024.06382388869,100000.0,109479.9928
1988-03-18,102811.56961136797,118869.77797659219,113243.21568243267,100000.0,109443.99440000001
1988-03-21,103197.54741117774,116781.06608465628,112113.79486219998,100000.0,108488.0008
1988-03-22,103126.10422320971,116866.93241217418,111790.86283950834,100000.0,108531.9948
1988-03-23,103544.19062461377,116926.9712960142,111621.87229552158,100000.0,108564.00159999999
1988-03-24,103833.96573141946,112086.04868537618,109379.14875123161,100000.0,106323.99919999999
1988-03-25,101974.04212307573,108141.73649483161,105728.61931065802,100000.0,104459.9976
1988-03-28,102361.6019221717,107768.47884454762,105724.39274439766,100000.0,104283.99680000001
1988-03-29,102581.96075241992,109457.45902544391,106560.71282690461,100000.0,105103.992
1988-03-30,102361.56003003428,107772.01901810063,105648.90856908707,100000.0,104299.99999999999
