,uniform,onlystocks,sixtyforty,riskparity,benchmark
1988-01-05,0.0,0.0,0.0,0.0,0.0
1988-01-06,0.0,0.0,0.0,0.0,0.0
1988-01-07,0.0,0.0,0.0,0.0,0.0
1988-01-08,0.0,0.0,0.0,0.0,0.0
1988-01-11,0.0,0.0,0.0,0.0,0.0
1988-01-12,0.0,0.0,0.0,0.0,0.0
1988-01-13,0.0,0.0,0.0,0.0,0.0
1988-01-14,0.0,0.0,0.0,0.0,0.0
1988-01-15,0.0,0.0,0.0,0.0,0.0
1988-01-18,0.0,0.0,0.0,0.0,0.0
1988-01-19,0.0,0.0,0.0,0.0,0.0
1988-01-20,-0.001300597881798482,-0.05375846615344848,-0.02174674046477809,0.0,-0.026800048000000132
1988-01-21,0.0,-0.04985800788472372,-0.015201229509659409,0.0,-0.02476000799999989
1988-01-22,0.0,-0.02362414951093672,0.0,0.0,-0.011280028000000053
1988-01-25,-0.0025798310758562426,0.0,0.0,0.0,0.0
1988-01-26,0.0,-0.020349293779738153,0.0,0.0,-0.01012096988001765
1988-01-27,0.0,-0.021913717240073072,0.0,0.0,-0.01087214410716264
1988-01-28,0.0,0.0,0.0,0.0,0.0
1988-01-29,-0.002828042622337268,0.0,0.0,0.0,0.0
1988-02-01,0.0,-0.01529912143093759,0.0,0.0,-0.007599868342765381
1988-02-02,-0.005557427800642389,-0.010442871127677167,-0.006971901005360159,0.0,-0.00511829015397347
1988-02-03,-0.023521582314212197,-0.036474636576347974,-0.03058479418963367,0.0,-0.018146599879331538
1988-02-04,-0.007568626830140146,-0.03517678705471916,-0.015092703647763273,0.0,-0.017448623903418947
1988-02-05,-0.01625812910027047,-0.04325879041657543,-0.026940923464077504,0.0,-0.021519981113299447
1988-02-08,-0.013037089013746894,-0.057153534353790225,-0.03267813256650787,0.0,-0.028576949094461845
1988-02-09,-0.004567040826335744,-0.037098992328780334,-0.013417420099865018,0.0,-0.018224106666710482
1988-02-10,-0.005971232701656115,0.0,0.0,0.0,0.0
1988-02-11,-0.023224607672463038,-0.005507373712684505,-0.017520087555607966,0.0,-0.0027112281338019795
1988-02-12,-0.024915883651834836,0.0,-0.0131585647552096,0.0,0.0
1988-02-15,-0.023550422993052433,0.0,-0.0131585647552096,0.0,0.0
1988-02-16,-0.02075609174639581,0.0,-0.004065225981328302,0.0,0.0
1988-02-17,-0.016758572068028332,-0.004671335926834885,-0.0027926980083655684,0.0,-0.002293863905069804
1988-02-18,-0.02111772119235078,-0.01475506147361405,-0.00724085701040722,0.0,-0.007302075702807831
1988-02-19,-0.012082462460354604,0.0,0.0,0.0,0.0
1988-02-22,0.0,0.0,0.0,0.0,0.0
1988-02-23,-0.0052106386886698886,-0.004568966066078484,-0.003739967933212518,0.0,-0.002242817258630847
1988-02-24,-0.01615686040464892,-0.008529879103199023,-0.010469836856903059,0.0,-0.004186744733785108
1988-02-25,-0.02346114978429148,-0.02992573503918672,-0.01933568720827783,0.0,-0.014877878574847792
1988-02-26,-0.019642217741412504,-0.02343863844927485,-0.011154645568526633,0.0,-0.011550959706250974
1988-02-29,-0.013164908889442994,0.0,0.0,0.0,0.0
1988-03-01,-0.008934290168281511,-0.00037379248366042894,0.0,0.0,-0.0001482308895819351
1988-03-02,-0.0077450420572025,0.0,0.0,0.0,0.0
1988-03-03,-0.031143548797653686,-0.0008182518695172281,-0.020080782043218504,0.0,-0.00037014583829675374
1988-03-04,-0.030687542483875063,-0.004970321434162761,-0.02505056568603592,0.0,-0.00240578139329517
1988-03-07,-0.030302786684300198,-0.004159612583213068,-0.028709470098932988,0.0,-0.001961651542421894
1988-03-08,-0.02538541736193134,0.0,-0.018622051638304882,0.0,0.0
1988-03-09,-0.028639845355711735,-0.0023614492884977967,-0.02270767863391343,0.0,-0.0011406594272628245
1988-03-10,-0.021688707779565664,-0.04108110126635223,-0.040175332528133656,0.0,-0.020458465706454265
1988-03-11,-0.01766804179058623,-0.03307455169290319,-0.035122910553984754,0.0,-0.01633735209813758
1988-03-14,-0.019129164708865276,-0.022572294076201316,-0.029555621134725873,0.0,-0.010965195277687578
1988-03-15,-0.026911500702822555,-0.024322449822031245,-0.03817518958174104,0.0,-0.011811425580180668
1988-03-16,-0.009462149665956154,-0.004460342270464768,-0.01919329220725785,0.0,-0.0017294072893382362
1988-03-17,-0.016365722746166766,0.0,-0.020762105959484578,0.0,0.0
1988-03-18,-0.023253650949009108,-0.0007354576566360738,-0.027468024552123382,0.0,-0.0003288125901301786
1988-03-21,-0.01958672505531822,-0.018293963849803863,-0.03716748296818495,0.0,-0.009060943233821783
1988-03-22,-0.02026546066139956,-0.017572138858368502,-0.039940821009418315,0.0,-0.00865909812153376
1988-03-23,-0.016293491672861427,-0.01706742917686288,-0.041392110665801285,0.0,-0.008366745161130673
1988-03-24,-0.013540525458181407,-0.057762064931894064,-0.06065260539626072,0.0,-0.028827126484794685
