Category,Metrics,uniform,onlystocks,sixtyforty,riskparity_nested
P&L,Starting cash,100000.0,100000.0,100000.0,100000.0
P&L,End value,278578.01278591173,336343.38913726935,326834.77882766817,241659.16721439405
P&L,Total return,1.785780127859126,2.3634338913726802,2.268347788276668,1.4165916721439522
P&L,Annual return,0.07446102184558437,0.08874795726871071,0.08656143454761762,0.06380605166357005
P&L,Annual return (asset mode),0.07177368732114808,0.08552479631989707,0.08342068818720838,0.061514181338298
Risk-adjusted return based on Drawdown,Max money drawdown,34.92155338668823,115.8389305114751,55.983444732666385,26.871091573715262
Risk-adjusted return based on Drawdown,Max percentage drawdown,0.19304959525619036,0.5516654405557909,0.3134611502316613,0.13966546722134113
Distribution moments,Returns volatility,0.08061095275801312,0.20494919463139238,0.10806759049439883,0.06380578733577569
Distribution moments,Returns skewness,-0.01495123546108118,-0.003448801909218408,-0.002021445945223928,-0.022032301007763534
Distribution moments,Returns kurtosis,0.026374324806709662,0.06010631639244503,0.05396788452936222,0.028335705238217556
Risk-adjusted return based on Volatility,Treynor ratio,-41.450178826435824,21.585848718875702,338.1309608798514,-48.60518627616674
Risk-adjusted return based on Volatility,Sharpe ratio,0.8080487418266089,0.4690562656635862,0.7303777395267486,0.8455942492114646
Risk-adjusted return based on Volatility,Information ratio,0.27054619266256347,0.2613794159483156,-0.05522544762983524,-0.11728786202552853
Risk-adjusted return based on Value at Risk,VaR,0.2222863619723167,0.6293828677353174,0.30968245260186994,0.17518369333852765
Risk-adjusted return based on Value at Risk,Expected Shortfall,0.3202130488386996,0.9079232332497736,0.47259932290939305,0.24887185895454111
Risk-adjusted return based on Value at Risk,Excess var,0.29299502123036386,0.15272062293924615,0.2548401458488281,0.30794266267673387
Risk-adjusted return based on Value at Risk,Conditional sharpe ratio,0.20339207781037832,0.10586769906061416,0.16699033951644868,0.21676429472913802
Risk-adjusted return based on Lower Partial Moments,Omega ratio,1.1522988829059557,1.0985690059833937,1.1510927391693724,1.1609808914623108
Risk-adjusted return based on Lower Partial Moments,Sortino ratio,1.1528408643335077,0.6562848287095865,1.0386990399325922,1.203857171728581
Risk-adjusted return based on Lower Partial Moments,Kappa three ratio,0.741952831780628,0.39656912749127304,0.6325470119558648,0.7650454003837572
Risk-adjusted return based on Lower Partial Moments,Gain loss ratio,1.1774362381219836,1.1092801854273928,1.171617943779555,1.193374527915906
Risk-adjusted return based on Lower Partial Moments,Upside potential ratio,0.5466427564322331,0.45575332888123765,0.49500576827025095,0.5454097426128002
Risk-adjusted return based on Drawdown,Calmar ratio,0.9222906606061116,0.4325137492866633,0.6780666088229538,0.8841158900896605
