,TLT,IEF,SPY,XLU,DBC,GLD
2006-02-07,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-08,-0.004634949856101245,-0.001208179093380557,0.0,-0.0006319693038796537,-0.008510589775301614,0.0
2006-02-09,0.0,0.0,-0.003317181484535636,0.0,0.0,0.0
2006-02-10,-0.011013881551792393,-0.005792230380444963,0.0,0.0,-0.03640977325322203,-0.04948378006756182
2006-02-13,-0.010794569612938343,-0.005792230380444963,-0.003632537444217099,-0.0025169030717652197,-0.06632733408806513,-0.0866092426796623
2006-02-14,-0.01780356656581661,-0.008681554134504998,0.0,-0.004402456774266317,-0.08186812846612834,-0.06042490592344041
2006-02-15,-0.013000788826206144,-0.005075323643329743,0.0,-0.00126290823683739,-0.10863345822653847,-0.08559990873641088
2006-02-16,-0.01256514808251874,-0.006039271433297411,0.0,0.0,-0.08705841052014518,-0.05974626125029059
2006-02-17,0.0,0.0,-0.0054198058901078205,0.0,-0.061182174599650585,-0.044569799389166054
2006-02-21,-0.0032982456187454767,-0.002413119736022984,-0.010361492534360917,0.0,-0.030024840926843432,-0.039006892225514456
2006-02-22,0.0,0.0,0.0,0.0,-0.06169075748396302,-0.03133564183021109
2006-02-23,-0.005031451244860707,-0.004813773159987322,-0.002940044968478883,-0.00246421723327106,-0.06824683234377749,-0.055841091338035165
2006-02-24,-0.008086644998625991,-0.007214852659989113,0.0,0.0,-0.017616791068254978,-0.021281833680326212
2006-02-27,-0.011355023892490879,-0.011050271414691282,0.0,0.0,-0.05617441310594906,-0.036057528945493855
2006-02-28,-0.0015662007503238762,-0.003153368384240629,-0.019002256550698426,-0.01341845390205798,-0.030709766755739887,-0.0063817009330287
2006-03-01,-0.013631100763297987,-0.007083546690066389,-0.001559511385917034,-0.018871306174757074,-0.034871833671881736,-0.005318482234213717
2006-03-02,-0.027367159880753555,-0.015021624209401674,-0.0017145908946628596,-0.020080085256343083,0.0,0.0
2006-03-03,-0.03862438167226423,-0.01981453905575703,-0.010974560265088584,-0.029739655187204672,0.0,-0.016214412603533623
2006-03-06,-0.05541421905702881,-0.026028634532625716,-0.02003814216630473,-0.06098048895910879,-0.03182568609807601,-0.05292280416723194
2006-03-07,-0.05413409027571403,-0.02507646973985911,-0.023096378730030453,-0.06984432478440172,-0.06560864895569052,-0.06252557298602546
2006-03-08,-0.05477491278642199,-0.024122239812855772,-0.01897370977113355,-0.07160872346094582,-0.0955548479323447,-0.09596413519079916
2006-03-09,-0.054134307427343376,-0.02221391358747482,-0.03213257350417986,-0.0768963224282374,-0.0772426371586582,-0.08691873619830726
2006-03-10,-0.06117932718172048,-0.02603376002483626,-0.013745004796577476,-0.06517883554410031,-0.08528438577200037,-0.10072268779302751
2006-03-13,-0.06266799804555445,-0.027703537781147647,-0.010063395064986769,-0.06282078787752943,-0.061265395141606116,-0.08468506254613983
2006-03-14,-0.050130289775124126,-0.016512443375640062,0.0,-0.04274878286672679,-0.033691457698719396,-0.06580919742525881
2006-03-15,-0.06039857744175248,-0.02010377404146657,0.0,-0.030220025416801244,-0.05508255093789294,-0.05729643251948169
2006-03-16,-0.0433769063391507,-0.007676137226347635,0.0,-0.020011942324370757,-0.03881200410006247,-0.04977118071883524
2006-03-17,-0.04917273423223245,-0.011764754611746753,0.0,-0.024755369779462466,-0.04783724349818386,-0.05732634875688125
2006-03-20,-0.04617548834939411,-0.007924848639086157,-0.0032153960488841005,-0.053269597774373234,-0.08703418269168806,-0.05561615411709231
2006-03-21,-0.056037402637868716,-0.01610035335151161,-0.015751092968969593,-0.06761433613743884,-0.08063876276828852,-0.06725606928185268
2006-03-22,-0.051986696606878935,-0.013705757655959938,-0.003750598430440455,-0.058716813475129914,-0.08384771775552191,-0.06997798136905353
2006-03-23,-0.05796921925116816,-0.018741070289712836,-0.007876956481835506,-0.06110065097019035,-0.05261497924690717,-0.07167662580306478
2006-03-24,-0.044121620292997266,-0.010131521310169811,-0.006351899293589369,-0.06467168190677819,-0.056686653672874066,-0.03739490599679396
2006-03-27,-0.05120455217125963,-0.014455434165229541,-0.009251780143100241,-0.07714676314346758,-0.04531150355230895,-0.013895650263782033
2006-03-28,-0.0689477411653785,-0.024042069595635818,-0.021444076658857503,-0.08481801092719732,-0.020790363998608563,-0.025437146375027364
2006-03-29,-0.07784201638858312,-0.025950452790760137,-0.009175854939582284,-0.07365306840255348,-0.007546553058694894,0.0
2006-03-30,-0.09069763492475658,-0.03166893337362009,-0.012681065227484023,-0.0902059528957232,0.0,0.0
2006-03-31,-0.09132644444665405,-0.030244219654476434,-0.012225127486563792,-0.10368035385474705,-0.014101968534361853,-0.017064846860731953
2006-04-03,-0.09073807009183321,-0.03239037362568742,-0.013746153086177104,-0.10135442980506959,-0.0050420929388165225,-0.004545441837492503
2006-04-04,-0.09262853049597963,-0.03215050866013558,-0.001125876082228916,-0.08214181645705132,-0.015798315987135658,-0.009312434403114689
2006-04-05,-0.09010871676332555,-0.02762438919687482,0.0,-0.06448984844404071,-0.0034548063881771895,0.0
2006-04-06,-0.10397984085986456,-0.03311675983183349,-0.0021372167508306728,-0.08765495154210001,0.0,0.0
2006-04-07,-0.12149468709625477,-0.04192929154942027,-0.022419056120461134,-0.11346259170087214,-0.008979591697227285,-0.02327930637373643
2006-04-10,-0.11819286653333139,-0.03955786571026243,-0.019399806855384227,-0.11404035453424888,0.0,0.0
2006-04-11,-0.11198615660606759,-0.03599725630383044,-0.03602834297711355,-0.13426793323407238,0.0,-0.019798663345405032
2006-04-12,-0.12278122672655678,-0.040516404328982625,-0.03243176082814414,-0.1302693904780352,-0.004009851963685973,-0.005845553110734758
2006-04-13,-0.13515887517163228,-0.05071766540883382,-0.03498400029408333,-0.13828508585323018,0.0,-0.003503621172890492
2006-04-17,-0.12880936700980916,-0.04340155114716904,-0.03573353222983067,-0.13999435037208963,0.0,0.0
2006-04-18,-0.12572548585246823,-0.03724370678177058,-0.005155000723380154,-0.10697202436680964,0.0,0.0
2006-04-19,-0.13643503748661834,-0.04270898618184382,-0.0013495460491679268,-0.10117160493763866,0.0,0.0
2006-04-20,-0.13786784020821052,-0.044367878916473424,0.0,-0.0883685116156937,-0.023166213536609748,-0.08752944048713229
2006-04-21,-0.12784642454718365,-0.040343425056732496,0.0,-0.08016360945052814,0.0,-0.020471185383549972
2006-04-24,-0.12085244539965578,-0.03797012912159903,-0.003659599368039168,-0.06309157278769117,-0.039785477999401686,-0.06851766946601956
2006-04-25,-0.1417114063677768,-0.050084596121257485,-0.011879187651728462,-0.0898266615847092,-0.03378910828655002,-0.03437095579014282
2006-04-26,-0.1445672246831392,-0.05102964338692384,-0.011425495173617017,-0.10797716471344376,-0.041308373732099724,-0.007607657383740585
2006-04-27,-0.14232652469469165,-0.04583881043509297,-0.0018720293117873155,-0.08421312671342396,-0.07126731800589525,-0.029123859200630653
2006-04-28,-0.14110297332611055,-0.0425265433954255,0.0,-0.07657865050881763,-0.04030933819216265,0.0
2006-05-01,-0.15401174694171993,-0.052896567683566986,-0.016278443145929633,-0.09367967540755984,-0.019332709956170424,0.0
2006-05-02,-0.14954018667352575,-0.049820118310627604,-0.0014915298528774823,-0.06447184512277493,0.0,0.0
2006-05-03,-0.15320965499406813,-0.052428450492797096,-0.00893912876415126,-0.07040570206579588,-0.03587799178363671,-0.002704852386412271
2006-05-04,-0.1560577201808082,-0.05361149460650205,-0.0018220298127201717,-0.06803986309010346,-0.0591097623431488,0.0
2006-05-05,-0.14590114364680207,-0.04911697515805202,0.0,-0.025987033639703894,-0.03838210346366533,0.0
2006-05-08,-0.1448796700286934,-0.04817081248048771,-0.002414921801502712,-0.04112083096804253,-0.04362047468888586,-0.012648928333175102
2006-05-09,-0.14590175410587047,-0.04888141300733939,0.0,-0.057337794273427,-0.013768455159094861,0.0
2006-05-10,-0.14283696538763058,-0.04793368500352113,-0.0010554809552042466,-0.04245054413026261,0.0,0.0
2006-05-11,-0.15122937881274368,-0.051253043460715464,-0.02517205329869132,-0.06045590154851521,0.0,0.0
2006-05-12,-0.16528371680328546,-0.05835725288221505,-0.05063119955683526,-0.08126105794045713,-0.006681740161871508,0.0
2006-05-15,-0.15861835054702234,-0.05434726575809512,-0.04681180375613858,-0.06950490644288643,-0.07401263104633626,-0.10433067888628433
2006-05-16,-0.14604516653898225,-0.04725602949918273,-0.049609309125630885,-0.0777864144177759,-0.0683008902753478,-0.07244222335799144
2006-05-17,-0.156669241415184,-0.05271325048563924,-0.08576941432023122,-0.10605396912739884,-0.07116561643190389,-0.08487993576886832
2006-05-18,-0.1337278462273208,-0.03922849470019141,-0.09499460039205665,-0.10663390887380064,-0.07045068731365667,-0.1034106786701594
2006-05-19,-0.12920013800174646,-0.04042154311099777,-0.08223094150797206,-0.09156578106155633,-0.11122346387750637,-0.15338356584536694
2006-05-22,-0.12548786154617086,-0.037800212862433624,-0.0962394025529949,-0.07754027644534245,-0.09723778255445159,-0.16061295167876966
2006-05-23,-0.12652288587973815,-0.03851530171292439,-0.10999686898070127,-0.10345023591196889,-0.06904850353797642,-0.1328477724209054
2006-05-24,-0.12569488277353558,-0.035654950590246814,-0.09577597041037922,-0.09706529180439816,-0.1162760097411234,-0.1934622040747438
2006-05-25,-0.13251594938245492,-0.0387595040227513,-0.07341544142616563,-0.08017160919787691,-0.08561080192059711,-0.17734657133066123
2006-05-26,-0.13375187410069334,-0.03709140237713027,-0.06398556694458235,-0.0601811770272479,-0.06788995765502759,-0.16717461948341517
2006-05-30,-0.13457581614366299,-0.038760950149306805,-0.09723272013320372,-0.07919812985165409,-0.07790877200100443,-0.1669187044877971
2006-05-31,-0.14485678400658897,-0.04471610244868163,-0.07704334385229161,-0.048612186716411654,-0.10566754371294029,-0.18943780278459754
2006-06-01,-0.1372224575915293,-0.04152287640905383,-0.05938205783286432,-0.029482674778220974,-0.12739512306097656,-0.23158758969004334
2006-06-02,-0.11496039174880912,-0.026716958204676455,-0.05543693007322903,-0.005936399747279775,-0.09278158736583708,-0.20849594664075544
2006-06-05,-0.1172555111641509,-0.030565703349065054,-0.08296721380783156,-0.0297648861448504,-0.09772154971812053,-0.21373106873719117
2006-06-06,-0.10891648044308477,-0.028885254736245036,-0.08744025137287192,-0.02614373472784015,-0.11320541300511355,-0.2321175538199567
2006-06-07,-0.1084969326954307,-0.031529500745749894,-0.10111328929218877,-0.03340011166355894,-0.12506649886788745,-0.23874676611431778
2006-06-08,-0.1049362996114166,-0.02888885964970711,-0.10268418837582416,-0.0267727409886942,-0.14377814485270834,-0.27223797156578267
2006-06-09,-0.09548723832075234,-0.02408075838952184,-0.10839292020658498,-0.010451716510307074,-0.1410358845057773,-0.2832302509167054
2006-06-12,-0.09401143746399798,-0.025045340095391277,-0.12774020328693358,-0.006184951140364103,-0.16163471360132686,-0.2931903737498066
2006-06-13,-0.09274461775431508,-0.022395484838807156,-0.1480008053152595,-0.030007479565539952,-0.20707998094504432,-0.38997491662381134
2006-06-14,-0.1109214072160084,-0.03541941993737163,-0.13479183200996836,-0.044489629630913075,-0.2077392735027157,-0.39652023370510847
2006-06-15,-0.1211727780585925,-0.03973192895071387,-0.09808103863996764,-0.015144083269603814,-0.1906023126316796,-0.3596300473397248
2006-06-16,-0.1251250765851264,-0.040926164795439646,-0.11122572464601244,-0.0164320537860545,-0.18727140715951107,-0.3515863078060236
2006-06-19,-0.12761640137760566,-0.04307545650827482,-0.12520120360936882,-0.04338796891448837,-0.21731069487591115,-0.3812640425940761
2006-06-20,-0.1305152719773791,-0.044508338948459736,-0.11925874412880233,-0.03855410953167948,-0.20421136686211805,-0.36062490334785635
2006-06-21,-0.13010199675442824,-0.04474532435937384,-0.10619927131122875,-0.04037185872963178,-0.18109709732639034,-0.33763858513300304
2006-06-22,-0.1400371443557188,-0.05094351855616641,-0.11406482581424526,-0.04702779809725233,-0.18176671433966762,-0.35126513587772046
2006-06-23,-0.14353620565591874,-0.05260864747502392,-0.11434908616838091,-0.04401232198931693,-0.18511483174707477,-0.3454216419627215
2006-06-26,-0.14681984297594686,-0.05379562952511796,-0.10652042007232243,-0.03616158962959337,-0.16707304311733961,-0.3388747952442325
2006-06-27,-0.13841683883401623,-0.04881209057361002,-0.12196103784317558,-0.04343860514820097,-0.16099336172813838,-0.3524874967667099
2006-06-28,-0.14747796672229585,-0.05499833587632219,-0.11005664734479592,-0.03800147649629193,-0.1677731746409702,-0.35563074762533575
2006-06-29,-0.14174244362705168,-0.047173082521717924,-0.07410242624833863,-0.013163795429289027,-0.1313103963547324,-0.31128417812819453
2006-06-30,-0.12509294110874958,-0.04050671563098607,-0.07395657165247782,-0.005801938897469716,-0.12372373260941294,-0.2717108106616287
2006-07-03,-0.12682090289865655,-0.04141866416075679,-0.06638947211942836,0.0,-0.0773123677879326,-0.249111585096234
2006-07-05,-0.1407669337345374,-0.048370997584279984,-0.07705557293890586,-0.013476977148635938,-0.09152373105420475,-0.241382924355258
2006-07-06,-0.13023855800935968,-0.0423993065163466,-0.07168042635025818,-0.02381962093036183,-0.07953768030815478,-0.22875952510397468
2006-07-07,-0.11902179884055297,-0.03640933346131592,-0.08377244322473476,-0.008690113633778584,-0.09302173464003827,-0.23830517132094708
2006-07-10,-0.11735132996922648,-0.034967294838216034,-0.08029898794196255,0.0,-0.10570195291389406,-0.2531426071335545
2006-07-11,-0.11170154674150312,-0.032802155467396066,-0.07217858065437244,0.0,-0.06653061377726166,-0.21003150080875754
2006-07-12,-0.11128075459085873,-0.03111714145405131,-0.09198654610078083,-0.009714428611419135,-0.04795379380065068,-0.18254795641450394
2006-07-13,-0.10435232488632584,-0.026777706038279003,-0.12152123453849217,-0.01696435082650316,-0.04867550643244245,-0.16668231274693324
2006-07-14,-0.10329872391946127,-0.025327551678577254,-0.1283219849849403,-0.01696435082650316,-0.04002035261055248,-0.15905480763902702
2006-07-17,-0.10055732165020304,-0.027020124913237797,-0.13086276990700518,-0.01154650161604076,-0.08349118175329628,-0.20758309853467471
2006-07-18,-0.11597526368189548,-0.034507922876105934,-0.1219839352005575,-0.008528592327290418,-0.09481489637236784,-0.23360458819991514
2006-07-19,-0.09922414757042464,-0.022237658347129208,-0.09762033201098086,0.0,-0.08848486368506114,-0.2060680320995174
2006-07-20,-0.09394038069731325,-0.018121566223073038,-0.10996876081065032,0.0,-0.1075409822792891,-0.24301811670681417
2006-07-21,-0.09733163156826452,-0.019334283778289052,-0.12251815332977278,0.0,-0.11242924213261052,-0.2631107403080578
2006-07-24,-0.09838951343350466,-0.019334283778289052,-0.0905195213171579,0.0,-0.10476891072478478,-0.2767236607220963
2006-07-25,-0.10367620142724443,-0.02127554481985927,-0.08403312214232173,0.0,-0.1201556961012048,-0.2670231964858819
2006-07-26,-0.09713939326806187,-0.016429537338328748,-0.08157441666586818,0.0,-0.13194236843855556,-0.2563054020135247
2006-07-27,-0.09989080748511714,-0.016672369155323774,-0.08331332380668321,-0.015867466325348523,-0.09819790859374389,-0.2347142319175335
2006-07-28,-0.08953984132972737,-0.01133233492427499,-0.06493649192250928,-0.002457748682244798,-0.10451395210033287,-0.22960423806193253
2006-07-31,-0.08720249401073987,-0.008167229440601442,-0.06683613342197525,-0.011263080767906719,-0.08703084684420404,-0.22838353769878694
2006-08-01,-0.08737222818374624,-0.007700099770040825,-0.07603305936988802,0.0,-0.07855777513348172,-0.20004044141340083
2006-08-02,-0.08053889688843685,-0.005986305077861354,-0.06354143356634723,-0.0017513815693239732,-0.05373053751045176,-0.18934445708651648
2006-08-03,-0.08010803060506932,-0.005497399687435123,-0.058569301816444486,-0.011666619844555859,-0.07169992489529098,-0.2051193069862398
2006-08-04,-0.06895993600625605,0.0,-0.06179524889217547,-0.011086063518586653,-0.07383585532684867,-0.2011524401142447
2006-08-07,-0.06788046859395813,-0.002699119493077551,-0.06618570112483302,-0.034306605846766036,-0.044682099588628676,-0.19568425586819316
2006-08-08,-0.07198142190784507,-0.0024527070874996726,-0.07334077293142882,-0.015949978756940708,-0.07139924358973093,-0.2089024376529719
2006-08-09,-0.07801252113283574,-0.003434039261887789,-0.07959566553322062,-0.015371858054678778,-0.06855200216934709,-0.19257849697215002
2006-08-10,-0.08080238857777378,-0.0029435474111196847,-0.07394175902641398,-0.018267935262497814,-0.09279134665906374,-0.2270590633927253
2006-08-11,-0.08873247996509726,-0.009311020187831809,-0.07917657077453466,-0.0228948341953934,-0.11037969818416382,-0.24025712863909654
2006-08-14,-0.0919344691011581,-0.012729882710302731,-0.077726742078436,-0.009624105013761208,-0.12709948860321918,-0.2514030712435569
2006-08-15,-0.07659527572099023,-0.0032250566084218724,-0.05566934972541615,0.0,-0.12433931575077617,-0.2571754252803965
2006-08-16,-0.06413607422452816,0.0,-0.03995879836769034,-0.018648180481345422,-0.14299985636505752,-0.24567539950618655
2006-08-17,-0.06478476076243089,-0.0004887314027993694,-0.03507322106231803,-0.02095733295528912,-0.16966355091820762,-0.2809231535165905
2006-08-18,-0.05937923711752913,0.0,-0.025278476781345427,0.0,-0.16091614837251578,-0.28068745616372914
2006-08-21,-0.052659933497065436,0.0,-0.03363074903399654,0.0,-0.1473879279829079,-0.2476915223534183
2006-08-22,-0.05200715886117313,0.0,-0.03377978455655106,0.0,-0.15011506592438162,-0.25708933957194746
2006-08-23,-0.05113510788345066,-0.0019505437217560706,-0.03912588922882576,-0.02085131475798796,-0.1678140651475133,-0.2623572983212734
2006-08-24,-0.04765205546154061,-1.9041674862441127e-06,-0.0407553253592462,-0.01282809405538421,-0.14356585615547945,-0.2642661699062905
2006-08-25,-0.044815166385622995,0.0,-0.038388015161087585,-0.01282809405538421,-0.1442489864054829,-0.2637895702821902
2006-08-28,-0.043066421204026706,-0.00024439354656735635,-0.029202175261451746,0.0,-0.17088458278814467,-0.2821441878535701
2006-08-29,-0.04044423109465212,0.0,-0.026969296445595314,0.0,-0.17357311454778424,-0.28355639554385614
2006-08-30,-0.03540691795120465,0.0,-0.025776573957091098,-0.010405576743690026,-0.1487433877107477,-0.2722701267572871
2006-08-31,-0.030797157404414466,0.0,-0.02607463338709748,0.0,-0.1487433877107477,-0.25165381261317255
2006-09-01,-0.03013453710551106,0.0,-0.014445258914155157,0.0,-0.15214860833660537,-0.25525802094015315
2006-09-05,-0.042290492089224196,-0.006564076075938341,-0.010695532719295908,-0.021264090045595263,-0.1548670406905891,-0.2260148238855605
2006-09-06,-0.04492502793959896,-0.008018928451409946,-0.02812741411298203,-0.02865444427864905,-0.16368811472817257,-0.23823049889595493
2006-09-07,-0.04119859358720501,-0.006565142146914393,-0.03706242747920896,-0.02582351006609296,-0.1690880553678269,-0.27725211358944113
2006-09-08,-0.03965983226985936,-0.004627020007160754,-0.03157772103961787,-0.02582351006609296,-0.1825441825455788,-0.2916480858944449
2006-09-11,-0.0414189865400989,-0.008265435957893974,-0.029644587812762913,-0.03263024727390984,-0.22058097782418118,-0.3416438866563082
2006-09-12,-0.03175074521155585,-0.002697223300588525,-0.010596428483517606,-0.04280383603798632,-0.24533469278396214,-0.34569531576113577
2006-09-13,-0.030866449644684768,-0.0007552107874281289,-0.0026330812225348055,-0.03886789568435289,-0.24918020639015914,-0.33896380317183705
2006-09-14,-0.035287057439844394,-0.004642880813364281,-0.002482926004935382,-0.04675520778863562,-0.25812992871666995,-0.3712149795764941
2006-09-15,-0.036828696627034474,-0.005855932155620969,0.0,-0.04607692528371199,-0.26257782692251963,-0.36659715546688154
2006-09-18,-0.03991186520910228,-0.00876479077497605,0.0,-0.05173475556517282,-0.24483933152510873,-0.3482792777476409
2006-09-19,-0.018362323443067874,0.0,-0.004994730632868927,-0.0477863581895539,-0.2672761333963374,-0.37760282395627676
2006-09-20,-0.015471625531988997,0.0,0.0,-0.05061245022249816,-0.2761155183532832,-0.37016729543791527
2006-09-21,0.0,0.0,-0.00965937824851859,-0.053433984541102375,-0.25101333802263526,-0.3549878991206118
2006-09-22,0.0,0.0,-0.01566745737726516,-0.05568970997042677,-0.26824600945692867,-0.34274437336710195
2006-09-25,0.0,0.0,-0.0005435107273998874,-0.029231537289137632,-0.2650921137365593,-0.34274437336710195
2006-09-26,-0.008415036528585662,-0.005027345119247073,0.0,-0.03208438874304853,-0.2587702286987943,-0.3373514689714222
2006-09-27,-0.014148641160851794,-0.005504292593964455,0.0,-0.005301413690154688,-0.23654926777010332,-0.31321004215099313
2006-09-28,-0.017447702868987114,-0.007413975988430077,-0.0007482243323070348,-0.011654999658513021,-0.2243082603547154,-0.3136693671210341
2006-09-29,-0.019861177362366367,-0.009561251059844622,-0.0023928527340594252,-0.031230999731727827,-0.22041172092230565,-0.3210159330921595
2006-10-02,-0.014491699753254261,-0.006069793380270805,-0.009860984830442843,-0.016981220172804012,-0.2373382104459003,-0.3283229682272245
2006-10-03,-0.017138573536651713,-0.006307815118095084,-0.005694809196799766,-0.008941788120128913,-0.26244915274792135,-0.37465337310999236
2006-10-04,-0.002812205411618085,0.0,0.0,-0.0008716248325035814,-0.25168652332685604,-0.3908592056638893
2006-10-05,-0.016799146989264768,-0.006959070927674338,0.0,-0.00723871652471153,-0.24339665492652285,-0.3789724936363743
