,uniform,onlystocks,sixtyforty,riskparity_nested
2006-02-07,100000.0,100000.0,100000.0,100000.0
2006-02-08,100000.0,100000.0,100000.0,100000.0
2006-02-09,100000.0,100000.0,100000.0,100000.0
2006-02-10,100000.0,100000.0,100000.0,100000.0
2006-02-13,100000.0,100000.0,100000.0,100000.0
2006-02-14,100000.0,100000.0,100000.0,100000.0
2006-02-15,100000.0,100000.0,100000.0,100000.0
2006-02-16,100000.0,100000.0,100000.0,100000.0
2006-02-17,100000.0,100000.0,100000.0,100000.0
2006-02-21,100000.0,100000.0,100000.0,100000.0
2006-02-22,100000.0,100000.0,100000.0,100000.0
2006-02-23,100000.0,100000.0,100000.0,100000.0
2006-02-24,100000.0,100000.0,100000.0,100000.0
2006-02-27,100000.0,100000.0,100000.0,100000.0
2006-02-28,100000.0,100000.0,100000.0,100000.0
2006-03-01,100000.0,100000.0,100000.0,100000.0
2006-03-02,100000.0,100000.0,100000.0,100000.0
2006-03-03,100000.0,100000.0,100000.0,100000.0
2006-03-06,100000.0,100000.0,100000.0,100000.0
2006-03-07,100000.0,100000.0,100000.0,100000.0
2006-03-08,100000.0,100000.0,100000.0,100000.0
2006-03-09,100000.0,100000.0,100000.0,100000.0
2006-03-10,100000.0,100000.0,100000.0,100000.0
2006-03-13,100000.0,100000.0,100000.0,100000.0
2006-03-14,100000.0,100000.0,100000.0,100000.0
2006-03-15,99999.99999999997,100000.0,99999.99999999999,100000.0
2006-03-16,101134.71805686851,100412.69506228779,100863.11237930522,100000.0
2006-03-17,100657.24098092564,100580.31291258096,100757.02197333872,100000.0
2006-03-20,100062.25973804921,100257.1277159089,100705.14661508106,100000.0
2006-03-21,99107.15567705278,98997.142441017,99572.67935283418,100000.0
2006-03-22,99483.51760161108,100203.33356914968,100431.39559311162,100000.0
2006-03-23,99440.5505832325,99788.58595544829,99952.62074648975,100000.0
2006-03-24,100587.30345773026,99941.87217581624,100514.73361319107,100000.0
2006-03-27,100779.47920662587,99650.39997505887,100101.00319762246,100000.0
2006-03-28,99897.43460803149,98424.93048780957,98792.76634853828,100000.0
2006-03-29,100914.58339665641,99658.03135279844,99304.45681393098,100000.0
2006-03-30,101685.30764467435,99305.71640961572,98702.95238736879,100000.0
2006-03-31,101035.20341782234,99351.5435258494,98746.10018111054,100000.0
2006-04-03,101376.81846595004,99198.6625276517,98623.15779178397,100000.0
2006-04-04,101570.12594225527,100467.14909775642,99348.90662377595,100000.0
2006-04-05,102421.56730321211,101159.16625321285,99909.97627067946,100000.0
2006-04-06,102592.48518583256,100943.11364738851,99373.2258726454,100000.0
2006-04-07,100727.9851896839,98892.80955679213,97590.7226108761,100000.0
2006-04-10,102083.62127583497,99198.0273926057,97892.44557232047,100000.0
2006-04-11,101374.46538014396,97517.03805975149,97088.49719901834,100000.0
2006-04-12,101445.3294188815,97880.61884538968,96984.82145387953,100000.0
2006-04-13,101041.60337388108,97622.61132832828,96358.72157742245,100000.0
2006-04-17,102783.14686282379,97546.84066641303,96597.47429750681,100000.0
