,uniform,onlystocks,sixtyforty,riskparity_nested
2006-02-07,0.0,0.0,0.0,0.0
2006-02-08,0.0,0.0,0.0,0.0
2006-02-09,0.0,0.0,0.0,0.0
2006-02-10,0.0,0.0,0.0,0.0
2006-02-13,0.0,0.0,0.0,0.0
2006-02-14,0.0,0.0,0.0,0.0
2006-02-15,0.0,0.0,0.0,0.0
2006-02-16,0.0,0.0,0.0,0.0
2006-02-17,0.0,0.0,0.0,0.0
2006-02-21,0.0,0.0,0.0,0.0
2006-02-22,0.0,0.0,0.0,0.0
2006-02-23,0.0,0.0,0.0,0.0
2006-02-24,0.0,0.0,0.0,0.0
2006-02-27,0.0,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0
2006-03-02,0.0,0.0,0.0,0.0
2006-03-03,0.0,0.0,0.0,0.0
2006-03-06,0.0,0.0,0.0,0.0
2006-03-07,0.0,0.0,0.0,0.0
2006-03-08,0.0,0.0,0.0,0.0
2006-03-09,0.0,0.0,0.0,0.0
2006-03-10,0.0,0.0,0.0,0.0
2006-03-13,0.0,0.0,0.0,0.0
2006-03-14,0.0,0.0,0.0,0.0
2006-03-15,-3.3306690738754696e-16,0.0,-1.1102230246251565e-16,0.0
2006-03-16,0.0,0.0,0.0,0.0
2006-03-17,-0.004721198467912746,0.0,-0.0010518256225084954,0.0
2006-03-20,-0.010604254794246426,-0.00321320532133329,-0.0015661400932197589,0.0
2006-03-21,-0.020048134001576234,-0.015740361366144984,-0.012793904491249952,0.0
2006-03-22,-0.01632674206229512,-0.003748043056487016,-0.004280224712579717,0.0
2006-03-23,-0.016751591403887378,-0.007871589719757655,-0.009027003146516943,0.0
2006-03-24,-0.005412726802980106,-0.006347571590074708,-0.003453975966992151,0.0
2006-03-27,-0.003512531176908973,-0.009245476680216025,-0.007555876114716642,0.0
2006-03-28,-0.012234012934522642,-0.02142946628774889,-0.020526295311820375,0.0
2006-03-29,-0.0021766477866514977,-0.009169603206386157,-0.015453177366892779,0.0
2006-03-30,0.0,-0.012672425309245727,-0.021416749304869254,0.0
2006-03-31,-0.006393295569540047,-0.012216798209800261,-0.020988963638495117,0.0
2006-04-03,-0.0030337635384090067,-0.013736787497669822,-0.02220786702573374,0.0
2006-04-04,-0.0011327270879837315,-0.0011251089954641413,-0.01501248295645441,0.0
2006-04-05,0.0,0.0,-0.009449798703825563,0.0
2006-04-06,0.0,-0.0021357689453819217,-0.014771371530326816,0.0
2006-04-07,-0.018173845703916558,-0.022403868876773703,-0.032443870620638804,0.0
2006-04-10,-0.0049600505249077775,-0.019386664928595865,-0.029452460239510314,0.0
2006-04-11,-0.01187240764742481,-0.036003936453417484,-0.037423147979928406,0.0
2006-04-12,-0.011181674416728793,-0.03240979072145178,-0.03845103362308533,0.0
2006-04-13,-0.01511691435432394,-0.03496030123490912,-0.044658455362190264,0.0
2006-04-17,0.0,-0.03570932541849703,-0.042291358864250395,0.0
2006-04-18,0.0,-0.005151508593659426,-0.022008054833701385,0.0
2006-04-19,0.0,-0.0013486318320572455,-0.02308344672429119,0.0
2006-04-20,-0.02340957949665301,0.0,-0.022069881012839354,0.0
2006-04-21,0.0,0.0,-0.01895900405990325,0.0
2006-04-24,-0.013887525304763115,-0.003657124468238182,-0.019208297965128907,0.0
2006-04-25,-0.015286914078239677,-0.011871154040341558,-0.0310082255544194,0.0
2006-04-26,-0.011921520775781902,-0.011417768383636062,-0.03152841910819215,0.0
2006-04-27,-0.01528248286924394,-0.0018707633029964033,-0.024252117455236588,0.0
2006-04-28,0.0,0.0,-0.01936692493986325,0.0
