,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
VTI,0.04,0.013773850406941122,0.12,0.036666600734897005,0.04
VEU,0.04,0.015076484422139621,0.12,0.038414862770677884,0.04
VWO,0.04,0.015161478449469735,0.12,0.038917699679388795,0.04
VNQ,0.04,0.010313266423188413,0.12,0.026952832088036387,0.04
VNQI,0.04,0.015841716513178117,0.12,0.03674347091193188,0.04
BND,0.2,0.3135075527472395,0.1,0.3348965622317958,0.1
EMLC,0.2,0.09801741881356621,0.1,0.07016679587669358,0.1
BWX,0.15,0.2694761667502073,0.2,0.2319319646359698,0.2
DBC,0.13,0.10249175398447653,0.0,0.06345371660642256,0.2
IAU,0.12,0.14634031148959348,0.0,0.12185549446418646,0.2
