,Year,Month,Day,asset_0,asset_1,asset_2,asset_3,asset_4
0,2020.0,4.0,1.0,0.0,0.0,0.6,0.2,0.2
1,2020.0,4.0,2.0,0.0,0.0,0.6,0.2,0.2
2,2020.0,4.0,3.0,0.0,0.0,0.6,0.2,0.2
3,2020.0,4.0,6.0,0.0,0.0,0.6,0.2,0.2
4,2020.0,4.0,7.0,0.0,0.0,0.6,0.2,0.2
5,2020.0,4.0,8.0,0.0,0.0,0.6,0.2,0.2
6,2020.0,4.0,9.0,0.0,0.0,0.6,0.2,0.2
7,2020.0,4.0,13.0,0.0,0.0,0.6,0.2,0.2
8,2020.0,4.0,14.0,0.0,0.0,0.6,0.2,0.2
9,2020.0,4.0,15.0,0.0,0.0,0.6,0.2,0.2
10,2020.0,4.0,16.0,0.0,0.0,0.6,0.2,0.2
11,2020.0,4.0,17.0,0.0,0.0,0.6,0.2,0.2
12,2020.0,4.0,20.0,0.0,0.0,0.6,0.2,0.2
13,2020.0,4.0,21.0,0.0,0.0,0.6,0.2,0.2
14,2020.0,4.0,22.0,0.0,0.0,0.6,0.2,0.2
15,2020.0,4.0,23.0,0.0,0.0,0.6,0.2,0.2
16,2020.0,4.0,24.0,0.0,0.0,0.6,0.2,0.2
17,2020.0,4.0,27.0,0.0,0.0,0.6,0.2,0.2
18,2020.0,4.0,28.0,0.0,0.0,0.6,0.2,0.2
19,2020.0,4.0,29.0,0.0,0.0,0.6,0.2,0.2
20,2020.0,4.0,30.0,0.0,0.0,0.6,0.2,0.2
21,2020.0,5.0,1.0,0.0,0.0,0.6,0.2,0.2
22,2020.0,5.0,4.0,0.0,0.0,0.6,0.2,0.2
23,2020.0,5.0,5.0,0.0,0.0,0.6,0.2,0.2
24,2020.0,5.0,6.0,0.0,0.0,0.6,0.2,0.2
25,2020.0,5.0,7.0,0.0,0.0,0.6,0.2,0.2
26,2020.0,5.0,8.0,0.0,0.0,0.6,0.2,0.2
27,2020.0,5.0,11.0,0.0,0.0,0.6,0.2,0.2
28,2020.0,5.0,12.0,0.0,0.0,0.6,0.2,0.2
29,2020.0,5.0,13.0,0.0,0.0,0.6,0.2,0.2
30,2020.0,5.0,14.0,0.0,0.0,0.6,0.2,0.2
31,2020.0,5.0,15.0,0.0,0.0,0.6,0.2,0.2
32,2020.0,5.0,18.0,0.0,0.0,0.6,0.2,0.2
33,2020.0,5.0,19.0,0.0,0.0,0.6,0.2,0.2
34,2020.0,5.0,20.0,0.0,0.0,0.6,0.2,0.2
35,2020.0,5.0,21.0,0.0,0.0,0.6,0.2,0.2
36,2020.0,5.0,22.0,0.0,0.0,0.6,0.2,0.2
37,2020.0,5.0,26.0,0.0,0.0,0.6,0.2,0.2
38,2020.0,5.0,27.0,0.0,0.0,0.6,0.2,0.2
39,2020.0,5.0,28.0,0.0,0.0,0.6,0.2,0.2
40,2020.0,5.0,29.0,0.0,0.0,0.6,0.2,0.2
41,2020.0,6.0,1.0,0.0,0.0,0.6,0.2,0.2
42,2020.0,6.0,2.0,0.0,0.0,0.6,0.2,0.2
43,2020.0,6.0,3.0,0.0,0.0,0.6,0.2,0.2
44,2020.0,6.0,4.0,0.0,0.0,0.6,0.2,0.2
45,2020.0,6.0,5.0,0.0,0.0,0.6,0.2,0.2
46,2020.0,6.0,8.0,0.0,0.0,0.6,0.2,0.2
47,2020.0,6.0,9.0,0.0,0.0,0.6,0.2,0.2
48,2020.0,6.0,10.0,0.0,0.0,0.6,0.2,0.2
49,2020.0,6.0,11.0,0.0,0.0,0.6,0.2,0.2
50,2020.0,6.0,12.0,0.0,0.0,0.6,0.2,0.2
51,2020.0,6.0,15.0,0.0,0.0,0.6,0.2,0.2
52,2020.0,6.0,16.0,0.0,0.0,0.6,0.2,0.2
53,2020.0,6.0,17.0,0.0,0.0,0.6,0.2,0.2
54,2020.0,6.0,18.0,0.0,0.0,0.6,0.2,0.2
55,2020.0,6.0,19.0,0.0,0.0,0.6,0.2,0.2
56,2020.0,6.0,22.0,0.0,0.0,0.6,0.2,0.2
57,2020.0,6.0,23.0,0.0,0.0,0.6,0.2,0.2
58,2020.0,6.0,24.0,0.0,0.0,0.6,0.2,0.2
59,2020.0,6.0,25.0,0.0,0.0,0.6,0.2,0.2
