Date,open,high,low,close,volume
1850-01-01,18.93,18.93,18.93,18.93,0
1851-01-01,18.93,18.93,18.93,18.93,0
1852-01-01,18.93,18.93,18.93,18.93,0
1853-01-01,18.93,18.93,18.93,18.93,0
1854-01-01,18.93,18.93,18.93,18.93,0
1855-01-01,18.93,18.93,18.93,18.93,0
1856-01-01,18.93,18.93,18.93,18.93,0
1857-01-01,18.93,18.93,18.93,18.93,0
1858-01-01,18.93,18.93,18.93,18.93,0
1859-01-01,18.93,18.93,18.93,18.93,0
1860-01-01,18.93,18.93,18.93,18.93,0
1861-01-01,18.93,18.93,18.93,18.93,0
1862-01-01,18.93,18.93,18.93,18.93,0
1863-01-01,18.93,18.93,18.93,18.93,0
1864-01-01,18.93,18.93,18.93,18.93,0
1865-01-01,18.93,18.93,18.93,18.93,0
1866-01-01,18.93,18.93,18.93,18.93,0
1867-01-01,18.93,18.93,18.93,18.93,0
1868-01-01,18.93,18.93,18.93,18.93,0
1869-01-01,18.93,18.93,18.93,18.93,0
1870-01-01,18.93,18.93,18.93,18.93,0
1871-01-01,18.93,18.93,18.93,18.93,0
1872-01-01,18.94,18.94,18.94,18.94,0
1873-01-01,18.94,18.94,18.94,18.94,0
1874-01-01,18.94,18.94,18.94,18.94,0
1875-01-01,18.94,18.94,18.94,18.94,0
1876-01-01,18.94,18.94,18.94,18.94,0
1877-01-01,18.94,18.94,18.94,18.94,0
1878-01-01,18.94,18.94,18.94,18.94,0
1879-01-01,18.94,18.94,18.94,18.94,0
1880-01-01,18.94,18.94,18.94,18.94,0
1881-01-01,18.94,18.94,18.94,18.94,0
1882-01-01,18.94,18.94,18.94,18.94,0
1883-01-01,18.94,18.94,18.94,18.94,0
1884-01-01,18.94,18.94,18.94,18.94,0
1885-01-01,18.94,18.94,18.94,18.94,0
1886-01-01,18.94,18.94,18.94,18.94,0
1887-01-01,18.94,18.94,18.94,18.94,0
1888-01-01,18.94,18.94,18.94,18.94,0
1889-01-01,18.93,18.93,18.93,18.93,0
1890-01-01,18.94,18.94,18.94,18.94,0
1891-01-01,18.96,18.96,18.96,18.96,0
1892-01-01,18.96,18.96,18.96,18.96,0
1893-01-01,18.96,18.96,18.96,18.96,0
1894-01-01,18.94,18.94,18.94,18.94,0
1895-01-01,18.93,18.93,18.93,18.93,0
1896-01-01,18.98,18.98,18.98,18.98,0
1897-01-01,18.98,18.98,18.98,18.98,0
1898-01-01,18.98,18.98,18.98,18.98,0
1899-01-01,18.94,18.94,18.94,18.94,0
1900-01-01,18.96,18.96,18.96,18.96,0
1901-01-01,18.98,18.98,18.98,18.98,0
1902-01-01,18.97,18.97,18.97,18.97,0
1903-01-01,18.95,18.95,18.95,18.95,0
1904-01-01,18.96,18.96,18.96,18.96,0
1905-01-01,18.92,18.92,18.92,18.92,0
1906-01-01,18.9,18.9,18.9,18.9,0
1907-01-01,18.94,18.94,18.94,18.94,0
1908-01-01,18.95,18.95,18.95,18.95,0
1909-01-01,18.96,18.96,18.96,18.96,0
1910-01-01,18.92,18.92,18.92,18.92,0
1911-01-01,18.92,18.92,18.92,18.92,0
1912-01-01,18.93,18.93,18.93,18.93,0
1913-01-01,18.92,18.92,18.92,18.92,0
1914-01-01,18.99,18.99,18.99,18.99,0
1915-01-01,18.99,18.99,18.99,18.99,0
1916-01-01,18.99,18.99,18.99,18.99,0
1917-01-01,18.99,18.99,18.99,18.99,0
1918-01-01,18.99,18.99,18.99,18.99,0
1919-01-01,19.95,19.95,19.95,19.95,0
1920-01-01,20.68,20.68,20.68,20.68,0
1921-01-01,20.58,20.58,20.58,20.58,0
1922-01-01,20.66,20.66,20.66,20.66,0
1923-01-01,21.32,21.32,21.32,21.32,0
1924-01-01,20.69,20.69,20.69,20.69,0
1925-01-01,20.64,20.64,20.64,20.64,0
1926-01-01,20.63,20.63,20.63,20.63,0
1927-01-01,20.64,20.64,20.64,20.64,0
1928-01-01,20.66,20.66,20.66,20.66,0
1929-01-01,20.63,20.63,20.63,20.63,0
1930-01-01,20.65,20.65,20.65,20.65,0
1931-01-01,17.06,17.06,17.06,17.06,0
1932-01-01,20.69,20.69,20.69,20.69,0
1933-01-01,26.33,26.33,26.33,26.33,0
1934-01-01,34.69,34.69,34.69,34.69,0
1935-01-01,34.84,34.84,34.84,34.84,0
1936-01-01,34.87,34.87,34.87,34.87,0
1937-01-01,34.79,34.79,34.79,34.79,0
1938-01-01,34.85,34.85,34.85,34.85,0
1939-01-01,34.42,34.42,34.42,34.42,0
1940-01-01,33.85,33.85,33.85,33.85,0
1941-01-01,33.85,33.85,33.85,33.85,0
1942-01-01,33.85,33.85,33.85,33.85,0
1943-01-01,33.85,33.85,33.85,33.85,0
1944-01-01,33.85,33.85,33.85,33.85,0
1945-01-01,34.71,34.71,34.71,34.71,0
1946-01-01,34.71,34.71,34.71,34.71,0
1947-01-01,34.71,34.71,34.71,34.71,0
1948-01-01,34.71,34.71,34.71,34.71,0
1949-01-01,31.69,31.69,31.69,31.69,0
1950-01-01,34.72,34.72,34.72,34.72,0
1951-01-01,34.72,34.72,34.72,34.72,0
1952-01-01,34.6,34.6,34.6,34.6,0
1953-01-01,34.84,34.84,34.84,34.84,0
1954-01-01,35.04,35.04,35.04,35.04,0
1955-01-01,35.03,35.03,35.03,35.03,0
1956-01-01,34.99,34.99,34.99,34.99,0
1957-01-01,34.95,34.95,34.95,34.95,0
1958-01-01,35.1,35.1,35.1,35.1,0
1959-01-01,35.1,35.1,35.1,35.1,0
1960-01-01,35.27,35.27,35.27,35.27,0
1961-01-01,35.25,35.25,35.25,35.25,0
1962-01-01,35.23,35.23,35.23,35.23,0
1963-01-01,35.09,35.09,35.09,35.09,0
1964-01-01,35.1,35.1,35.1,35.1,0
1965-01-01,35.12,35.12,35.12,35.12,0
1966-01-01,35.13,35.13,35.13,35.13,0
1967-01-01,34.95,34.95,34.95,34.95,0
1968-01-01,39.31,39.31,39.31,39.31,0
1969-01-01,41.28,41.28,41.28,41.28,0
1970-01-01,36.02,36.02,36.02,36.02,0
1971-01-01,40.62,40.62,40.62,40.62,0
1972-01-01,58.42,58.42,58.42,58.42,0
1973-01-01,97.39,97.39,97.39,97.39,0
1974-01-01,154.0,154.0,154.0,154.0,0
1975-01-01,160.86,160.86,160.86,160.86,0
1976-01-01,124.74,124.74,124.74,124.74,0
1977-01-01,147.84,147.84,147.84,147.84,0
1978-01-01,193.4,193.4,193.4,193.4,0
1979-01-01,306.0,306.0,306.0,306.0,0
1980-01-01,615.0,615.0,615.0,615.0,0
1981-01-01,460.0,460.0,460.0,460.0,0
1982-01-01,376.0,376.0,376.0,376.0,0
1983-01-01,424.0,424.0,424.0,424.0,0
1984-01-01,361.0,361.0,361.0,361.0,0
1985-01-01,317.0,317.0,317.0,317.0,0
1986-01-01,368.0,368.0,368.0,368.0,0
1987-01-01,447.0,447.0,447.0,447.0,0
1988-01-01,437.0,437.0,437.0,437.0,0
1989-01-01,381.0,381.0,381.0,381.0,0
1990-01-01,383.51,383.51,383.51,383.51,0
1991-01-01,362.11,362.11,362.11,362.11,0
1992-01-01,343.82,343.82,343.82,343.82,0
1993-01-01,359.77,359.77,359.77,359.77,0
1994-01-01,384.0,384.0,384.0,384.0,0
1995-01-01,383.79,383.79,383.79,383.79,0
1996-01-01,387.81,387.81,387.81,387.81,0
1997-01-01,331.02,331.02,331.02,331.02,0
1998-01-01,294.24,294.24,294.24,294.24,0
1999-01-01,278.98,278.98,278.98,278.98,0
2000-01-01,279.11,279.11,279.11,279.11,0
2001-01-01,271.04,271.04,271.04,271.04,0
2002-01-01,309.73,309.73,309.73,309.73,0
2003-01-01,363.38,363.38,363.38,363.38,0
2004-01-01,409.72,409.72,409.72,409.72,0
2005-01-01,444.74,444.74,444.74,444.74,0
2006-01-01,603.46,603.46,603.46,603.46,0
2007-01-01,695.39,695.39,695.39,695.39,0
2008-01-01,871.96,871.96,871.96,871.96,0
2009-01-01,972.35,972.35,972.35,972.35,0
2010-01-01,1224.53,1224.53,1224.53,1224.53,0
2011-01-01,1571.52,1571.52,1571.52,1571.52,0
