date,open,high,low,close,volume
1800-01-01,19.39,19.39,19.39,19.39,0
1801-01-01,19.39,19.39,19.39,19.39,0
1802-01-01,19.39,19.39,19.39,19.39,0
1803-01-01,19.39,19.39,19.39,19.39,0
1804-01-01,19.39,19.39,19.39,19.39,0
1805-01-01,19.39,19.39,19.39,19.39,0
1806-01-01,19.39,19.39,19.39,19.39,0
1807-01-01,19.39,19.39,19.39,19.39,0
1808-01-01,19.39,19.39,19.39,19.39,0
1809-01-01,19.39,19.39,19.39,19.39,0
1810-01-01,19.39,19.39,19.39,19.39,0
1811-01-01,19.39,19.39,19.39,19.39,0
1812-01-01,19.39,19.39,19.39,19.39,0
1813-01-01,19.39,19.39,19.39,19.39,0
1814-01-01,20.1,20.1,20.1,20.1,0
1815-01-01,21.64,21.64,21.64,21.64,0
1816-01-01,20.95,20.95,20.95,20.95,0
1817-01-01,19.46,19.46,19.46,19.46,0
1818-01-01,19.39,19.39,19.39,19.39,0
1819-01-01,19.39,19.39,19.39,19.39,0
1820-01-01,19.39,19.39,19.39,19.39,0
1821-01-01,19.39,19.39,19.39,19.39,0
1822-01-01,19.39,19.39,19.39,19.39,0
1823-01-01,19.39,19.39,19.39,19.39,0
1824-01-01,19.39,19.39,19.39,19.39,0
1825-01-01,19.39,19.39,19.39,19.39,0
1826-01-01,19.39,19.39,19.39,19.39,0
1827-01-01,19.39,19.39,19.39,19.39,0
1828-01-01,19.39,19.39,19.39,19.39,0
1829-01-01,19.39,19.39,19.39,19.39,0
1830-01-01,19.39,19.39,19.39,19.39,0
1831-01-01,19.39,19.39,19.39,19.39,0
1832-01-01,19.39,19.39,19.39,19.39,0
1833-01-01,19.39,19.39,19.39,19.39,0
1834-01-01,19.94,19.94,19.94,19.94,0
1835-01-01,20.69,20.69,20.69,20.69,0
1836-01-01,20.69,20.69,20.69,20.69,0
1837-01-01,21.64,21.64,21.64,21.64,0
1838-01-01,20.86,20.86,20.86,20.86,0
1839-01-01,20.67,20.67,20.67,20.67,0
1840-01-01,20.67,20.67,20.67,20.67,0
1841-01-01,20.67,20.67,20.67,20.67,0
1842-01-01,20.67,20.67,20.67,20.67,0
1843-01-01,20.67,20.67,20.67,20.67,0
1844-01-01,20.67,20.67,20.67,20.67,0
1845-01-01,20.67,20.67,20.67,20.67,0
1846-01-01,20.67,20.67,20.67,20.67,0
1847-01-01,20.67,20.67,20.67,20.67,0
1848-01-01,20.67,20.67,20.67,20.67,0
1849-01-01,20.67,20.67,20.67,20.67,0
1850-01-01,20.67,20.67,20.67,20.67,0
1851-01-01,20.67,20.67,20.67,20.67,0
1852-01-01,20.67,20.67,20.67,20.67,0
1853-01-01,20.67,20.67,20.67,20.67,0
1854-01-01,20.67,20.67,20.67,20.67,0
1855-01-01,20.67,20.67,20.67,20.67,0
1856-01-01,20.67,20.67,20.67,20.67,0
1857-01-01,20.7,20.7,20.7,20.7,0
1858-01-01,20.67,20.67,20.67,20.67,0
1859-01-01,20.67,20.67,20.67,20.67,0
1860-01-01,20.67,20.67,20.67,20.67,0
1861-01-01,20.67,20.67,20.67,20.67,0
1862-01-01,23.42,23.42,23.42,23.42,0
1863-01-01,30.02,30.02,30.02,30.02,0
1864-01-01,42.03,42.03,42.03,42.03,0
1865-01-01,32.52,32.52,32.52,32.52,0
1866-01-01,29.13,29.13,29.13,29.13,0
1867-01-01,28.57,28.57,28.57,28.57,0
1868-01-01,28.88,28.88,28.88,28.88,0
1869-01-01,27.49,27.49,27.49,27.49,0
1870-01-01,23.75,23.75,23.75,23.75,0
1871-01-01,23.09,23.09,23.09,23.09,0
1872-01-01,23.24,23.24,23.24,23.24,0
1873-01-01,23.52,23.52,23.52,23.52,0
1874-01-01,22.99,22.99,22.99,22.99,0
1875-01-01,23.75,23.75,23.75,23.75,0
1876-01-01,23.05,23.05,23.05,23.05,0
1877-01-01,21.66,21.66,21.66,21.66,0
1878-01-01,20.84,20.84,20.84,20.84,0
1879-01-01,20.67,20.67,20.67,20.67,0
1880-01-01,20.67,20.67,20.67,20.67,0
1881-01-01,20.67,20.67,20.67,20.67,0
1882-01-01,20.67,20.67,20.67,20.67,0
1883-01-01,20.67,20.67,20.67,20.67,0
1884-01-01,20.67,20.67,20.67,20.67,0
1885-01-01,20.67,20.67,20.67,20.67,0
1886-01-01,20.67,20.67,20.67,20.67,0
1887-01-01,20.67,20.67,20.67,20.67,0
1888-01-01,20.67,20.67,20.67,20.67,0
1889-01-01,20.67,20.67,20.67,20.67,0
1890-01-01,20.67,20.67,20.67,20.67,0
1891-01-01,20.67,20.67,20.67,20.67,0
1892-01-01,20.67,20.67,20.67,20.67,0
1893-01-01,20.67,20.67,20.67,20.67,0
1894-01-01,20.67,20.67,20.67,20.67,0
1895-01-01,20.67,20.67,20.67,20.67,0
1896-01-01,20.67,20.67,20.67,20.67,0
1897-01-01,20.67,20.67,20.67,20.67,0
1898-01-01,20.67,20.67,20.67,20.67,0
1899-01-01,20.67,20.67,20.67,20.67,0
1900-01-01,20.67,20.67,20.67,20.67,0
1901-01-01,20.67,20.67,20.67,20.67,0
1902-01-01,20.67,20.67,20.67,20.67,0
1903-01-01,20.67,20.67,20.67,20.67,0
1904-01-01,20.67,20.67,20.67,20.67,0
1905-01-01,20.67,20.67,20.67,20.67,0
1906-01-01,20.67,20.67,20.67,20.67,0
1907-01-01,20.67,20.67,20.67,20.67,0
1908-01-01,20.67,20.67,20.67,20.67,0
1909-01-01,20.67,20.67,20.67,20.67,0
1910-01-01,20.67,20.67,20.67,20.67,0
1911-01-01,20.67,20.67,20.67,20.67,0
1912-01-01,20.67,20.67,20.67,20.67,0
1913-01-01,20.67,20.67,20.67,20.67,0
1914-01-01,20.67,20.67,20.67,20.67,0
1915-01-01,20.67,20.67,20.67,20.67,0
1916-01-01,20.67,20.67,20.67,20.67,0
1917-01-01,20.67,20.67,20.67,20.67,0
1918-01-01,20.67,20.67,20.67,20.67,0
1919-01-01,20.67,20.67,20.67,20.67,0
1920-01-01,20.67,20.67,20.67,20.67,0
1921-01-01,20.67,20.67,20.67,20.67,0
1922-01-01,20.67,20.67,20.67,20.67,0
1923-01-01,20.67,20.67,20.67,20.67,0
1924-01-01,20.67,20.67,20.67,20.67,0
1925-01-01,20.67,20.67,20.67,20.67,0
1926-01-01,20.67,20.67,20.67,20.67,0
1927-01-01,20.67,20.67,20.67,20.67,0
1928-01-01,20.67,20.67,20.67,20.67,0
1929-01-01,20.67,20.67,20.67,20.67,0
1930-01-01,20.67,20.67,20.67,20.67,0
1931-01-01,20.67,20.67,20.67,20.67,0
1932-01-01,20.67,20.67,20.67,20.67,0
1933-01-01,24.44,24.44,24.44,24.44,0
1934-01-01,34.94,34.94,34.94,34.94,0
1935-01-01,35.0,35.0,35.0,35.0,0
1936-01-01,35.0,35.0,35.0,35.0,0
1937-01-01,35.0,35.0,35.0,35.0,0
1938-01-01,35.0,35.0,35.0,35.0,0
1939-01-01,35.0,35.0,35.0,35.0,0
1940-01-01,35.0,35.0,35.0,35.0,0
1941-01-01,35.0,35.0,35.0,35.0,0
1942-01-01,35.0,35.0,35.0,35.0,0
1943-01-01,35.0,35.0,35.0,35.0,0
1944-01-01,35.0,35.0,35.0,35.0,0
