DATE,open,high,low,close,volume
01/01/1800,19.39,19.39,19.39,19.39,0
01/01/1801,19.39,19.39,19.39,19.39,0
01/01/1802,19.39,19.39,19.39,19.39,0
01/01/1803,19.39,19.39,19.39,19.39,0
01/01/1804,19.39,19.39,19.39,19.39,0
01/01/1805,19.39,19.39,19.39,19.39,0
01/01/1806,19.39,19.39,19.39,19.39,0
01/01/1807,19.39,19.39,19.39,19.39,0
01/01/1808,19.39,19.39,19.39,19.39,0
01/01/1809,19.39,19.39,19.39,19.39,0
01/01/1810,19.39,19.39,19.39,19.39,0
01/01/1811,19.39,19.39,19.39,19.39,0
01/01/1812,19.39,19.39,19.39,19.39,0
01/01/1813,19.39,19.39,19.39,19.39,0
01/01/1814,20.1,20.1,20.1,20.1,0
01/01/1815,21.64,21.64,21.64,21.64,0
01/01/1816,20.95,20.95,20.95,20.95,0
01/01/1817,19.46,19.46,19.46,19.46,0
01/01/1818,19.39,19.39,19.39,19.39,0
01/01/1819,19.39,19.39,19.39,19.39,0
01/01/1820,19.39,19.39,19.39,19.39,0
01/01/1821,19.39,19.39,19.39,19.39,0
01/01/1822,19.39,19.39,19.39,19.39,0
01/01/1823,19.39,19.39,19.39,19.39,0
01/01/1824,19.39,19.39,19.39,19.39,0
01/01/1825,19.39,19.39,19.39,19.39,0
01/01/1826,19.39,19.39,19.39,19.39,0
01/01/1827,19.39,19.39,19.39,19.39,0
01/01/1828,19.39,19.39,19.39,19.39,0
01/01/1829,19.39,19.39,19.39,19.39,0
01/01/1830,19.39,19.39,19.39,19.39,0
01/01/1831,19.39,19.39,19.39,19.39,0
01/01/1832,19.39,19.39,19.39,19.39,0
01/01/1833,19.39,19.39,19.39,19.39,0
01/01/1834,19.94,19.94,19.94,19.94,0
01/01/1835,20.69,20.69,20.69,20.69,0
01/01/1836,20.69,20.69,20.69,20.69,0
01/01/1837,21.64,21.64,21.64,21.64,0
01/01/1838,20.86,20.86,20.86,20.86,0
01/01/1839,20.67,20.67,20.67,20.67,0
01/01/1840,20.67,20.67,20.67,20.67,0
01/01/1841,20.67,20.67,20.67,20.67,0
01/01/1842,20.67,20.67,20.67,20.67,0
01/01/1843,20.67,20.67,20.67,20.67,0
01/01/1844,20.67,20.67,20.67,20.67,0
01/01/1845,20.67,20.67,20.67,20.67,0
01/01/1846,20.67,20.67,20.67,20.67,0
01/01/1847,20.67,20.67,20.67,20.67,0
01/01/1848,20.67,20.67,20.67,20.67,0
01/01/1849,20.67,20.67,20.67,20.67,0
01/01/1850,20.67,20.67,20.67,20.67,0
01/01/1851,20.67,20.67,20.67,20.67,0
01/01/1852,20.67,20.67,20.67,20.67,0
01/01/1853,20.67,20.67,20.67,20.67,0
01/01/1854,20.67,20.67,20.67,20.67,0
01/01/1855,20.67,20.67,20.67,20.67,0
01/01/1856,20.67,20.67,20.67,20.67,0
01/01/1857,20.7,20.7,20.7,20.7,0
01/01/1858,20.67,20.67,20.67,20.67,0
01/01/1859,20.67,20.67,20.67,20.67,0
01/01/1860,20.67,20.67,20.67,20.67,0
01/01/1861,20.67,20.67,20.67,20.67,0
01/01/1862,23.42,23.42,23.42,23.42,0
01/01/1863,30.02,30.02,30.02,30.02,0
01/01/1864,42.03,42.03,42.03,42.03,0
01/01/1865,32.52,32.52,32.52,32.52,0
01/01/1866,29.13,29.13,29.13,29.13,0
01/01/1867,28.57,28.57,28.57,28.57,0
01/01/1868,28.88,28.88,28.88,28.88,0
01/01/1869,27.49,27.49,27.49,27.49,0
01/01/1870,23.75,23.75,23.75,23.75,0
01/01/1871,23.09,23.09,23.09,23.09,0
01/01/1872,23.24,23.24,23.24,23.24,0
01/01/1873,23.52,23.52,23.52,23.52,0
01/01/1874,22.99,22.99,22.99,22.99,0
01/01/1875,23.75,23.75,23.75,23.75,0
01/01/1876,23.05,23.05,23.05,23.05,0
01/01/1877,21.66,21.66,21.66,21.66,0
01/01/1878,20.84,20.84,20.84,20.84,0
01/01/1879,20.67,20.67,20.67,20.67,0
01/01/1880,20.67,20.67,20.67,20.67,0
01/01/1881,20.67,20.67,20.67,20.67,0
01/01/1882,20.67,20.67,20.67,20.67,0
01/01/1883,20.67,20.67,20.67,20.67,0
01/01/1884,20.67,20.67,20.67,20.67,0
01/01/1885,20.67,20.67,20.67,20.67,0
01/01/1886,20.67,20.67,20.67,20.67,0
01/01/1887,20.67,20.67,20.67,20.67,0
01/01/1888,20.67,20.67,20.67,20.67,0
01/01/1889,20.67,20.67,20.67,20.67,0
01/01/1890,20.67,20.67,20.67,20.67,0
01/01/1891,20.67,20.67,20.67,20.67,0
01/01/1892,20.67,20.67,20.67,20.67,0
01/01/1893,20.67,20.67,20.67,20.67,0
01/01/1894,20.67,20.67,20.67,20.67,0
01/01/1895,20.67,20.67,20.67,20.67,0
01/01/1896,20.67,20.67,20.67,20.67,0
01/01/1897,20.67,20.67,20.67,20.67,0
01/01/1898,20.67,20.67,20.67,20.67,0
01/01/1899,20.67,20.67,20.67,20.67,0
01/01/1900,20.67,20.67,20.67,20.67,0
01/01/1901,20.67,20.67,20.67,20.67,0
01/01/1902,20.67,20.67,20.67,20.67,0
