Date,open,high,low,close,volume
1900-01-01,1.19,1.19,1.19,1.19,0
1901-01-01,0.96,0.96,0.96,0.96,0
1902-01-01,0.8,0.8,0.8,0.8,0
1903-01-01,0.94,0.94,0.94,0.94,0
1904-01-01,0.86,0.86,0.86,0.86,0
1905-01-01,0.62,0.62,0.62,0.62,0
1906-01-01,0.73,0.73,0.73,0.73,0
1907-01-01,0.72,0.72,0.72,0.72,0
1908-01-01,0.72,0.72,0.72,0.72,0
1909-01-01,0.7,0.7,0.7,0.7,0
1910-01-01,0.61,0.61,0.61,0.61,0
1911-01-01,0.61,0.61,0.61,0.61,0
1912-01-01,0.74,0.74,0.74,0.74,0
1913-01-01,0.95,0.95,0.95,0.95,0
1914-01-01,0.81,0.81,0.81,0.81,0
1915-01-01,0.64,0.64,0.64,0.64,0
1916-01-01,1.1,1.1,1.1,1.1,0
1917-01-01,1.56,1.56,1.56,1.56,0
1918-01-01,1.98,1.98,1.98,1.98,0
1919-01-01,2.01,2.01,2.01,2.01,0
1920-01-01,3.07,3.07,3.07,3.07,0
1921-01-01,1.73,1.73,1.73,1.73,0
1922-01-01,1.61,1.61,1.61,1.61,0
1923-01-01,1.34,1.34,1.34,1.34,0
1924-01-01,1.43,1.43,1.43,1.43,0
1925-01-01,1.68,1.68,1.68,1.68,0
1926-01-01,1.88,1.88,1.88,1.88,0
1927-01-01,1.3,1.3,1.3,1.3,0
1928-01-01,1.17,1.17,1.17,1.17,0
1929-01-01,1.27,1.27,1.27,1.27,0
1930-01-01,1.19,1.19,1.19,1.19,0
1931-01-01,0.65,0.65,0.65,0.65,0
1932-01-01,0.87,0.87,0.87,0.87,0
1933-01-01,0.67,0.67,0.67,0.67,0
1934-01-01,1.0,1.0,1.0,1.0,0
1935-01-01,0.97,0.97,0.97,0.97,0
1936-01-01,1.09,1.09,1.09,1.09,0
1937-01-01,1.18,1.18,1.18,1.18,0
1938-01-01,1.13,1.13,1.13,1.13,0
1939-01-01,1.02,1.02,1.02,1.02,0
1940-01-01,1.02,1.02,1.02,1.02,0
1941-01-01,1.14,1.14,1.14,1.14,0
1942-01-01,1.19,1.19,1.19,1.19,0
1943-01-01,1.2,1.2,1.2,1.2,0
1944-01-01,1.21,1.21,1.21,1.21,0
1945-01-01,1.22,1.22,1.22,1.22,0
1946-01-01,1.41,1.41,1.41,1.41,0
1947-01-01,1.93,1.93,1.93,1.93,0
1948-01-01,2.6,2.6,2.6,2.6,0
1949-01-01,2.54,2.54,2.54,2.54,0
1950-01-01,2.51,2.51,2.51,2.51,0
1951-01-01,2.53,2.53,2.53,2.53,0
1952-01-01,2.53,2.53,2.53,2.53,0
1953-01-01,2.68,2.68,2.68,2.68,0
1954-01-01,2.78,2.78,2.78,2.78,0
1955-01-01,2.77,2.77,2.77,2.77,0
1956-01-01,2.79,2.79,2.79,2.79,0
1957-01-01,3.09,3.09,3.09,3.09,0
1958-01-01,3.01,3.01,3.01,3.01,0
1959-01-01,2.9,2.9,2.9,2.9,0
