,uniform,onlystocks,vanillariskparity,sixtyforty
1928-06-29,1.4210854715202002e-16,0.0,1.4210854715202002e-16,1.4210854715202002e-16
1928-06-30,0.0,0.0,0.0,0.0
1928-07-01,0.016806706164818472,0.0,0.010988902306472575,0.0
1928-07-02,0.0,0.0,0.0,0.0
1928-07-03,0.0,0.0,0.0,0.0
1928-07-04,0.0,0.0,0.0,0.0
1928-07-05,0.0,0.0,0.0,0.0
1928-07-06,0.0,0.0,0.0,0.0
1928-07-07,0.0,0.0,0.0,0.0
1928-07-08,0.0,0.0,0.0,0.0
1928-07-09,0.0,0.0,0.0,0.0
1928-07-10,0.0,0.0,0.0,0.0
1928-07-11,0.0,0.0,0.0,0.0
1928-07-12,0.0,0.0,0.0,0.0
1928-07-13,0.0,0.0,0.0,0.0
1928-07-14,0.0,0.0,0.0,0.0
1928-07-15,0.0,0.0,0.0,0.0
1928-07-16,0.0,0.0,0.0,0.0
1928-07-17,0.0,0.0,0.0,0.0
1928-07-18,0.0,0.0,0.0,0.0
1928-07-19,0.0,0.0,0.0,0.0
1928-07-20,0.0,0.0,0.0,0.0
1928-07-21,0.0,0.0,0.0,0.0
1928-07-22,0.0,0.0,0.0,0.0
1928-07-23,0.0,0.0,0.0,0.0
1928-07-24,0.0,0.0,0.0,0.0
1928-07-25,0.0,0.0,0.0,0.0
1928-07-26,0.0,0.0,0.0,0.0
1928-07-27,0.0,0.0,0.0,0.0
1928-07-28,0.0,0.0,0.0,0.0
1928-07-29,0.0,0.0,0.0,0.0
1928-07-30,0.0,0.0,0.0,0.0
1928-07-31,0.0,0.0,0.0,0.0
1928-08-01,0.0,0.0,0.0,0.0
1928-08-02,0.0,0.0,0.0,0.0
1928-08-03,0.0,0.0,0.0,0.0
1928-08-04,0.0,0.0,0.0,0.0
1928-08-05,0.0,0.0,0.0,0.0
1928-08-06,0.0,0.0,0.0,0.0
1928-08-07,0.0,0.0,0.0,0.0
1928-08-08,0.0,0.0,0.0,0.0
1928-08-09,0.0,0.0,0.0,0.0
1928-08-10,0.0,0.0,0.0,0.0
1928-08-11,0.0,0.0,0.0,0.0
1928-08-12,0.0,0.0,0.0,0.0
1928-08-13,0.0,0.0,0.0,0.0
1928-08-14,0.0,0.0,0.0,0.0
1928-08-15,0.0,0.0,0.0,0.0
1928-08-16,0.0,0.0,0.0,0.0
1928-08-17,0.0,0.0,0.0,0.0
1928-08-18,0.0,0.0,0.0,0.0
1928-08-19,0.0,0.0,0.0,0.0
1928-08-20,0.0,0.0,0.0,0.0
1928-08-21,0.0,0.0,0.0,0.0
1928-08-22,0.0,0.0,0.0,0.0
1928-08-23,0.0,0.0,0.0,0.0
1928-08-24,0.0,0.0,0.0,0.0
1928-08-25,0.0,0.0,0.0,0.0
1928-08-26,0.0,0.0,0.0,0.0
1928-08-27,0.0,0.0,0.0,0.0
1928-08-28,0.0,0.0,0.0,0.0
1928-08-29,0.0,0.0,0.0,0.0
1928-08-30,0.0,0.0,0.0,0.0
1928-08-31,0.0,0.0,0.0,0.0
1928-09-01,0.0,0.0,0.0,0.0
1928-09-02,0.0,0.0,0.0,0.0
1928-09-03,0.0,0.0,0.0,0.0
1928-09-04,0.0,0.0,0.0,0.0
1928-09-05,0.0,0.0,0.0,0.0
1928-09-06,0.0,0.0,0.0,0.0
1928-09-07,0.0,0.0,0.0,0.0
1928-09-08,0.0,0.0,0.0,0.0
1928-09-09,0.0,0.0,0.0,0.0
1928-09-10,0.0,0.0,0.0,0.0
1928-09-11,0.0,0.0,0.0,0.0
1928-09-12,0.0,0.0,0.0,0.0
1928-09-13,0.0,0.0,0.0,0.0
1928-09-14,0.0,0.0,0.0,0.0
1928-09-15,0.0,0.0,0.0,0.0
1928-09-16,0.0,0.0,0.0,0.0
1928-09-17,0.0,0.0,0.0,0.0
1928-09-18,0.0,0.0,0.0,0.0
1928-09-19,0.0,0.0,0.0,0.0
1928-09-20,0.0,0.0,0.0,0.0
1928-09-21,0.0,0.0,0.0,0.0
1928-09-22,0.0,0.0,0.0,0.0
1928-09-23,0.0,0.0,0.0,0.0
1928-09-24,0.0,0.0,0.0,0.0
1928-09-25,0.0,0.0,0.0,0.0
1928-09-26,0.0,0.0,0.0,0.0
1928-09-27,0.0,0.0,0.0,0.0
1928-09-28,0.0,0.0,0.0,0.0
1928-09-29,0.0,0.0,0.0,0.0
1928-09-30,0.0,0.0,0.0,0.0
1928-10-01,0.0,0.0,0.0,0.0
1928-10-02,0.0,0.0,0.0,0.0
1928-10-03,0.0,0.0,0.0,0.0
1928-10-04,0.0,0.0,0.0,0.0
1928-10-05,0.0,0.0,0.0,0.0
1928-10-06,0.0,0.0,0.0,0.0
1928-10-07,0.0,0.0,0.0,0.0
1928-10-08,0.0,0.0,0.0,0.0
1928-10-09,0.0,0.0,0.0,0.0
1928-10-10,0.0,0.0,0.0,0.0
1928-10-11,0.0,0.0,0.0,0.0
1928-10-12,0.0,0.0,0.0,0.0
1928-10-13,0.0,0.0,0.0,0.0
1928-10-14,0.0,0.0,0.0,0.0
1928-10-15,0.0,0.0,0.0,0.0
1928-10-16,0.0,0.0,0.0,0.0
1928-10-17,0.0,0.0,0.0,0.0
1928-10-18,0.0,0.0,0.0,0.0
1928-10-19,0.0,0.0,0.0,0.0
