,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
2001-06-15,100.0,100.0,100.0,100.0,100.0
2001-06-18,100.0,100.0,100.0,100.0,100.0
2001-06-19,100.0,100.0,100.0,100.0,100.0
2001-06-20,100.0,100.0,100.0,100.0,100.0
2001-06-21,100.0,100.0,100.0,100.0,100.0
2001-06-22,100.0,100.0,100.0,100.0,100.0
2001-06-25,100.0,100.0,100.0,100.0,100.0
2001-06-26,100.0,100.0,100.0,100.0,100.0
2001-06-27,100.0,100.0,100.0,100.0,100.0
2001-06-28,100.0,100.0,100.0,100.0,100.0
2001-06-29,100.0,100.0,100.0,100.0,100.0
2001-07-02,100.0,100.0,100.0,100.0,100.0
2001-07-03,100.0,100.0,100.0,100.0,100.0
2001-07-05,100.0,100.0,100.0,100.0,100.0
2001-07-06,100.0,100.0,100.0,100.0,100.0
2001-07-09,100.0,100.0,100.0,100.0,100.0
2001-07-10,100.0,100.0,100.0,100.0,100.0
2001-07-11,100.0,100.0,100.0,100.0,100.0
2001-07-12,100.0,100.0,100.0,100.0,100.0
2001-07-13,100.0,100.0,100.0,100.0,100.0
2001-07-16,100.0,100.0,100.0,100.0,100.0
2001-07-17,100.0,100.0,100.0,100.0,100.0
2001-07-18,100.0,100.0,100.0,100.0,100.0
2001-07-19,100.0,100.0,100.0,100.0,100.0
2001-07-20,100.0,100.0,100.0,100.0,100.0
2001-07-23,100.0,100.0,100.0,100.0,100.0
2001-07-24,100.0,100.0,100.0,100.0,100.0
2001-07-25,100.0,100.0,100.0,100.0,100.0
2001-07-26,100.0,100.0,100.0,100.0,100.0
2001-07-27,100.0,100.0,100.0,100.0,100.0
2001-07-30,100.0,100.0,100.0,100.0,100.0
2001-07-31,100.0,100.0,100.0,100.0,100.0
2001-08-01,100.0,100.0,100.0,100.0,100.0
2001-08-02,100.0,100.0,100.0,100.0,100.0
2001-08-03,100.0,100.0,100.0,100.0,100.0
2001-08-06,100.0,100.0,100.0,100.0,100.0
2001-08-07,100.0,100.0,100.0,100.0,100.0
2001-08-08,100.0,100.0,100.0,100.0,100.0
2001-08-09,100.0,100.0,100.0,100.0,100.0
2001-08-10,100.0,100.0,100.0,100.0,100.0
2001-08-13,100.0,100.0,100.0,100.0,100.0
2001-08-14,100.0,100.0,100.0,100.0,100.0
2001-08-15,100.0,100.0,100.0,100.0,100.0
2001-08-16,100.0,100.0,100.0,100.0,100.0
2001-08-17,100.0,100.0,100.0,100.0,100.0
2001-08-20,100.0,100.0,100.0,100.0,100.0
2001-08-21,100.0,100.0,100.0,100.0,100.0
2001-08-22,100.0,100.0,100.0,100.0,100.0
2001-08-23,100.0,100.0,100.0,100.0,100.0
2001-08-24,100.0,100.0,100.0,100.0,100.0
2001-08-27,100.0,100.0,100.0,100.0,100.0
2001-08-28,100.0,100.0,100.0,100.0,100.0
2001-08-29,100.0,100.0,100.0,100.0,100.0
2001-08-30,100.0,100.0,100.0,100.0,100.0
2001-08-31,100.0,100.0,100.0,100.0,100.0
2001-09-04,100.0,100.0,100.0,100.0,100.0
2001-09-05,100.0,100.0,100.0,100.0,100.0
2001-09-06,100.0,100.0,100.0,100.0,100.0
2001-09-07,100.0,100.0,100.0,100.0,100.0
2001-09-10,100.0,100.0,100.0,100.0,100.0
2001-09-17,100.0,100.0,100.0,100.0,100.0
2001-09-18,100.0,100.0,100.0,100.0,100.0
2001-09-19,100.0,100.0,100.0,100.0,100.0
2001-09-20,100.0,100.0,100.0,100.0,100.0
2001-09-21,100.0,100.0,100.0,100.0,100.0
2001-09-24,100.0,100.0,100.0,100.0,100.0
2001-09-25,100.0,100.0,100.0,100.0,100.0
2001-09-26,100.0,100.0,100.0,100.0,100.0
2001-09-27,100.0,100.0,100.0,100.0,100.0
2001-09-28,100.0,100.0,100.0,100.0,100.0
2001-10-01,100.0,100.0,100.0,100.0,100.0
2001-10-02,100.0,100.0,100.0,100.0,100.0
2001-10-03,100.0,100.0,100.0,100.0,100.0
2001-10-04,100.0,100.0,100.0,100.0,100.0
2001-10-05,100.0,100.0,100.0,100.0,100.0
2001-10-08,100.0,100.0,100.0,100.0,100.0
2001-10-09,100.0,100.0,100.0,100.0,100.0
2001-10-10,100.0,100.0,100.0,100.0,100.0
2001-10-11,100.0,100.0,100.0,100.0,100.0
2001-10-12,100.0,100.0,100.0,100.0,100.0
2001-10-15,100.0,100.0,100.0,100.0,100.0
2001-10-16,100.0,100.0,100.0,100.0,100.0
2001-10-17,100.0,100.0,100.0,100.0,100.0
2001-10-18,100.0,100.0,100.0,100.0,100.0
2001-10-19,100.0,100.0,100.0,100.0,100.0
2001-10-22,100.0,100.0,100.0,100.0,100.0
2001-10-23,100.0,100.0,100.0,100.0,100.0
2001-10-24,100.0,100.0,100.0,100.0,100.0
2001-10-25,100.0,100.0,100.0,100.0,100.0
2001-10-26,100.0,100.0,100.0,100.0,100.0
2001-10-29,100.0,100.0,100.0,100.0,100.0
2001-10-30,100.0,100.0,100.0,100.0,100.0
