,sixtyforty,riskparity
2018-01-03,100.0,100.0
2018-01-04,100.0,100.0
2018-01-05,99.94295623779297,100.0
2018-01-08,99.93027728271484,100.0
2018-01-09,99.66405126953126,100.0
2018-01-10,99.6402801513672,100.0
2018-01-11,99.72109375,100.0
2018-01-12,99.75437408447266,100.0
2018-01-16,99.8367783203125,100.0
2018-01-17,99.80984130859375,100.0
2018-01-18,99.62601568603516,100.0
2018-01-19,99.52301007080078,100.0
2018-01-22,99.54202593994141,100.0
2018-01-23,109.62601568603516,110.0
2018-01-24,109.51983905029297,110.0
2018-01-25,109.67989611816407,110.0
2018-01-26,109.6070023803711,110.0
2018-01-29,109.4707202758789,110.0
2018-01-30,109.35662121582031,110.0
2018-01-31,109.4707202758789,110.0
2018-02-01,109.18885321044922,110.0
2018-02-02,109.01099407958985,110.0
2018-02-05,109.19043743896485,110.0
2018-02-06,110.22141815185547,110.0
2018-02-07,109.71747595214843,110.0
2018-02-08,107.4763491821289,110.0
2018-02-09,108.21315716552735,110.0
2018-02-12,109.1450107421875,110.0
2018-02-13,109.37512579345703,110.0
2018-02-14,109.95950341796875,110.0
2018-02-15,110.87348262023922,110.88853463745116
2018-02-16,111.01218420410153,111.20370782470701
2018-02-20,110.4980493392944,110.61205445861815
2018-02-21,119.89858363342282,119.65957791137691
2018-02-22,120.0491670761108,119.89441145324703
2018-02-23,121.29464954376215,121.2592844085693
2018-02-26,122.08060918426509,121.92875459289547
2018-02-27,121.20212356567377,121.1414744262695
2018-02-28,120.66332833862299,120.92453814697262
2018-03-01,119.85030104064936,120.49722998046872
2018-03-02,120.00610687255856,120.32492193603512
2018-03-05,120.70536450958247,120.8096529998779
2018-03-06,120.89428177642817,121.00187687683102
2018-03-07,120.84562807464594,120.92065846252437
2018-03-08,121.29464817047113,121.50811265563961
2018-03-09,122.31319651031488,122.116263595581
2018-03-12,122.35466041564936,122.3630237731933
2018-03-13,122.02732312011713,122.27653741455073
2018-03-14,121.87668477630609,122.47812196350093
2018-03-15,121.8034816513061,122.41692872619623
2018-03-16,121.7960287475585,122.27657299804682
2018-03-19,120.81608910369867,121.33888185119623
2018-03-20,120.83925244903556,121.20852421569819
2018-03-21,130.73608734130855,131.16283410644525
2018-03-22,129.29992060852044,130.3303467407226
2018-03-23,127.90610515594477,129.13712678527827
2018-03-26,129.5501221237182,130.36794758605953
2018-03-27,128.68390888977046,130.0430935668945
2018-03-28,128.55493250274654,130.0350819854736
2018-03-29,129.47850493621823,130.9911624603271
2018-04-02,127.85511547088619,129.70685586547847
2018-04-03,128.62807286834712,130.02218025970456
2018-04-04,129.397384147644,130.58191927337643
2018-04-05,129.8192050704956,130.61517665100095
2018-04-06,128.3525533981323,129.8469893341064
2018-04-09,128.77240813446042,130.2731552658081
2018-04-10,129.9490105514526,131.18747164154053
2018-04-11,129.63069341278072,131.0730000915527
2018-04-12,130.08115904998775,131.1340219116211
2018-04-13,129.91074126434322,131.0906025085449
2018-04-16,130.56189891815183,131.65463082122804
2018-04-17,131.47515880584712,132.54393210601808
2018-04-18,131.32788622283937,132.07167304992674
2018-04-19,130.67735192108154,131.17100171661377
2018-04-20,129.822374382019,130.1407919845581
2018-04-23,139.816960319519,140.14697319030762
2018-04-24,138.64385021209713,138.9629879989624
2018-04-25,138.66749529266355,138.699588394165
2018-04-26,139.63188585662837,139.80780711364747
2018-04-27,139.89906291961665,140.35976678466798
2018-04-30,139.33938762664792,139.96264344024658
2018-05-01,139.38673802947991,139.8487487716675
2018-05-02,138.83431481170652,139.33568341064452
2018-05-03,138.77626616668698,139.47720720672606
2018-05-04,139.81690093231202,140.42037606048584
2018-05-07,140.04173876190185,140.54187368774413
2018-05-08,140.01830004119873,140.48254442596436
2018-05-09,140.62757946014398,140.74162572479247
2018-05-10,141.57288109588623,141.88113916015624
2018-05-11,141.88147667694088,142.24948002624512
2018-05-14,141.77210892486568,141.90757996368407
2018-05-15,140.86625069427487,140.61294598388673
