,uniform,onlystocks,vanillariskparity,sixtyforty
1928-06-28,100.0,100.0,100.0,100.0
1928-06-29,100.00000000000001,100.0,100.00000000000001,100.00000000000001
1928-06-30,100.00000000000001,100.0,100.00000000000001,100.00000000000001
1928-07-01,101.7094,100.0,101.1111,100.00000000000001
1928-07-02,101.7094,100.0,101.1111,100.00000000000001
1928-07-03,101.7094,100.0,101.1111,100.00000000000001
1928-07-04,101.7094,100.0,101.1111,100.00000000000001
1928-07-05,101.7094,100.0,101.1111,100.00000000000001
1928-07-06,101.7094,100.0,101.1111,100.00000000000001
1928-07-07,101.7094,100.0,101.1111,100.00000000000001
1928-07-08,101.7094,100.0,101.1111,100.00000000000001
1928-07-09,101.7094,100.0,101.1111,100.00000000000001
1928-07-10,101.7094,100.0,101.1111,100.00000000000001
1928-07-11,101.7094,100.0,101.1111,100.00000000000001
1928-07-12,101.7094,100.0,101.1111,100.00000000000001
1928-07-13,101.7094,100.0,101.1111,100.00000000000001
1928-07-14,101.7094,100.0,101.1111,100.00000000000001
1928-07-15,101.7094,100.0,101.1111,100.00000000000001
1928-07-16,101.7094,100.0,101.1111,100.00000000000001
1928-07-17,101.7094,100.0,101.1111,100.00000000000001
1928-07-18,101.7094,100.0,101.1111,100.00000000000001
1928-07-19,101.7094,100.0,101.1111,100.00000000000001
1928-07-20,101.7094,100.0,101.1111,100.00000000000001
1928-07-21,101.7094,100.0,101.1111,100.00000000000001
1928-07-22,101.7094,100.0,101.1111,100.00000000000001
1928-07-23,101.7094,100.0,101.1111,100.00000000000001
1928-07-24,101.7094,100.0,101.1111,100.00000000000001
1928-07-25,101.7094,100.0,101.1111,100.00000000000001
1928-07-26,101.7094,100.0,101.1111,100.00000000000001
1928-07-27,101.7094,100.0,101.1111,100.00000000000001
1928-07-28,101.7094,100.0,101.1111,100.00000000000001
1928-07-29,101.7094,100.0,101.1111,100.00000000000001
1928-07-30,101.7094,100.0,101.1111,100.00000000000001
1928-07-31,101.7094,100.0,101.1111,100.00000000000001
1928-08-01,101.7094,100.0,101.1111,100.00000000000001
