,,riskparity_nested,uniform
backtrader,start_cash,100000.0,100000.0
backtrader,end_value,109639.01008415225,103861.00486946109
backtrader,total_return,0.09639010084152243,0.03861004869461082
backtrader,annual_return,0.06344265487743483,0.025645881663246398
backtrader,annual_return_asset,0.06361377638367882,0.025713820619116312
backtrader,max_money_drawdown,19.31932360076904,26.105588523864768
backtrader,max_pct_drawdown,0.17776999140116645,0.2367999118859587
backtrader,vwr,0.06232164233480673,0.02550635959666674
backtrader,sharpe_ratio,0.4287893325173855,0.1759963369535706
pyfolio,Annual return,0.06344265487743406,0.025645881663246328
pyfolio,Cumulative returns,0.09639010084152111,0.03861004869461082
pyfolio,Annual volatility,0.14508889070714714,0.16742810657621238
pyfolio,Sharpe ratio,0.4968025513705948,0.2351944071387404
pyfolio,Calmar ratio,0.3568805644720183,0.10830190543143944
pyfolio,Stability,0.5582680405074656,0.2130507092980939
pyfolio,Max drawdown,-0.17776999140116626,-0.23679991188595903
pyfolio,Omega ratio,1.1586704842864433,1.067002504979509
pyfolio,Sortino ratio,0.7044844510569662,0.3312756148129316
pyfolio,Skew,-0.8434442701575414,-0.6233486068173377
pyfolio,Kurtosis,27.006796645575662,17.982193852172948
pyfolio,Tail ratio,1.1860229716497017,0.9877525497082615
pyfolio,Daily value at risk,-0.017993448185052618,-0.020937696172747444
