Date,open,high,low,close,volume
1978-12-29,226.0,226.0,226.0,226.0,0
1979-01-01,226.0,226.0,226.0,226.0,0
1979-01-02,226.8,226.8,226.8,226.8,0
1979-01-03,218.6,218.6,218.6,218.6,0
1979-01-04,223.2,223.2,223.2,223.2,0
1979-01-05,225.5,225.5,225.5,225.5,0
1979-01-08,223.1,223.1,223.1,223.1,0
1979-01-09,224.0,224.0,224.0,224.0,0
1979-01-10,220.7,220.7,220.7,220.7,0
1979-01-11,220.7,220.7,220.7,220.7,0
1979-01-12,217.6,217.6,217.6,217.6,0
1979-01-15,216.9,216.9,216.9,216.9,0
1979-01-16,220.7,220.7,220.7,220.7,0
1979-01-17,227.3,227.3,227.3,227.3,0
1979-01-18,231.8,231.8,231.8,231.8,0
1979-01-19,230.6,230.6,230.6,230.6,0
1979-01-22,235.0,235.0,235.0,235.0,0
1979-01-23,230.0,230.0,230.0,230.0,0
1979-01-24,236.1,236.1,236.1,236.1,0
1979-01-25,233.9,233.9,233.9,233.9,0
1979-01-26,235.5,235.5,235.5,235.5,0
1979-01-29,235.2,235.2,235.2,235.2,0
1979-01-30,233.5,233.5,233.5,233.5,0
1979-01-31,233.7,233.7,233.7,233.7,0
1979-02-01,229.4,229.4,229.4,229.4,0
1979-02-02,230.3,230.3,230.3,230.3,0
1979-02-05,243.1,243.1,243.1,243.1,0
1979-02-06,244.5,244.5,244.5,244.5,0
1979-02-07,251.6,251.6,251.6,251.6,0
1979-02-08,250.5,250.5,250.5,250.5,0
1979-02-09,246.8,246.8,246.8,246.8,0
1979-02-12,244.3,244.3,244.3,244.3,0
1979-02-13,240.6,240.6,240.6,240.6,0
1979-02-14,240.7,240.7,240.7,240.7,0
1979-02-15,247.8,247.8,247.8,247.8,0
1979-02-16,247.1,247.1,247.1,247.1,0
1979-02-19,248.1,248.1,248.1,248.1,0
1979-02-20,247.0,247.0,247.0,247.0,0
1979-02-21,250.8,250.8,250.8,250.8,0
1979-02-22,252.4,252.4,252.4,252.4,0
1979-02-23,251.0,251.0,251.0,251.0,0
1979-02-26,248.6,248.6,248.6,248.6,0
1979-02-27,247.9,247.9,247.9,247.9,0
1979-02-28,251.3,251.3,251.3,251.3,0
1979-03-01,248.8,248.8,248.8,248.8,0
1979-03-02,248.0,248.0,248.0,248.0,0
1979-03-05,238.2,238.2,238.2,238.2,0
1979-03-06,239.8,239.8,239.8,239.8,0
1979-03-07,242.3,242.3,242.3,242.3,0
1979-03-08,239.2,239.2,239.2,239.2,0
1979-03-09,241.0,241.0,241.0,241.0,0
1979-03-12,240.0,240.0,240.0,240.0,0
1979-03-13,239.1,239.1,239.1,239.1,0
1979-03-14,239.5,239.5,239.5,239.5,0
1979-03-15,240.1,240.1,240.1,240.1,0
1979-03-16,244.0,244.0,244.0,244.0,0
1979-03-19,242.3,242.3,242.3,242.3,0
1979-03-20,242.1,242.1,242.1,242.1,0
1979-03-21,239.9,239.9,239.9,239.9,0
1979-03-22,242.9,242.9,242.9,242.9,0
1979-03-23,242.5,242.5,242.5,242.5,0
1979-03-26,245.3,245.3,245.3,245.3,0
1979-03-27,244.4,244.4,244.4,244.4,0
1979-03-28,244.4,244.4,244.4,244.4,0
1979-03-29,241.5,241.5,241.5,241.5,0
1979-03-30,240.1,240.1,240.1,240.1,0
1979-04-02,239.7,239.7,239.7,239.7,0
1979-04-03,240.0,240.0,240.0,240.0,0
1979-04-04,239.8,239.8,239.8,239.8,0
1979-04-05,240.7,240.7,240.7,240.7,0
1979-04-06,239.8,239.8,239.8,239.8,0
1979-04-09,240.2,240.2,240.2,240.2,0
1979-04-10,239.8,239.8,239.8,239.8,0
1979-04-11,238.4,238.4,238.4,238.4,0
1979-04-12,234.0,234.0,234.0,234.0,0
1979-04-13,234.0,234.0,234.0,234.0,0
1979-04-16,234.0,234.0,234.0,234.0,0
1979-04-17,231.9,231.9,231.9,231.9,0
1979-04-18,233.2,233.2,233.2,233.2,0
1979-04-19,240.9,240.9,240.9,240.9,0
1979-04-20,236.4,236.4,236.4,236.4,0
1979-04-23,236.9,236.9,236.9,236.9,0
1979-04-24,239.7,239.7,239.7,239.7,0
1979-04-25,241.8,241.8,241.8,241.8,0
1979-04-26,242.2,242.2,242.2,242.2,0
1979-04-27,243.7,243.7,243.7,243.7,0
1979-04-30,245.3,245.3,245.3,245.3,0
1979-05-01,247.3,247.3,247.3,247.3,0
1979-05-02,246.3,246.3,246.3,246.3,0
1979-05-03,246.5,246.5,246.5,246.5,0
